year,pas_ADV éveillé_VERB,pas_ADV réveillé_VERB
1800,6.288328968651058e-09,2.829747991484055e-08
1801,1.1905912700171939e-08,9.524730160137551e-08
1802,4.475680270843441e-09,5.594600338554301e-08
1803,7.801356893821776e-09,1.1702034896643454e-08
1804,0.0,3.9549615138412264e-08
1805,2.842877711017877e-09,1.7057265822018053e-08
1806,8.645007376628655e-09,8.645007376628655e-09
1807,3.131650672116848e-08,1.7081731584767113e-08
1808,9.064295980465431e-09,4.5321479902327155e-09
1809,1.581321384946932e-08,3.840352036377226e-08
1810,2.3401267590372754e-09,4.914266327205041e-08
1811,0.0,3.008491944456182e-08
1812,1.3336041604361526e-08,8.268345652595599e-08
1813,3.4508900625951355e-08,4.3136125782439194e-08
1814,3.1466771410748606e-09,4.72001566720337e-08
1815,2.4275012222574333e-08,3.236668177919455e-08
1816,6.952811659743929e-09,3.244645441213834e-08
1817,1.71256075987003e-08,5.293369653713853e-08
1818,8.344824387052086e-09,4.410835785506606e-08
1819,1.6561680027393777e-08,2.3807414706311647e-08
1820,1.4239777357261119e-08,3.678609061807947e-08
1821,2.1695274909916407e-08,3.35290586406245e-08
1822,7.017931125119503e-09,4.110502516141423e-08
1823,1.1859224713361982e-08,7.115534828017189e-08
1824,1.51580028528997e-08,2.6947560627377243e-08
1825,8.805443485471187e-09,4.6668848341369085e-08
1826,1.76159691278599e-08,2.290075862276808e-08
1827,4.3321183085254233e-08,3.6869092667757286e-08
1828,2.384798314380987e-08,2.2013523448549677e-08
1829,6.001223074036943e-09,4.8009784592295546e-08
1830,3.339787468803479e-08,2.0873670791843324e-08
1831,3.4300654760954785e-08,4.5214498811674275e-08
1832,2.841293600397421e-08,5.0060886991332154e-08
1833,4.6334513115198206e-08,3.59092489077284e-08
1834,3.9205030333278046e-08,2.42697808516823e-08
1835,1.8907719834260206e-08,5.067268915581735e-08
1836,3.024337402735e-08,1.8818100855355624e-08
1837,2.852735292435682e-08,3.75726116885744e-08
1838,2.1461350030449466e-08,2.9035945203759184e-08
1839,1.6080392128969834e-08,5.8029243632518046e-08
1840,4.0766007458614695e-08,3.05745047057826e-08
1841,3.2102743574569104e-08,3.338685417020315e-08
1842,3.3541326160957396e-08,5.366612043644636e-08
1843,3.0125246297529884e-08,2.539971788451112e-08
1844,3.2382512671347286e-08,4.335963410539989e-08
1845,3.738752596404993e-08,4.687391452762313e-08
1846,2.8101606375230404e-08,3.5127008857216424e-08
1847,2.2112217834546755e-08,2.7505439703645607e-08
1848,2.413566591030758e-08,3.459445352405055e-08
1849,2.76520690789539e-08,3.5193544078993e-08
1850,2.987158254086353e-08,2.2403686017469226e-08
1851,1.7413483988093503e-08,1.7413483988093503e-08
1852,1.2370036550635177e-08,3.971432604998881e-08
1853,1.2541057081705276e-08,2.8068079416243563e-08
1854,3.4810952342922974e-08,5.0917510208137173e-08
1855,2.5473298137512757e-08,3.343370380548549e-08
1856,4.6076984006049315e-08,2.5368226630462232e-08
1857,3.4658715009072694e-08,6.199516633387248e-08
1858,2.6915218498402282e-08,3.3766365703513657e-08
1859,3.055303920973529e-08,6.008764330545091e-08
1860,5.492620580582752e-09,4.668727626722102e-08
1861,1.7920662287451705e-08,3.6312922446768425e-08
1862,3.7047488632424574e-08,4.382446761042047e-08
1863,3.646073309937492e-08,4.2454278315062766e-08
1864,1.0548401263577034e-08,5.130359070903978e-08
1865,2.165148416111151e-08,5.036323358353911e-08
1866,4.330395597662573e-08,3.795178216137174e-08
1867,2.232293283555009e-08,5.774845845962773e-08
1868,2.222943251695142e-08,4.791677810089823e-08
1869,1.8557372527538973e-08,4.444002499326416e-08
