year,moins_ADV assuré_VERB,moins_ADV rassuré_VERB
1800,1.8864986373046122e-07,6.288328968651058e-09
1801,1.2144030847593967e-07,1.1905912700171939e-08
1802,1.4545960880241182e-07,4.923248297927785e-08
1803,2.515937467251206e-07,2.145373123596528e-08
1804,3.015658194271964e-07,1.4831105232815389e-08
1805,1.449867568226182e-07,0.0
1806,1.988351669979238e-07,1.4408345627714425e-08
1807,7.402083213037258e-08,5.693910232196231e-09
1808,1.7901984961099515e-07,0.0
1809,9.713831161661801e-08,4.518061036407062e-09
1810,7.956430891908894e-08,0.0
1811,1.8301660986708157e-07,0.0
1812,1.2002436733382638e-07,2.6672082320544632e-09
1813,1.5241430162404868e-07,2.300593315851529e-08
1814,1.3845379953636439e-07,1.8880061958270744e-08
1815,2.2926400333744823e-07,7.282503844407984e-08
1816,3.24464537015956e-07,2.3176038865813098e-08
1817,1.4945985071790346e-07,3.269434145636296e-08
1818,1.6093589749743842e-07,4.768470951432846e-09
1819,1.9874016743415268e-07,1.449147024601416e-08
1820,2.0410347190136235e-07,1.0679833017945839e-08
1821,1.5975611233898235e-07,4.930744257336528e-09
1822,1.59407292699143e-07,9.023054303725075e-09
1823,1.7986489808663464e-07,4.941343334508019e-09
1824,2.593702674857923e-07,5.052667617633233e-09
1825,1.664228790332345e-07,3.522177216552791e-09
1826,1.4268934478423034e-07,4.403992281964975e-09
1827,1.7512819283638237e-07,5.530363722527909e-09
1828,1.6877034170192928e-07,2.2930752408001354e-08
1829,1.217391059071815e-07,8.573175946935407e-09
1830,1.1897992635567789e-07,6.262101504006523e-09
1831,8.263339168479433e-08,1.091384405071949e-08
1832,7.982681893281551e-08,6.764984572527055e-09
1833,1.2973663388038403e-07,3.475088550253247e-09
1834,1.0921401383257034e-07,3.733812370398937e-09
1835,1.2100940693926532e-07,1.5882484660778573e-08
1836,2.6009303155660746e-07,1.68018754465038e-08
1837,1.3637466622640204e-07,1.1828414692161004e-08
1838,1.1929985532788123e-07,1.2624323808552163e-09
1839,1.3493547612597467e-07,1.2584655095793096e-08
1840,1.866318797283384e-07,1.6561189752906103e-08
1841,1.6757631726704858e-07,1.0914932513372833e-08
1842,1.2611538124929211e-07,2.750388716776797e-08
1843,1.0927785609737839e-07,1.2995204023980023e-08
1844,1.635591218018817e-07,8.781698090931656e-09
1845,1.2164896645572298e-07,5.022205318283568e-09
1846,1.6626783860829164e-07,7.610851504580296e-09
1847,1.003139615818327e-07,1.6179670936367074e-08
1848,1.1504666730388635e-07,2.413566591030758e-08
1849,1.3071887394744408e-07,2.0948537127196687e-08
1850,1.439267123259924e-07,6.1100964288129944e-09
1851,1.3414832267244492e-07,5.159551008659946e-09
1852,1.2370036017728125e-07,9.765818376195057e-09
1853,1.2959091577613435e-07,1.911018188138769e-08
1854,1.0651112347659364e-07,1.9743524148907454e-08
1855,1.9211111634831468e-07,1.6982198758341838e-08
1856,1.1234500618684251e-07,3.313401020221818e-08
1857,1.4449267382588005e-07,2.147863931156735e-08
1858,1.3849103197571822e-07,3.76813069635773e-08
1859,1.1813842348828985e-07,3.513599633464537e-08
1860,1.8629138764936215e-07,3.4328881071132855e-08
1861,1.2685941896961594e-07,2.87673795895671e-08
1862,1.9201441148197773e-07,2.5752521892741242e-08
1863,1.5133700514979864e-07,2.2975255753454604e-08
1864,1.702128429315053e-07,2.4932585329651147e-08
1865,1.2755548084442125e-07,3.718406915709238e-08
1866,1.3331779769032437e-07,1.994901249746661e-08
1867,1.5626052629613696e-07,3.34843974769683e-08
1868,1.625218573053644e-07,6.174842781536682e-08
1869,1.3087831973734865e-07,4.248661511496721e-08
1870,1.3245652041860012e-07,3.7271317587794783e-08
1871,1.0939812256083314e-07,7.009977309735405e-08
1872,1.1550417866601492e-07,4.716924784098353e-08
1873,1.1193828441946607e-07,3.4718826924518e-08
1874,1.5294999400339293e-07,4.3614645395262386e-08
1875,1.310229720274947e-07,2.8035482713129056e-08
1876,8.222580305528027e-08,3.50668869497639e-08
1877,1.3359202455376362e-07,4.2675230904620776e-08
1878,1.1534659449807805e-07,4.166971190322499e-08
1879,1.4723474350830656e-07,1.9549840857280287e-08
1880,1.0396910710142038e-07,1.9895322722618403e-08
1881,1.3526664588425774e-07,3.06790339799079e-08
1882,1.457529350545883e-07,5.457415852561098e-08
1883,1.1438003610919623e-07,3.349249766415596e-08
1884,1.1751020423389491e-07,3.6969503014461225e-08
1885,1.2697901752289908e-07,4.060750313783501e-08
1886,1.2455184617010673e-07,5.549978965291302e-08
1887,1.233966742120174e-07,3.721487079610952e-08
1888,1.0208389511490168e-07,4.692055055599553e-08
1889,1.2718227537789062e-07,2.5687061366852504e-08
1890,1.1339088956674459e-07,2.2940352395472985e-08
1891,9.816298529585765e-08,2.6134301389646453e-08
1892,8.838602383320904e-08,3.573052076433214e-08
1893,1.354851661972134e-07,3.2639608404938514e-08
1894,1.0586585830196782e-07,2.2055387294273032e-08
