year,voulions_VERB aller_VERB
1800,1.8864987794131594e-08
1801,4.286128785224719e-08
1802,2.0140561218795483e-08
1803,1.3652374342143503e-08
1804,1.4831105232815389e-08
1805,2.842877755426798e-08
1806,2.881669125542885e-08
1807,9.11025637151397e-08
1808,1.3596443970698147e-08
1809,1.581321384946932e-08
1810,2.3401266702194334e-08
1811,2.5070768572277302e-08
1812,3.7340914360584065e-08
1813,8.91479885467561e-08
1814,9.440030979135372e-09
1815,5.3944472000466703e-08
1816,1.622322720606917e-08
1817,3.7364962679475866e-08
1818,4.410835785506606e-08
1819,5.900098543065724e-08
1820,3.9159388620646496e-08
1821,6.903041693817613e-09
1822,3.709477880420309e-08
1823,6.423746157224741e-08
1824,4.6316120716483056e-08
1825,6.516027895031584e-08
1826,2.6423952803611428e-08
1827,2.3964910056406552e-08
1828,3.5771975603893225e-08
1829,3.1720752247110795e-08
1830,7.410153557430021e-08
1831,5.456922025359745e-08
1832,1.7588959622116818e-08
1833,3.8225973497674204e-08
1834,4.2005389389032644e-08
1835,6.126101226300307e-08
1836,6.04867480547e-08
1837,9.601889416899212e-08
1838,4.102905393210676e-08
1839,3.146163862766116e-08
1840,2.165694112932215e-08
1841,4.6227949468402585e-08
1842,3.085801836277824e-08
1843,3.307870244384503e-08
1844,1.975882035765153e-08
1845,1.9530798311961917e-08
1846,2.2832555401919308e-08
1847,2.0494249852731627e-08
1848,3.539897619475596e-08
1849,2.513824526317876e-08
1850,2.7834882843080777e-08
1851,3.9341575330809064e-08
1852,1.8880582430824688e-08
1853,3.2248433257109355e-08
1854,3.013485283531736e-08
1855,3.290301009428731e-08
1856,3.36517302912398e-08
1857,6.004255936886693e-08
1858,4.7468656561022726e-08
1859,3.3099126994784456e-08
1860,3.707518914097818e-08
1861,3.3483342321005694e-08
1862,3.7047488632424574e-08
1863,3.3963420520422005e-08
1864,2.445311331200628e-08
1865,2.4004906507002488e-08
1866,3.454585240092456e-08
1867,2.135237053835226e-08
1868,3.013323279787983e-08
1869,4.737013625799591e-08
1870,2.408300403544672e-08
1871,4.885741589077952e-08
1872,2.9027228620748247e-08
1873,3.4718826924518e-08
1874,2.2106053876314036e-08
1875,3.833423178889461e-08
1876,3.4462285469771814e-08
1877,4.391219476929109e-08
1878,3.925407554561389e-08
1879,4.520900631632685e-08
1880,4.941741593711413e-08
1881,4.671580100534811e-08
1882,2.5290463057103807e-08
1883,5.561018312505439e-08
1884,3.300848305798354e-08
1885,1.6758653131887513e-08
1886,1.936039240035825e-08
1887,3.590908548289917e-08
1888,2.282621380800265e-08
1889,2.4434033463194282e-08
1890,2.4906668727453507e-08
1891,1.4023283867459213e-08
1892,2.9462007944403013e-08
1893,1.9091091374434654e-08
1894,2.5836310868498913e-08
1895,2.9491211250842753e-08
1896,2.240870955461105e-08
1897,3.088158351260972e-08
1898,2.1501747937691107e-08
