year,excellentes_ADJ règles_NOUN
1800,9.432493897065797e-09
1801,4.0480102825313224e-08
1802,3.5805442166747525e-08
1803,4.290746247193056e-08
1804,4.2021465418429216e-08
1805,3.695740957709859e-08
1806,3.458002950651462e-08
1807,3.9857372513552036e-08
1808,4.758755522971114e-08
1809,4.0662548883574345e-08
1810,5.3822915901946544e-08
1811,7.270522672797597e-08
1812,3.200649700829672e-08
1813,6.326631307729258e-08
1814,6.293354282149721e-09
1815,3.506390555685357e-08
1816,7.184571870766376e-08
1817,6.538868291272593e-08
1818,6.199012148044858e-08
1819,3.9333990287104825e-08
1820,6.170570543417853e-08
1821,5.621048160264763e-08
1822,6.817418807258946e-08
1823,3.4589405117912975e-08
1824,6.82110155025839e-08
1825,5.811592274085342e-08
1826,3.2589543508265706e-08
1827,2.1199728195142598e-08
1828,2.2930752408001354e-08
1829,4.200856196234781e-08
1830,3.5485243188304594e-08
1831,4.053713453799901e-08
1832,1.7588959622116818e-08
1833,4.749287541017111e-08
1834,1.6802156110884425e-08
1835,3.100866052818674e-08
1836,4.5701099793404865e-08
1837,3.826840000442644e-08
1838,5.428459104450667e-08
1839,1.677954131196202e-08
1840,2.5478755105723394e-08
1841,2.760835826620678e-08
1842,1.8783142152756227e-08
1843,3.0125246297529884e-08
1844,3.512679214168202e-08
1845,4.3525776760589e-08
1846,3.571245699163228e-08
1847,1.4022381478184798e-08
1848,1.930853166243196e-08
1849,1.256912263158938e-08
1850,3.1229383523623255e-08
1851,3.740674614505224e-08
1852,3.580800012059626e-08
1853,2.6873692604567623e-08
1854,3.221311928314208e-08
1855,4.776243400783642e-08
1856,1.501384794266869e-08
1857,4.8326938895115745e-08
1858,1.1744822003834088e-08
1859,2.9025388315062628e-08
1860,2.3801355553132453e-08
1861,1.744906619194353e-08
1862,1.2198563048571032e-08
1863,2.6471489888990618e-08
1864,2.9727313943794798e-08
1865,2.9653119071326728e-08
1866,1.1677471434268227e-08
1867,2.0867089389753346e-08
1868,1.9265508299781686e-08
1869,4.0044856319809696e-08
1870,3.2110673231500186e-08
1871,9.559059321873065e-09
1872,1.3304146229131675e-08
1873,1.3169209722718733e-08
1874,2.6288279997288555e-08
1875,1.7736734747586524e-08
1876,1.5115036333668286e-08
1877,1.7317484335421796e-08
1878,7.2469061862534545e-09
1879,1.3440515367335593e-08
1880,2.3746030919369332e-08
1881,1.8128519130300447e-08
1882,1.4641846846075168e-08
1883,1.64302811356265e-08
1884,1.7824582698722224e-08
1885,1.0313017106966527e-08
1886,1.5488312854472497e-08
1887,1.1752064210668323e-08
1888,1.6485598663962264e-08
1889,6.265136853755848e-09
1890,1.2453334363726754e-08
1891,3.1871101313640793e-09
1892,8.775916882086676e-09
1893,1.539604177480669e-08
1894,1.2603078580752936e-08
1895,1.0833506536300774e-08
1896,7.66613794667137e-09
1897,8.157399200570126e-09
1898,2.2067583316243145e-08
1899,1.3818945987509323e-08
1900,8.824790675987515e-09
1901,1.900171220370339e-08
1902,3.928227076954727e-09
1903,1.3500550899436803e-08
1904,8.061937784020756e-09
1905,7.2250627702885595e-09
1906,1.0288369267641428e-08
1907,7.199980611716228e-09
1908,4.4202499438483756e-09
1909,8.251475058784763e-09
1910,7.481810726517324e-09
1911,1.5961122423746588e-09
1912,5.730363294986773e-09
1913,1.4318072061314524e-08
1914,8.705766774141921e-09
1915,1.0602685840410686e-08
1916,1.4283700444650549e-08
1917,1.0966424435210342e-09
1918,3.44591288836682e-09
1919,8.287063479883727e-09
1920,9.086678076641874e-09
1921,6.058197943303867e-09
1922,8.853522359686394e-09
1923,4.246379248229459e-09
1924,6.445812328337297e-09
1925,1.0998177923937646e-09
1926,5.57306911730393e-09
1927,1.0034302277972529e-08
1928,5.713020723163709e-09
1929,6.684243825105796e-09
1930,1.1553964007759987e-08
1931,9.124285327288817e-09
1932,2.1919073223131136e-09
1933,1.0323596200123575e-08
1934,5.990790086229936e-09
1935,5.98414207075848e-09
