year,tes_DET oies_NOUN,tes_DET rois_NOUN
1800,0.0,7.54599476238127e-08
1801,0.0,3.0955373153673804e-08
1802,2.2378401354217203e-09,3.8043282302169246e-08
1803,0.0,7.996391171438688e-08
1804,0.0,5.1908870757344516e-08
1805,0.0,1.1940086563910768e-07
1806,0.0,1.0950342321791595e-07
1807,0.0,7.971474014212276e-08
1808,0.0,9.74411822340926e-08
1809,0.0,3.388545866123138e-08
1810,0.0,1.193464669313471e-07
1811,0.0,5.515568979319596e-08
1812,0.0,2.9339291440777515e-08
1813,0.0,6.326631663000626e-08
1814,0.0,1.6677389025332445e-07
1815,0.0,8.091670800070005e-08
1816,0.0,5.3304887615013286e-08
1817,0.0,1.2766361301430607e-07
1818,0.0,6.675859420823826e-08
1819,0.0,7.763287612760905e-08
1820,0.0,1.1629151863701281e-07
1821,8.875339574387908e-09,8.086420066888422e-08
1822,1.0025615893027862e-09,8.822541985864518e-08
1823,0.0,4.150728349916477e-08
1824,0.0,9.263223788025243e-08
1825,0.0,8.981551746778393e-08
1826,0.0,9.60070267730373e-08
1827,0.0,1.0139000128361886e-07
1828,9.172301140836225e-09,5.411657844067719e-08
1829,0.0,5.6582962759677e-08
1830,0.0,3.6528925662082656e-08
1831,0.0,4.989185953263586e-08
1832,0.0,1.0282776452541498e-07
1833,0.0,6.83434069337352e-08
1834,9.334530925997342e-10,5.227337163127288e-08
1835,7.563087933704082e-10,4.61348363955949e-08
1836,3.36037508930076e-09,5.645430101175464e-08
1837,0.0,4.1747346357645654e-08
1838,0.0,4.102905393210676e-08
1839,2.7965900706306e-09,2.936419518650979e-08
1840,0.0,3.821813049365019e-08
1841,0.0,4.365973005349133e-08
1842,0.0,4.494537630961304e-08
1843,0.0,3.4260085490789294e-08
1844,1.097712254427563e-09,4.720162860571975e-08
1845,5.580227946389016e-10,3.961961836385086e-08
1846,5.854501328173001e-10,4.9177812488920836e-08
1847,5.3932236454556914e-09,3.020205330273029e-08
1848,1.6090443422100975e-09,3.459445252484983e-08
1849,0.0,3.351766042491988e-08
1850,6.788996032014438e-10,3.53027802546535e-08
1851,3.2247193804124663e-09,5.0305620558077635e-08
1852,0.0,4.166749079104193e-08
1853,5.971931837933653e-10,4.4192296266842845e-08
1854,2.0782657816909023e-09,4.104575013208489e-08
1855,5.306937111981824e-10,4.988520885262915e-08
