year,les_DET aigles_NOUN,les_DET règles_NOUN
1800,1.0815925861606956e-06,1.792173839021416e-05
1801,6.476816634126692e-07,1.887801477096218e-05
1802,8.593305835802312e-07,2.1015556285419734e-05
1803,1.0551335325459377e-06,2.1178733845772513e-05
1804,8.107670932400168e-07,2.767978776319069e-05
1805,1.0547076465527994e-06,2.518789676742017e-05
1806,1.0690992695572277e-06,2.5012888272613054e-05
1807,7.686778928928106e-07,3.3317916859232355e-05
1808,9.494849955160589e-07,2.8035867671860615e-05
1809,1.041413042912609e-06,2.1829012212037924e-05
1810,8.728672566959972e-07,3.4601112702148384e-05
1811,9.401537850450836e-07,2.5863003202175605e-05
1812,8.961819375485902e-07,2.9179257694522676e-05
1813,9.80627930857736e-07,2.862225596800272e-05
1814,8.968029763245511e-07,2.2376021206582664e-05
1815,1.5536007875738278e-06,2.1480687678376853e-05
1816,2.083525897589311e-06,2.858996242594003e-05
1817,1.2906480284513577e-06,2.3421603145834524e-05
1818,1.0419108678050293e-06,2.2069676106184488e-05
1819,9.916305736545894e-07,2.803271434004273e-05
1820,1.044250307558059e-06,2.1556649926424143e-05
1821,8.155450625935146e-07,2.6410051532366197e-05
1822,1.19104316809171e-06,2.4540703407183173e-05
1823,8.143333882770776e-07,2.062022656446061e-05
1824,7.654791378541859e-07,2.415848871351045e-05
1825,9.545100425611963e-07,2.417710516056104e-05
1826,1.0825012692894376e-06,2.3050494519338827e-05
1827,9.613615770120987e-07,2.8819647127420467e-05
1828,9.511676589690765e-07,2.8388271516632813e-05
1829,8.178809833836453e-07,2.884445120798773e-05
1830,9.72713120050983e-07,2.72923251714019e-05
1831,1.1553083891779892e-06,2.272730046115612e-05
1832,8.943309877107453e-07,2.795291743495909e-05
1833,1.0795941762786754e-06,2.7238902703174972e-05
1834,1.0239980463566667e-06,2.5743703190528322e-05
1835,1.0285799589837552e-06,2.5930803076334996e-05
1836,1.0181936580533346e-06,2.4733704321988625e-05
1837,8.975679308687035e-07,2.3386167640637723e-05
1838,1.1380827684703831e-06,2.4436272155980987e-05
1839,8.228966079659727e-07,2.541610876960476e-05
1840,9.59275106016122e-07,2.5039882530109026e-05
1841,1.0799362826219294e-06,2.7492147410157486e-05
1842,1.0075813872134631e-06,2.736972146522021e-05
1843,8.582741575224873e-07,2.7224953555560205e-05
1844,8.095627941351324e-07,2.6458708134668996e-05
1845,9.402684084669488e-07,2.7841431915476278e-05
1846,7.962121557625323e-07,2.8164834702693042e-05
1847,6.568946160356859e-07,2.75566758318746e-05
1848,6.412041939629631e-07,2.4959495249277097e-05
1849,7.323608830489547e-07,2.8219355044711847e-05
1850,8.397987869557255e-07,2.5989634877987555e-05
1851,9.242045519997077e-07,2.6416902073833626e-05
1852,8.164223688211791e-07,2.8636634851864073e-05
1853,1.2039414336584287e-06,2.4807405111459957e-05
1854,8.203953973939804e-07,2.597260686343361e-05
1855,1.122417220500438e-06,2.4858223810042546e-05
1856,8.428463835752353e-07,2.749139230218134e-05
1857,9.62145442873208e-07,2.387887866461824e-05
1858,8.231162889060784e-07,2.176462396619172e-05
1859,1.0652826789581127e-06,2.2902558384885197e-05
1860,8.779038509487691e-07,2.187482027693477e-05
1861,9.370619840076699e-07,2.1280786086208536e-05
1862,7.856778165837852e-07,2.1790247956232633e-05
1863,9.294989474217807e-07,2.2423850509767362e-05
1864,7.609233447780639e-07,2.0992277882214694e-05
1865,7.851016241566811e-07,2.2451647964771837e-05
1866,7.502774943546342e-07,2.3684343545937736e-05
1867,9.031081962262988e-07,2.0495849412327516e-05
1868,6.831846103283468e-07,2.173297525587259e-05
1869,8.497323102929499e-07,2.337594173695834e-05
1870,9.088467516349397e-07,2.1537660131798475e-05
1871,8.0189888240767e-07,2.0736786382258288e-05
1872,7.135860125018212e-07,2.1566625832747377e-05
1873,6.824045253317479e-07,2.2369099383467983e-05
1874,8.376401943177569e-07,2.189515078043769e-05
1875,6.430996476458617e-07,2.0621528619813034e-05
1876,6.021830998292899e-07,2.229830624855822e-05
1877,6.871330675561893e-07,1.9982522644568235e-05
1878,6.872482853914619e-07,2.0641605601667834e-05
1879,5.687781720054019e-07,2.1035629288235214e-05
1880,7.342015901912191e-07,2.3294214997804374e-05
1881,5.745346201013746e-07,2.2071473040341516e-05
1882,5.796840625293953e-07,2.259103848700761e-05
1883,5.845388746372748e-07,2.1562849155998265e-05
1884,5.360577945978662e-07,2.1594811755676346e-05
1885,5.046932793906223e-07,2.4621038619443425e-05
1886,6.150151166117723e-07,2.33744467550423e-05
1887,5.079503462290802e-07,2.404668225608475e-05
1888,4.711076719843277e-07,2.26924257731298e-05
1889,5.312835935633586e-07,2.2161668312037364e-05
1890,5.04687760916056e-07,2.426696005386475e-05
1891,4.627683716229569e-07,2.4096463221212616e-05
1892,4.224977194766666e-07,2.2576047740585636e-05
1893,4.988317368059825e-07,2.4493253931723302e-05
1894,4.921502305688108e-07,2.409708667983068e-05
1895,4.381551459431421e-07,2.289781946274161e-05
1896,4.1397144467936187e-07,2.3273804799828213e-05
1897,5.44797704282729e-07,2.3249752302945126e-05
1898,4.5210255494865237e-07,2.3817148303351132e-05
1899,4.2562353641528716e-07,2.2640960651187925e-05
1900,5.606337483143875e-07,2.212374999999156e-05
1901,4.543644789301027e-07,2.420315240669879e-05
1902,4.895552866424069e-07,2.11849278457521e-05
1903,5.529825588546089e-07,2.3488797296522534e-05
1904,5.19188789738223e-07,2.3366183768303017e-05
1905,4.897560441641247e-07,2.4499671098965337e-05
1906,4.634910184542207e-07,2.3850497655075742e-05
1907,4.3971309882095966e-07,2.486513403709978e-05
1908,5.088199119818171e-07,2.256979678350035e-05
1909,5.143419645747827e-07,2.1906016172579257e-05
1910,6.616058305652928e-07,2.3033824618323706e-05
1911,6.288682380395372e-07,2.4482766093569808e-05
1912,6.115860387012617e-07,2.438998967591033e-05
1913,5.27647468828718e-07,2.339838124498783e-05
1914,5.297124325842617e-07,2.4299133883687318e-05
1915,7.150922716192554e-07,2.392554938523972e-05
1916,5.889279535153946e-07,2.49810939294548e-05
1917,5.472245782067731e-07,2.358219853704213e-05
1918,5.398596751859941e-07,2.231343478342751e-05
1919,4.9630302889625e-07,2.3712972051725956e-05
1920,4.376749913603817e-07,2.7422836637924775e-05
1921,5.141895504934269e-07,2.6467509769645403e-05
1922,5.946615857510551e-07,2.52738566359767e-05
1923,4.71348107211611e-07,2.6889135369856376e-05
1924,4.885925539710456e-07,2.5112884259215207e-05
1925,5.455096214745936e-07,2.5696142301967484e-05
1926,5.31670807824014e-07,2.4383293066421174e-05
1927,5.797596944745464e-07,2.4920746909629088e-05
1928,4.056244700123557e-07,2.6151923066208838e-05
1929,4.745812987039244e-07,2.8942775998075376e-05
1930,4.6530965214230946e-07,2.7944836574533838e-05
1931,3.6269034175973047e-07,2.5382621515745996e-05
1932,4.1755833546375243e-07,2.511925799808523e-05
1933,3.464140085895906e-07,2.4516246185157797e-05
1934,3.8700504489952436e-07,2.6512841031944845e-05
1935,4.895028222762221e-07,2.560135726525914e-05
1936,4.849885772983953e-07,2.567529554653447e-05
1937,4.4824382161579024e-07,2.6053542114823358e-05
1938,4.926781418390647e-07,2.779871670099965e-05
1939,5.215271325909043e-07,2.568941567915317e-05
1940,3.423306864647202e-07,2.4607236809970345e-05
1941,4.043558625710375e-07,2.2809212623542408e-05
1942,4.6423438604392686e-07,2.180991441491642e-05
