year,aurais_VERB ajouté_VERB
1800,1.2576657937302116e-08
1801,0.0
1802,1.5664880947952042e-08
1803,1.950339223455444e-09
1804,0.0
1805,0.0
1806,0.0
1807,1.7081731584767113e-08
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,8.091670444798638e-09
1816,2.3176038865813098e-09
1817,6.227493631882908e-09
1818,1.1921177378582115e-09
1819,3.1053151161586356e-09
1820,7.119888678630559e-09
1821,2.5639868894700157e-08
1822,1.2030739071633434e-08
1823,3.9530747564242574e-09
1824,8.421112696055388e-10
1825,1.7610886082763955e-09
1826,8.80798456392995e-09
1827,4.608636583469661e-09
1828,6.420610709767516e-09
1829,7.715858174606183e-09
1830,2.2961039292113128e-08
1831,9.354723218280014e-09
1832,2.705993873419743e-09
1833,1.0425265983826648e-08
1834,7.467624740797874e-09
1835,8.31939672707449e-09
1836,4.032449929525228e-09
1837,9.045257876039159e-09
1838,6.312161904276081e-10
1839,2.0974426639952526e-09
1840,1.9109065441114126e-09
1841,3.2102742686390684e-09
1842,4.024959032733477e-09
1843,5.906910960362666e-09
1844,1.097712254427563e-09
1845,6.138250796539069e-09
1846,4.0981511517657054e-09
1847,2.1572894581822766e-09
1848,2.413566457803995e-09
1849,8.379414939696517e-10
1850,5.431196825611551e-09
1851,1.2898877521649865e-08
1852,0.0
1853,1.1943863675867306e-09
1854,0.0
1855,3.714855978387277e-09
1856,7.248064815001953e-09
1857,8.298565390418844e-09
1858,3.4255731584664773e-09
1859,5.092173349652285e-09
1860,4.577183909670879e-10
1861,9.431927461278633e-10
1862,1.8071945051545413e-09
1863,4.994620717013731e-09
1864,2.3973640850272204e-09
1865,3.294791106611683e-09
1866,0.0
1867,1.455843445796745e-09
1868,0.0
1869,2.441759683335931e-09
1870,6.880858549607183e-09
1871,1.1683295220166201e-08
1872,1.1489944995446422e-08
1873,3.591602570907071e-09
1874,1.2546679251101978e-08
1875,4.577221712764867e-09
1876,6.04601479992084e-10
1877,1.8554447978047506e-09
1878,6.039088673581716e-10
1879,1.221865053580018e-09
1880,7.059631101924424e-09
1881,6.9725074602899895e-09
1882,6.655385131892899e-09
1883,3.159669414998234e-09
1884,8.582206056928499e-09
1885,4.511945039809007e-09
1886,2.5813855497602844e-09
1887,1.9586774424595887e-09
1888,1.268122939990235e-09
1889,6.265136853755848e-09
1890,8.520702365899524e-09
1891,0.0
1892,4.387958441043338e-09
1893,6.158416554491453e-10
1894,2.520615716150587e-09
1895,6.018614495673091e-10
1896,1.179405795248556e-09
1897,4.078699600285063e-09
1898,2.8291773368493978e-09
1899,2.7637891975018647e-09
1900,2.07642125715779e-09
1901,1.1177477832191585e-09
1902,9.820567692386817e-10
1903,6.480264325148255e-09
1904,2.1498500757388683e-09
1905,2.0643036169332163e-09
1906,4.629765903985117e-09
1907,1.028568674676933e-09
1908,4.911389073214423e-09
1909,7.151278680339601e-09
1910,2.137660271017694e-09
1911,1.0640748282497725e-09
1912,2.0837684910901544e-09
1913,2.121195885607108e-09
1914,6.696743715117748e-10
