year,quelques_DET adieux_NOUN
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,1.4408345627714425e-08
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,7.521229861140455e-09
1812,0.0
1813,0.0
1814,0.0
1815,8.091670444798638e-09
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,1.1866481131050932e-09
1821,0.0
1822,1.0025615893027862e-09
1823,9.882686891060644e-10
1824,0.0
1825,8.805443041381977e-10
1826,5.284790383086602e-09
1827,1.8434546111834038e-09
1828,3.668920500743411e-09
1829,1.2859763920403111e-08
1830,3.1310507520032616e-09
1831,1.5591206103948707e-09
1832,1.3529969367098715e-09
1833,1.1583628500844156e-09
1834,0.0
1835,7.563087933704082e-09
1836,6.720750067579218e-10
1837,1.3915781860163179e-09
1838,1.2624323808552163e-09
1839,2.0974426639952526e-09
1840,5.732719632334238e-09
1841,1.2841097074556274e-09
1842,7.379091560011375e-09
1843,5.906911071384968e-10
1844,4.390849017710252e-09
1845,1.1160455892778032e-09
1846,1.1709002656346001e-09
1847,1.6179670936367074e-09
1848,6.43617736884039e-09
1849,8.379414939696517e-10
1850,0.0
1851,6.449438760824933e-10
1852,1.9531636308300904e-09
1853,2.388772735173461e-09
1854,2.0782657816909023e-09
1855,1.2205955357558196e-08
1856,5.177189232874468e-10
1857,3.4170564155999728e-09
1858,2.4468380654951716e-09
1859,0.0
1860,1.8308735638683515e-09
1861,3.772771095533756e-09
1862,2.710791813242963e-09
1863,4.994620828036034e-10
1864,3.835782358407869e-09
1865,8.001635798393636e-09
1866,1.1190909532388105e-08
1867,9.7056229719783e-10
1868,6.915823469455518e-09
1869,8.790334682373668e-09
1870,2.8670243956696595e-09
1871,4.248470908407853e-09
1872,5.442605477412599e-09
1873,0.0
1874,2.3898436563030145e-09
1875,2.860763514966891e-09
1876,4.232210137899983e-09
1877,1.2369631985365004e-09
1878,4.831270883354222e-09
1879,7.331190321480108e-09
1880,1.9253538763308597e-09
1881,6.972507571312292e-10
1882,7.320923423037584e-09
1883,1.8958017378167824e-09
1884,6.601696966868076e-10
1885,0.0
1886,5.162771099520569e-09
1887,3.264462311580729e-09
1888,0.0
1889,1.2530273485467092e-09
1890,6.554386478008212e-10
1891,4.461953917456185e-09
1892,1.8805537127519756e-09
1893,4.310891643655168e-09
1894,9.452309157609307e-09
1895,1.8055843487019274e-09
1896,0.0
1897,1.7480140668268973e-09
1898,1.13167097914868e-09
1899,3.3165470370022376e-09
1900,2.07642125715779e-09
1901,1.1177477832191585e-09
1902,1.9641135384773634e-09
1903,5.400220270956879e-10
1904,4.299700151477737e-09
1905,1.0321518084666081e-09
1906,2.572092261399206e-09
1907,0.0
1908,0.0
1909,1.6502950117569526e-09
1910,5.344150677544235e-10
1911,8.51259862599818e-09
1912,5.209421227725386e-10
1913,7.954484182448596e-09
1914,6.696743715117748e-10
1915,0.0
