year,puissions_VERB entrer_VERB,puissions_VERB rentrer_VERB
1800,1.8864987794131594e-08,0.0
1801,9.524730337773235e-09,2.3811825844433088e-09
1802,8.951360541686881e-09,0.0
1803,3.1205427575287104e-08,0.0
1804,9.887403784603066e-09,0.0
1805,5.401467717547348e-08,0.0
1806,2.881669125542885e-09,0.0
1807,1.1387820464392462e-08,0.0
1808,4.5321479902327155e-09,0.0
1809,2.25903047379461e-08,0.0
1810,3.7442028144596406e-08,0.0
1811,2.0056614147279106e-08,0.0
1812,2.6672082320544632e-09,0.0
1813,5.751483289628823e-09,0.0
1814,3.776012391654149e-08,0.0
1815,4.045835311217161e-08,0.0
1816,1.8540831092650478e-08,0.0
1817,6.227493631882908e-09,0.0
1818,1.4305412854298538e-08,0.0
1819,7.24573512300708e-09,2.070210003424222e-09
1820,1.1866481131050932e-08,0.0
1821,9.861488514673056e-09,1.97229765852569e-09
1822,2.606660132187244e-08,0.0
1823,1.3835761869529506e-08,0.0
1824,1.8526447931321854e-08,1.6842225392110777e-09
1825,1.937197424695114e-08,0.0
1826,1.9377566218281572e-08,6.1655889282974385e-09
1827,1.6591091167583727e-08,0.0
1828,1.4675682002973645e-08,0.0
1829,2.0575622983187714e-08,0.0
1830,1.5655253093882493e-08,0.0
1831,1.091384405071949e-08,0.0
1832,2.1647950987357945e-08,0.0
1833,5.791814139399776e-09,0.0
1834,2.0535967593104942e-08,0.0
1835,1.3613558280667348e-08,0.0
1836,2.1506400216253496e-08,0.0
1837,8.349468672008697e-09,0.0
1838,3.3454458758797045e-08,1.2624323808552163e-09
1839,1.5381244722334486e-08,2.7965900706306e-09
1840,2.229391071750797e-08,1.2739377330817092e-09
1841,2.1829865914924085e-08,2.5040138851295524e-08
1842,3.219967226186782e-08,2.0124795163667386e-09
1843,1.5357969118667825e-08,1.1813822142769936e-09
1844,2.9638231424655714e-08,2.7442805805577564e-09
1845,2.511102614732863e-08,0.0
1846,1.1709002656346001e-08,0.0
1847,1.5101026207275936e-08,2.1572894581822766e-09
1848,2.494018680465615e-08,8.045221711050488e-10
1849,3.351765798242923e-08,8.379414939696517e-10
1850,8.82569484161877e-09,6.788996032014438e-10
1851,1.3543821175687754e-08,0.0
1852,3.1250618093281446e-08,6.510545436100301e-10
1853,1.851298847554972e-08,0.0
1854,2.5458755104068587e-08,5.195664343204953e-09
1855,1.963566731433275e-08,1.0613874223963649e-09
1856,2.3815070804289462e-08,2.5885946719483854e-09
1857,2.0502337605421417e-08,9.763018171682347e-10
1858,1.3212924976357954e-08,1.468102750479261e-09
1859,2.3933214521321133e-08,0.0
1860,1.373155189554609e-08,4.577183909670879e-10
1861,2.971057178058345e-08,3.3011746669586728e-09
1862,3.027050965442868e-08,9.939570055905733e-09
1863,1.6482248454963155e-08,1.3485475847119233e-08
1864,2.7809422320501653e-08,9.589455896019672e-10
1865,2.3063536858103362e-08,2.8241067262513297e-09
1866,2.919367680931373e-08,4.865612912574591e-10
1867,3.154327288257264e-08,1.94112459439566e-09
1868,1.432563490055827e-08,4.93987406535723e-10
1869,2.4417595057002472e-08,0.0
1870,1.9495765002375265e-08,1.7202146374017957e-09
1871,1.3807530230280918e-08,5.3105884134652115e-09
1872,1.3304146229131675e-08,6.047339518033823e-09
1873,2.334541804316359e-08,1.1972008939764578e-09
1874,1.3741600746186577e-08,0.0
1875,2.9179789251543298e-08,0.0
1876,2.8416270225761764e-08,1.209202959984168e-09
1877,2.040989244278535e-08,0.0
1878,1.0266450800600069e-08,7.2469061862534545e-09
1879,1.9549840857280287e-08,7.94212251520321e-09
1880,7.701415505323439e-09,6.417846254436199e-10
1881,9.761510710859511e-09,0.0
1882,1.3976308999019693e-08,5.324308105514319e-09
1883,1.8326083761621703e-08,6.319338941018771e-10
1884,2.442627788923346e-08,1.9805090900604227e-09
1885,2.0626034213933053e-08,1.2891271383708158e-09
1886,2.1296431285122708e-08,0.0
1887,2.154545164501087e-08,4.570247291724172e-09
1888,1.268122939990235e-08,0.0
1889,3.195219733242993e-08,3.759081934617825e-09
1890,2.1629475099871343e-08,3.2771931834929546e-09
1891,2.039750413018737e-08,6.374220040683554e-10
1892,1.191017329205124e-08,1.2537024751679837e-09
1893,1.9091091374434654e-08,1.2316833108982905e-09
1894,2.2055386850183822e-08,1.8904617871129403e-09
1895,1.5648398132839247e-08,0.0
1896,1.2383760683576384e-08,1.7691086373616827e-09
1897,2.0976168357833558e-08,0.0
1898,1.1882545614128048e-08,5.092519295146758e-09
1899,9.39688327150634e-09,5.527578395003729e-09
1900,1.245852754294674e-08,2.07642125715779e-09
1901,2.4031576728589243e-08,1.1177477832191585e-09
1902,1.816805017540446e-08,0.0
1903,2.754112315983548e-08,4.860198465905796e-09
1904,2.1498500757388683e-08,2.1498500757388683e-09
1905,3.715746643706552e-08,1.0321518084666081e-09
1906,1.594697174311932e-08,6.173021205313489e-09
1907,1.3885677496716653e-08,0.0
1908,9.822778146428846e-09,9.822778146428846e-10
1909,2.9705311987981986e-08,0.0
1910,1.068830179917768e-08,8.01622590529405e-09
1911,7.980561100850991e-09,0.0
1912,1.8753915753677575e-08,1.0418842455450772e-09
1913,1.1666577037772186e-08,2.121195885607108e-09
1914,2.0759905794420774e-08,6.696743715117748e-10
1915,4.2410743361642744e-08,1.4136913861761968e-08
1916,1.4283700444650549e-08,8.789969641043172e-09
