year,aux_ADP unes_PRON,aux_ADP runes_NOUN
1800,3.552905738501977e-07,1.8864987794131594e-08
1801,4.690929671369304e-07,2.1430642593855964e-08
1802,4.095247447821748e-07,5.594600338554301e-08
1803,6.338602567268481e-07,0.0
1804,5.017857496181222e-07,0.0
1805,4.0368862563866514e-07,0.0
1806,4.034336722469334e-07,1.2103009794373065e-07
1807,4.156554567202875e-07,0.0
1808,4.1015938911925787e-07,2.2660739951163578e-09
1809,3.4337264054329353e-07,1.8072244145628247e-08
1810,4.3526358384227137e-07,0.0
1811,3.0586335242333007e-07,0.0
1812,2.5871921138787e-07,2.1337665856435706e-08
1813,3.105800914227075e-07,0.0
1814,2.8005426777610865e-07,0.0
1815,3.991890764609707e-07,8.091670444798638e-09
1816,4.0094547415492343e-07,0.0
1817,3.6430837013767814e-07,0.0
1818,4.077042725647573e-07,5.960588467246453e-09
1819,3.61251650815575e-07,3.1053151161586356e-09
1820,3.4175465124519633e-07,8.306536791735653e-09
1821,4.0826561065188116e-07,9.861488514673056e-09
1822,3.920015814173894e-07,1.1028177482330648e-08
1823,4.48673983299841e-07,0.0
1824,3.4779195523526596e-07,3.3684450784221553e-08
1825,3.0642941606373597e-07,3.522177216552791e-09
1826,3.073986665214079e-07,1.8496766784892316e-08
1827,2.949527289075604e-07,7.373818444733615e-09
1828,3.3203731186759455e-07,2.7516904310687096e-09
1829,2.2804648303065278e-07,1.5431716793301575e-08
1830,2.9953719504760556e-07,8.349468672008697e-09
1831,1.9644919801997673e-07,0.0
1832,4.667839537120244e-07,1.2176972319366541e-08
1833,3.1391633337207736e-07,1.0425265983826648e-08
1834,2.464316164463298e-07,2.8003592777992026e-09
1835,3.335321849817774e-07,6.806779140333674e-09
1836,2.607650997354938e-07,1.9490174363312462e-08
1837,3.06147194706341e-07,3.339787646439163e-08
1838,3.3517578579278506e-07,6.9433778726590845e-09
1839,3.2160785501389455e-07,2.1673573158409454e-08
1840,2.9746446550404926e-07,7.643626509512558e-09
1841,2.953452327147943e-07,3.852329122366882e-09
1842,2.824179450300335e-07,2.683306021822318e-09
1843,3.6859125618349253e-07,4.134837805480629e-09
1844,2.980288664744535e-07,1.3721403568922597e-08
1845,4.2130719979383e-07,7.812319346989227e-09
