year,devrons_VERB ajouter_VERB
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,6.015369535816717e-09
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,1.8344602503717056e-09
1829,0.0
1830,5.218417697960831e-09
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,3.36037508930076e-09
1837,4.87052354003481e-09
1838,3.787297142565649e-09
1839,0.0
1840,0.0
1841,6.420548537278137e-10
1842,6.708265054555795e-10
1843,5.906910960362666e-09
1844,1.097712254427563e-09
1845,5.022205318283568e-09
1846,2.9272506640865004e-09
1847,2.1572894581822766e-09
1848,7.24069959545659e-09
1849,4.1897072478036534e-09
1850,0.0
1851,5.159551008659946e-09
1852,9.765818376195057e-09
1853,1.1943863675867306e-09
1854,7.27393034694046e-09
1855,3.714855978387277e-09
1856,2.5885946719483854e-09
1857,3.4170564155999728e-09
1858,2.4468380654951716e-09
1859,6.619825576592575e-09
1860,1.8308735638683515e-09
1861,1.8863854922557266e-09
1862,5.421583626485926e-09
1863,2.9967726078439227e-09
1864,4.794728170054441e-09
1865,3.294791106611683e-09
1866,7.298419202328432e-09
1867,5.338092634588065e-09
1868,1.679557115608077e-08
1869,2.9301114867763545e-09
1870,4.013834153937523e-09
1871,2.1242354542039266e-09
1872,3.628403577593531e-09
1873,4.788803575905831e-09
1874,3.5847653734322193e-09
1875,4.577221712764867e-09
1876,1.6928840551599933e-08
1877,5.566334504436554e-09
1878,3.0195443923020093e-09
1879,8.55305515301552e-09
1880,1.9253538763308597e-09
1881,8.367009307619355e-09
1882,1.3310770263785798e-09
1883,9.479008689083912e-09
1884,1.3203393933736152e-09
1885,2.5782542767416317e-09
1886,7.744156427236248e-09
1887,1.1099172247952538e-08
1888,4.4384300679212174e-09
1889,9.397704836544563e-09
1890,5.898947996740844e-09
1891,7.649063604731055e-09
1892,5.641661360300532e-09
1893,9.853466487186324e-09
1894,6.9316934414587195e-09
1895,1.2037228991346183e-09
1896,1.7691086373616827e-09
1897,1.2236098356765979e-08
1898,7.355861253444118e-09
1899,4.4220627160029835e-09
1900,7.26747462209687e-09
1901,8.38310842965484e-09
1902,2.9461704187383475e-09
1903,1.0800440541913758e-09
1904,3.2247751136083025e-09
1905,6.708986699521802e-09
1906,7.716276506641861e-09
1907,1.2342823652033985e-08
1908,5.893666887857307e-09
1909,4.400786846048277e-09
1910,6.412980813053082e-09
1911,1.0640748282497725e-09
1912,7.293189607793238e-09
1913,6.893886794756554e-09
1914,5.357394972094198e-09
1915,2.3561523843085297e-09
1916,9.888715624128963e-09
1917,0.0
1918,3.44591288836682e-09
1919,8.287063479883727e-09
1920,3.786115865267448e-09
