year,ces_DET ans_NOUN,ces_DET rangs_NOUN
1800,6.288328968651058e-09,2.421006648489765e-07
1801,2.3811825844433088e-09,1.0953440221506128e-07
1802,2.2378401354217203e-08,1.3650824826072494e-07
1803,7.801356893821776e-09,1.7358019732682806e-07
1804,4.943701892301533e-09,4.078554169950621e-07
1805,1.1371510844071508e-08,1.904728037516179e-07
1806,2.0171682990621775e-08,1.5561013455567263e-07
1807,5.693910232196231e-09,1.6227644827893073e-07
1808,2.7192887053217873e-08,1.155697759713803e-07
1809,1.581321384946932e-08,3.0722814869932336e-07
1810,4.680253518074551e-09,1.0062544752997837e-07
1811,2.2563691359778204e-08,1.2284676209617373e-07
1812,1.0668832928217853e-08,1.280259893654545e-07
1813,1.1502966579257645e-08,1.6104153144347322e-07
1814,6.293354282149721e-09,1.8250726796509298e-07
1815,3.776112933451259e-08,3.0478626023011657e-07
1816,4.6352077731626196e-09,1.4832665051756067e-07
1817,1.71256075987003e-08,2.6933909413884294e-07
1818,1.1921177378582115e-09,2.3723143183218554e-07
1819,1.0351050350188018e-08,1.2214239220043055e-07
1820,1.0679833017945839e-08,1.779972222948345e-07
1821,2.1695273910715684e-08,2.031466550533878e-07
1822,5.413832582235045e-08,1.9048670196752937e-07
1823,7.510842370272997e-08,1.3638108598001963e-07
1824,1.2631669044083083e-08,9.852701765566962e-08
1825,4.402721520690989e-09,1.787504961825448e-07
1826,1.7615968683770689e-09,1.7439808264185785e-07
1827,6.452091305675367e-09,1.640674636149697e-07
1828,1.0089531543577834e-08,8.713685861749809e-08
1829,8.57317605795771e-10,2.477647944587602e-07
1830,3.7572609246083744e-08,2.0247460863487277e-07
1831,1.5591206103948707e-09,2.1983601072861347e-07
1832,2.3000947813045514e-08,2.3136247406796429e-07
1833,1.50587169400751e-08,1.540622598383834e-07
1834,1.1201437333241415e-08,1.5588666535393259e-07
1835,3.2521278114927554e-08,1.7470732416313695e-07
1836,1.6801875613037254e-08,1.3239877993953542e-07
1837,1.1132625044041333e-08,1.405494014505848e-07
1838,6.122797135965641e-08,1.9062728817687002e-07
1839,3.845311480343838e-08,1.4961757166531697e-07
1840,1.5287252685958208e-08,1.859949154692231e-07
1841,1.8619591202195807e-08,1.1235959629374292e-07
1842,4.293289501688946e-08,1.536192693052385e-07
1843,5.316220019757623e-09,1.3467756687646215e-07
1844,1.152597861597826e-08,1.7453625567043218e-07
1845,1.0044410192477926e-08,1.2834524509841572e-07
