year,pas_ADV assuré_VERB,pas_ADV rassuré_VERB
1800,7.608878149767406e-07,3.458580977167003e-08
1801,7.238795092234795e-07,1.4287095950749062e-08
1802,6.198816890901071e-07,2.6854081625060644e-08
1803,6.826187473052414e-07,4.8758479920252285e-08
1804,6.822308478149353e-07,2.4718509461507665e-09
1805,6.055329322407488e-07,4.8328921309348516e-08
1806,6.483755328190455e-07,4.610670600868616e-08
1807,5.551562480832217e-07,3.4163463169534225e-08
1808,4.44150515477304e-07,1.1330369531492579e-08
1809,9.442747455068456e-07,2.259030518203531e-09
1810,7.254392926370201e-07,3.7442028144596406e-08
1811,5.039224220126926e-07,0.0
1812,4.6142702103679767e-07,3.200649700829672e-08
1813,5.607695925391454e-07,1.7254450312975678e-08
1814,6.482155185949523e-07,3.776012391654149e-08
1815,6.74305908887618e-07,3.506390555685357e-08
1816,8.181141879504139e-07,6.489290882427667e-08
1817,5.86941268920782e-07,5.1376822796100896e-08
1818,6.914282835168706e-07,3.2187177367859476e-08
1819,6.428002166103397e-07,8.073818946741085e-08
1820,7.179220915531914e-07,2.966620371580575e-08
1821,6.469136337727832e-07,3.155676253641104e-08
1822,6.606881015613908e-07,4.411270992932259e-08
1823,7.481194188585505e-07,4.743689885344793e-08
1824,5.642145310957858e-07,3.789500624407083e-08
1825,5.177600428396545e-07,5.899646993157148e-08
1826,6.130356950961868e-07,6.429828403042848e-08
1827,5.253845642982924e-07,5.530363722527909e-08
1828,5.650137495649687e-07,4.4027046897099353e-08
1829,5.915491669838957e-07,9.344761764396026e-08
1830,4.821818038180936e-07,5.9489963177838945e-08
1831,4.5058584419166436e-07,7.327867024287116e-08
1832,5.452577624964761e-07,5.141388470519814e-08
1833,6.208824743225705e-07,3.359252431778259e-08
1834,6.879549232507998e-07,7.560969805808782e-08
1835,5.392481625676737e-07,3.857174846189082e-08
1836,5.457249017126742e-07,6.04867480547e-08
1837,4.251271263910894e-07,4.5922078584226256e-08
1838,6.305849638010841e-07,2.2723781967215473e-08
1839,6.257370159801212e-07,3.985140750728533e-08
1840,5.363277750802808e-07,7.134051571711097e-08
1841,5.380419452194474e-07,6.22793194793303e-08
1842,5.20561343364534e-07,9.257405508833472e-08
1843,4.7550634008075576e-07,3.6622846977252266e-08
1844,6.514922006317647e-07,4.720162749549672e-08
1845,5.094748303235974e-07,3.013322924516615e-08
1846,6.094535933698353e-07,4.0981507964943376e-08
1847,5.409403343037411e-07,4.368511241636952e-08
1848,5.012173005525256e-07,4.505324113779352e-08
1849,5.32930812369159e-07,7.625267528510449e-08
1850,5.533031526283594e-07,1.0930283877996771e-07
1851,5.604562147709657e-07,3.5471913406581734e-08
1852,5.195415155867522e-07,4.427170807730363e-08
1853,4.771573571815679e-07,2.9859659633757474e-08
1854,4.993033257960633e-07,2.234135720868835e-08
1855,5.354699510462524e-07,5.943769565419643e-08
1856,4.447205412816402e-07,5.850223772085883e-08
1857,5.184162432669837e-07,6.931743001814539e-08
1858,5.657089445776364e-07,5.334106845111819e-08
1859,5.127818667460815e-07,5.9578429301154756e-08
1860,4.4947947230866703e-07,6.499600857523546e-08
1861,4.909318249701755e-07,1.0610918366182887e-07
1862,4.6309358481266827e-07,1.0075109457829967e-07
1863,5.299292524796329e-07,4.7948361725502764e-08
1864,4.785138685292623e-07,9.637403053375238e-08
1865,4.579759433909203e-07,5.977692296710302e-08
1866,4.81695678899996e-07,7.590356432274348e-08
1867,4.668404756102973e-07,6.69687949539366e-08
1868,4.5101049295226403e-07,5.5820578381826635e-08
1869,5.293734943734307e-07,9.962379010630684e-08
1870,4.0998449435392104e-07,5.963410387721524e-08
1871,5.087543968329555e-07,9.028000391708701e-08
1872,4.523409700141201e-07,5.5635521079011596e-08
1873,4.36978325524251e-07,8.500126114086015e-08
1874,4.49290610049502e-07,6.930546447847519e-08
1875,4.903348553852993e-07,1.0241533487942434e-07
1876,4.752167512833694e-07,1.0157305041502696e-07
1877,4.904559318674728e-07,1.1627454199469867e-07
1878,4.764841037285805e-07,7.850815109122777e-08
1879,4.820257686333207e-07,1.0935692529301377e-07
1880,4.376971105557459e-07,8.471557322309309e-08
1881,3.855796819607349e-07,1.0110135661989261e-07
1882,5.058092824583582e-07,1.0914831705122197e-07
1883,4.733184937322221e-07,1.0174135667284645e-07
1884,4.1854758592307917e-07,8.120087358065575e-08
1885,4.022076609544456e-07,6.896830484492966e-08
1886,4.3689951212400047e-07,7.808691293575976e-08
1887,5.040329824623768e-07,6.724792456225259e-08
1888,4.343320938460238e-07,7.672143453874014e-08
1889,4.855480710830307e-07,8.959145247899869e-08
1890,4.627396776868409e-07,8.520702721170892e-08
1891,4.0795009681460215e-07,6.501704774564132e-08
1892,5.03361547998793e-07,8.399806716852254e-08
1893,4.6372875317501894e-07,1.0777228709457631e-07
1894,5.387815917856642e-07,8.381046967542716e-08
1895,5.266287530503178e-07,9.810341339289153e-08
1896,4.293036965918873e-07,8.255840810988957e-08
1897,4.474916011076857e-07,7.749529373768382e-08
1898,4.7360430244225427e-07,8.600699175076443e-08
1899,4.969293172507605e-07,7.628058540376514e-08
1900,5.305256536303204e-07,7.267474444461186e-08
1901,5.354011705094308e-07,6.985923306501718e-08
1902,4.6942312792452867e-07,9.084025265337914e-08
1903,5.022204732085811e-07,8.910363646918995e-08
1904,4.966153710483923e-07,6.23456486437135e-08
1905,4.727255316083756e-07,8.928113004458282e-08
1906,5.241923872745247e-07,8.024927922178904e-08
1907,5.266271614345897e-07,9.719973803612447e-08
1908,4.75913594755184e-07,8.300247600345756e-08
1909,5.22593438745389e-07,8.856583377792049e-08
1910,5.082287088953308e-07,5.2907090264397993e-08
1911,5.064996457804227e-07,6.384448880680793e-08
1912,5.365703827919788e-07,7.60575531444374e-08
1913,5.435564389699721e-07,7.901454779357664e-08
1914,6.120823741184722e-07,6.227971738326232e-08
1915,4.924358449898136e-07,5.301343009023185e-08
1916,5.69150529372564e-07,8.130722051191697e-08
1917,5.823171136398742e-07,7.018511638534619e-08
1918,5.949942760707927e-07,8.844509835626013e-08
1919,6.942717618585448e-07,7.918749389546065e-08
1920,6.527263849420706e-07,6.587841738792122e-08
1921,6.126352900537313e-07,5.982470696608289e-08
