year,voudrions_VERB aller_VERB
1800,0.0
1801,2.6193008650921e-08
1802,1.1189200677108602e-08
1803,0.0
1804,0.0
1805,2.842877711017877e-09
1806,0.0
1807,1.9928686256776018e-08
1808,0.0
1809,0.0
1810,2.106114038724627e-08
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,1.622322720606917e-08
1817,1.556873407970727e-09
1818,0.0
1819,5.175524897538253e-09
1820,2.0173018810965004e-08
1821,1.2819934447350079e-08
1822,4.010246357211145e-09
1823,0.0
1824,2.189489300974401e-08
1825,4.4027217427355936e-09
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,1.0436835840010872e-09
1831,3.1182412207897414e-09
1832,1.3529969367098715e-09
1833,4.6334514003376626e-09
1834,7.467624740797874e-09
1835,1.5882484660778573e-08
1836,1.3441500135158435e-09
1837,2.7831563720326358e-09
1838,5.680945491803868e-09
1839,6.9914751765765e-10
1840,6.3696887764308485e-09
1841,6.420548537278137e-09
1842,1.408735705865638e-08
1843,5.906910960362666e-09
1844,1.0977122322231025e-08
1845,2.0646844234306627e-08
1846,8.196302303531411e-09
1847,4.853901280910122e-09
1848,1.6090443422100975e-09
1849,3.3517659758786067e-09
1850,8.82569484161877e-09
1851,1.3543821175687754e-08
1852,1.9531636308300904e-09
1853,5.3747388761848924e-09
1854,6.234797567117312e-09
1855,3.714855978387277e-09
1856,2.5885946719483854e-09
1857,6.345961978126979e-09
1858,0.0
1859,3.5645213447565993e-09
1860,6.865775947773045e-09
1861,5.187560159214399e-09
1862,8.584174260306554e-09
1863,7.991393324857654e-09
1864,1.342523781033833e-08
1865,7.530950973944073e-09
1866,2.432806400776144e-09
1867,1.2132028714972876e-08
1868,2.9639244392143382e-09
1869,5.860222973552709e-09
1870,1.4335121534259088e-08
1871,1.1683295220166201e-08
1872,2.4189357183956872e-09
1873,1.0774807712721213e-08
1874,5.974609251779839e-09
1875,8.010138330405425e-09
1876,1.813804439976252e-09
1877,1.2369632429454214e-08
1878,4.831270938865373e-09
1879,2.443730195977878e-08
1880,1.1552122813895949e-08
1881,9.064259565150223e-09
1882,1.9966155395678697e-09
1883,3.791603475633565e-09
1884,1.3203393933736152e-08
1885,3.86738152613475e-09
1886,1.0325542199041138e-08
