year,trois_DET routes_NOUN
1800,7.231578535993322e-08
1801,7.619784492263193e-08
1802,1.1636768704192946e-07
1803,1.4042442231243513e-07
1804,4.449331636457998e-08
1805,2.04687196969644e-07
1806,1.0085842205853623e-07
1807,1.3380689267705748e-07
1808,1.0197333111250373e-07
1809,1.1295152901880101e-07
1810,4.680253429256709e-08
1811,9.025476543911282e-08
1812,1.4402924009004892e-07
1813,2.300593315851529e-08
1814,1.258670891957081e-07
1815,3.6412519044404235e-07
1816,2.0163153280350343e-07
1817,7.940054169708333e-08
1818,2.1458118837358597e-07
1819,1.1075623795875345e-07
1820,1.1154492085552192e-07
1821,7.691960934863573e-08
1822,7.920236555492011e-08
1823,1.2254531966959803e-07
1824,1.7347492686781152e-07
1825,1.2944001337444888e-07
1826,1.2331178211866245e-07
1827,1.8250200994884835e-07
1828,7.613010133411535e-08
1829,2.0146964274658785e-07
1830,1.3359149342306864e-07
1831,1.0913844583626542e-07
1832,9.741577855493233e-08
1833,1.366868147556488e-07
1834,1.7082192371731253e-07
1835,1.4218605315363675e-07
1836,1.4315197205405639e-07
1837,1.2593782372505302e-07
1838,2.0893256547083183e-07
1839,1.573081931383058e-07
1840,1.4777677570521064e-07
1841,1.412520713728327e-07
1842,1.1336967720154689e-07
1843,8.683159258282558e-08
1844,1.2953004713267546e-07
1845,1.6182660900199153e-07
1846,9.367202302712485e-08
1847,1.1811159694730122e-07
1848,1.25505458470343e-07
1849,1.3155681699572597e-07
1850,1.0387163840164249e-07
1851,1.238292242078387e-07
1852,1.1067927019325907e-07
1853,5.733054386780623e-08
1854,1.1378505426762331e-07
1855,9.340209317088011e-08
1856,1.2425254158898724e-07
1857,1.410756098607635e-07
1858,1.2478874200638757e-07
1859,1.323965026500673e-07
1860,1.6844036920815597e-07
1861,1.1695589918758742e-07
1862,1.0346188705767645e-07
1863,1.2586444331219582e-07
1864,9.49356158130854e-08
1865,1.4026396222277526e-07
1866,1.3234467211020728e-07
1867,1.649955905236311e-07
1868,1.1608704220122945e-07
1869,1.3527347952901891e-07
1870,1.0263947558541986e-07
1871,1.9224330927158917e-07
1872,1.8988644789885711e-07
1873,1.131354840921972e-07
1874,1.804331919430524e-07
1875,1.5791415108878937e-07
1876,1.3784913832637358e-07
1877,1.0452338994326738e-07
1878,1.2621695510972586e-07
1879,1.1118971698920177e-07
1880,1.5531188424233733e-07
1881,1.199271295604376e-07
1882,1.1913139097430303e-07
1883,1.1817163603211611e-07
1884,1.2411190297711983e-07
1885,1.314909674476894e-07
1886,9.680195667272073e-08
1887,1.162148599576085e-07
1888,9.257297506337636e-08
1889,9.209751006267197e-08
1890,1.0093755165030416e-07
1891,8.860166111901435e-08
1892,1.3163876388944118e-07
1893,1.3486932104456173e-07
1894,9.767385833470144e-08
1895,1.2578904140525538e-07
1896,1.0319800836100512e-07
1897,1.1886495876467507e-07
1898,1.0185038590293516e-07
1899,1.1497363061607757e-07
1900,1.053783815763154e-07
1901,1.0506829006828866e-07
1902,7.316322836459221e-08
1903,1.4148576887862419e-07
1904,9.351848007099761e-08
1905,8.102391824138522e-08
1906,6.275905217734135e-08
1907,6.377125671974682e-08
1908,8.005563856272602e-08
1909,6.876229274865864e-08
1910,9.138497514271648e-08
1911,7.501727594672047e-08
1912,8.64763922692191e-08
1913,1.065900923080676e-07
1914,7.366418053322832e-08
1915,1.3901299134033707e-07
1916,1.725031566479629e-07
1917,1.3927358466503392e-07
1918,1.4932289005287203e-07
1919,1.0589025833951382e-07
1920,9.238122800070414e-08
1921,7.951384972670894e-08
1922,6.566362387161462e-08
1923,6.051090295500217e-08
1924,7.606058627374068e-08
1925,5.719052609265418e-08
1926,5.461607877066399e-08
1927,9.588333504950697e-08
1928,5.827280968873083e-08
1929,6.907051641746875e-08
1930,9.033099068744832e-08
1931,7.527535395013274e-08
1932,6.794912810192955e-08
1933,5.73533105452384e-08
1934,7.069132479387008e-08
1935,7.659701850570855e-08
1936,6.426098675405001e-08
1937,7.806493007578297e-08
1938,9.464606165465739e-08
1939,7.494084997006212e-08
1940,1.115744456825496e-07
1941,5.607854980382854e-08
1942,1.0619741441786346e-07
1943,5.2258233296242906e-08
1944,6.747690761699232e-08
1945,6.535512087069151e-08
1946,6.682129871649067e-08
1947,8.463818801374146e-08
1948,6.196976087835537e-08
1949,5.792034940554913e-08
1950,1.0954422613451698e-07
1951,6.396840923628133e-08
1952,8.963083608648503e-08
1953,6.8952495269059e-08
1954,6.058972346068003e-08
1955,6.100645011386518e-08
1956,5.4943192218104286e-08
1957,5.301022487635976e-08
1958,4.3015666140178155e-08
1959,5.42552331950219e-08
1960,7.197666818115067e-08
1961,6.461788082390285e-08
1962,5.200404240568446e-08
1963,5.3668242738780236e-08
1964,6.87488421746707e-08
1965,5.855086460115899e-08
