year,devons_VERB entrer_VERB,devons_VERB rentrer_VERB
1800,5.345079756580162e-08,9.432493897065797e-09
1801,6.905429472681135e-08,9.524730337773235e-09
1802,6.489736392722989e-08,2.2378401354217203e-08
1803,5.460949736857401e-08,5.851017448321727e-09
1804,2.7190360185613827e-08,0.0
1805,8.24434565060983e-08,0.0
1806,1.729001475325731e-08,0.0
1807,1.0533734240425474e-07,0.0
1808,1.1330369531492579e-08,0.0
1809,9.713831161661801e-08,1.129515236897305e-08
1810,4.914266327205041e-08,2.3401267590372754e-09
1811,3.760615285841595e-08,0.0
1812,4.000812481308458e-08,2.6672082320544632e-09
1813,6.326631307729258e-08,0.0
1814,5.664018942752591e-08,1.2586708564299443e-08
1815,6.47333635583891e-08,8.091670444798638e-09
1816,2.0394914201915526e-07,2.0858434979231788e-08
1817,7.628679554727569e-08,1.556873407970727e-09
1818,6.675859509641668e-08,1.5497530370112145e-08
1819,7.659777168100845e-08,3.1053151161586356e-09
1820,7.001224133773576e-08,4.746592452420373e-09
1821,4.6348993976153e-08,8.875339574387908e-09
1822,1.233150754842427e-07,1.604098542884458e-08
1823,9.78386012207011e-08,0.0
1824,9.347434826167955e-08,8.421112696055388e-10
1825,5.459374818883589e-08,0.0
1826,4.7563116112314674e-08,9.688783109140786e-09
1827,7.18947319455765e-08,9.217273055917019e-10
1828,1.0272977135628025e-07,9.172301251858528e-10
1829,8.573176302206775e-08,7.715858174606183e-09
1830,7.618890407457002e-08,9.39315203396518e-09
1831,6.080570358335535e-08,3.1182412207897414e-09
1832,5.817886972181441e-08,1.8941957335982806e-08
1833,3.359252431778259e-08,1.50587169400751e-08
1834,9.054495109239724e-08,2.240287422239362e-08
1835,9.529490796467144e-08,4.5378527602224494e-09
1836,8.468145296092189e-08,1.0753200108126748e-08
1837,1.1271783506572319e-07,5.5663127440652715e-09
1838,8.39517539930057e-08,1.2624323808552163e-09
1839,6.781731087812659e-08,4.194885327990505e-09
1840,6.751869818799605e-08,5.732719632334238e-09
1841,8.66774030328088e-08,1.5409316489467528e-08
1842,1.0397810967788246e-07,0.0
1843,7.206431718032036e-08,7.088293507706567e-09
1844,1.2623691247881652e-07,8.232841963717874e-09
1845,1.060243306483244e-07,2.7901139176833567e-09
1846,6.791221807134207e-08,6.439951683034906e-09
1847,1.1433634483637434e-07,1.4561703842730367e-08
1848,8.68883915927654e-08,7.24069959545659e-09
1849,9.133562173246901e-08,6.703531951757213e-09
1850,7.332116069846961e-08,1.3577992064028876e-09
1851,6.836405219701192e-08,6.449438760824933e-09
1852,7.812654700956045e-08,1.2370036550635177e-08
1853,9.196774897191062e-08,1.0152284346531815e-08
1854,8.105236304345453e-08,1.2989160858012383e-08
1855,1.0932290450682558e-07,1.0083180512765466e-08
1856,1.3305376000971592e-07,8.801221973442352e-09
1857,8.835531417616949e-08,1.2691923956253959e-08
1858,9.444794812907276e-08,5.3830437884982985e-09
1859,6.772590666059841e-08,5.092173349652285e-09
1860,7.689668990451537e-08,6.408057640072684e-09
1861,7.592701933845092e-08,8.960331143725853e-09
1862,6.867339408245243e-08,3.6143890103090826e-09
1863,7.441985161449338e-08,2.4973103585068657e-09
1864,7.383881239775292e-08,6.712618905169165e-09
1865,8.189908839995041e-08,6.589582213223366e-09
1866,8.70944703024179e-08,4.865612801552288e-09
1867,9.268870115874961e-08,7.76449837758264e-09
1868,8.348386870693503e-08,9.87974813071446e-10
1869,7.42294901101559e-08,4.395167341186834e-09
1870,6.250112960515253e-08,5.734048791339319e-09
1871,1.317025919433945e-07,1.0621176826930423e-08
1872,5.744972497723211e-08,1.0885210954825197e-08
1873,1.0295927665993077e-07,1.616221290134945e-08
1874,5.675878611555163e-08,2.3898436563030145e-09
1875,7.495200549101355e-08,2.0597497041308088e-08
1876,6.227395488167531e-08,4.836811839936672e-09
1877,5.071549225021954e-08,9.895705588292003e-09
1878,7.18651520514868e-08,7.850815109122777e-09
1879,5.254019797007459e-08,3.0546627449723474e-09
1880,7.25216651176197e-08,3.8507077526617195e-09
1881,9.552335455964567e-08,3.4862537301449947e-09
1882,7.853354588860384e-08,9.983077475794744e-09
1883,4.2971503688704615e-08,2.5277355764075082e-09
1884,5.8755102116947455e-08,2.6406787867472303e-09
1885,6.1878104418156e-08,1.2891271161663553e-08
1886,3.6784744139595205e-08,5.808117542471791e-09
1887,5.419007464979586e-08,3.9173548849191775e-09
1888,5.7699594435689505e-08,6.974675947901687e-09
1889,5.5133202891965993e-08,1.628935564212952e-08
1890,4.522526708683472e-08,5.243509182406569e-09
1891,6.246735750892185e-08,1.2748440081367107e-09
1892,5.4536059224119526e-08,5.014809900671935e-09
1893,2.7097032173628577e-08,1.2932674486876294e-08
1894,4.600123659770361e-08,1.3863386882917439e-08
1895,4.1528441130367355e-08,3.0093072478365457e-09
1896,3.892039046604623e-08,5.307326134129653e-09
1897,3.787363667129284e-08,5.826713334045053e-09
1898,2.9423445013776472e-08,4.52668391659472e-09
1899,4.09040801230276e-08,1.6029977345510815e-08
1900,3.7894686499839736e-08,6.748368974740515e-09
1901,1.956058603980182e-08,9.500856101851696e-09
1902,1.9641134940684424e-08,4.419255628107521e-09
1903,3.132127801563911e-08,2.7001101354784396e-09
1904,2.418581246388385e-08,1.1286712897629059e-08
1905,3.096455358786443e-08,3.6125313851442797e-09
1906,3.343719967574543e-08,1.388929860013377e-08
1907,3.188563013623025e-08,5.142843484406967e-09
1908,2.9468335327464956e-08,7.858222517143076e-09
1909,2.4204327431220918e-08,8.251475058784763e-09
1910,3.20649036211762e-08,4.809735720812114e-09
1911,2.7665945978583295e-08,5.320374141248863e-10
1912,2.6047105805560022e-08,3.646594803896619e-09
1913,2.0681659052002033e-08,3.71209285532359e-09
1914,2.8795998474606677e-08,1.7411533548283842e-08
1915,3.652036184575991e-08,2.8273827723523937e-08
1916,6.812226160946011e-08,1.8678685265172135e-08
