year,sans_ADP enseigner_VERB,sans_ADP renseigner_VERB
1800,3.144164484325529e-09,0.0
1801,4.7623651688866175e-09,0.0
1802,1.7902721083373763e-08,0.0
1803,0.0,0.0
1804,4.943701892301533e-09,0.0
1805,1.7057265822018053e-08,0.0
1806,0.0,0.0
1807,1.1387820464392462e-08,0.0
1808,4.5321479902327155e-09,0.0
1809,6.7770915546105925e-09,0.0
1810,2.8081521108447305e-08,0.0
1811,2.5070767684098882e-09,0.0
1812,8.00162425207418e-09,0.0
1813,2.8757416448144113e-09,0.0
1814,2.5173416684509675e-08,0.0
1815,1.0788894222457657e-08,0.0
1816,3.244645441213834e-08,0.0
1817,1.0898113522728181e-08,0.0
1818,1.1921177378582115e-09,0.0
1819,4.140420006848444e-09,0.0
1820,0.0,1.1866481131050932e-09
1821,1.0847637454958203e-08,0.0
1822,1.604098542884458e-08,0.0
1823,2.668325471688604e-08,0.0
1824,4.210556348027694e-09,0.0
1825,1.3208164340028361e-08,0.0
1826,1.2331177856594877e-08,0.0
1827,1.3825909306319772e-08,0.0
1828,6.420610709767516e-09,0.0
1829,5.143905745796928e-09,0.0
1830,5.218417697960831e-09,0.0
1831,4.677361609140007e-09,0.0
1832,6.764984572527055e-09,0.0
1833,1.0425265983826648e-08,0.0
1834,8.401078055442213e-09,0.0
1835,7.563087933704082e-09,0.0
1836,2.2850549896702432e-08,0.0
1837,1.3915781860163179e-09,0.0
1838,1.64116205070286e-08,0.0
1839,1.4682098203877558e-08,0.0
1840,2.229391071750797e-08,0.0
1841,2.118781061710706e-08,0.0
1842,8.720744570922534e-09,0.0
1843,7.088293507706567e-09,0.0
1844,1.2623690537338916e-08,0.0
1845,1.4508592549589139e-08,0.0
1846,2.3418005312692003e-08,0.0
1847,7.550513103637968e-09,0.0
1848,8.84974404868899e-09,0.0
1849,1.6758829879393033e-09,8.379414939696517e-10
1850,1.5614691761811628e-08,6.788996032014438e-10
1851,5.159551008659946e-09,6.449438760824933e-10
1852,1.4974254725075298e-08,1.9531636308300904e-09
1853,7.763511611358354e-09,0.0
1854,9.35219601760906e-09,5.195664454227256e-10
1855,1.326734277995456e-08,0.0
1856,1.3978411317339123e-08,5.694908100650764e-09
1857,1.7085282522089074e-08,4.881509085841174e-10
