year,devez_VERB appeler_VERB,devez_VERB rappeler_VERB
1800,6.288328968651058e-09,3.144164484325529e-09
1801,2.3811825844433088e-09,0.0
1802,2.4616241489638924e-08,0.0
1803,9.751696339321825e-09,0.0
1804,4.943701892301533e-09,4.943701892301533e-09
1805,1.9900143755080535e-08,2.842877711017877e-09
1806,0.0,0.0
1807,0.0,0.0
1808,0.0,0.0
1809,0.0,0.0
1810,7.020380277111826e-09,1.6380887757350138e-08
1811,0.0,0.0
1812,0.0,0.0
1813,2.8757416448144113e-09,0.0
1814,2.2026739543434815e-08,0.0
1815,3.776112933451259e-08,5.394447111228828e-09
1816,2.3176038865813098e-09,6.952811659743929e-09
1817,1.556873407970727e-09,1.556873407970727e-09
1818,9.536941902865692e-09,9.536941902865692e-09
1819,1.7596784473994376e-08,1.035105001712111e-09
1820,1.4239777357261119e-08,1.1866481131050932e-09
1821,7.88919063410276e-09,8.875339574387908e-09
1822,2.7069162911175226e-08,9.023054303725075e-09
1823,9.882686669016039e-09,9.882686891060644e-10
1824,1.2631669044083083e-08,0.0
1825,2.641632912414593e-09,8.805443485471187e-09
1826,1.3211976401805714e-08,8.807984341885344e-10
1827,9.217273055917019e-10,0.0
1828,1.8344602503717056e-09,1.8344602503717056e-09
1829,2.571952872898464e-09,6.001223074036943e-09
1830,2.0873671680021744e-09,0.0
1831,0.0,0.0
1832,0.0,0.0
1833,0.0,4.6334514003376626e-09
1834,1.213489042584115e-08,9.334530925997342e-10
1835,6.806779140333674e-09,1.3613558280667348e-08
1836,1.0753200108126748e-08,0.0
1837,1.461157062010443e-08,1.3915781860163179e-09
1838,8.837027110075724e-09,5.680945491803868e-09
1839,2.0974426639952526e-09,3.4957374772659477e-09
1840,1.0191501864653674e-08,6.369688665408546e-10
1841,6.420548537278137e-09,2.5682194149112547e-09
1842,1.408735705865638e-08,1.2745703159566801e-08
1843,7.088293507706567e-09,1.1813822142769936e-09
1844,5.488561161115513e-09,2.195424508855126e-09
1845,7.254296274794569e-09,0.0
1846,1.1123552745573306e-08,0.0
1847,2.1033571329098777e-08,4.853901280910122e-09
1848,4.02261068899179e-09,0.0
1849,3.3517659758786067e-09,0.0
1850,5.431196825611551e-09,6.788996032014438e-10
1851,2.579775504329973e-09,0.0
1852,1.9531636308300904e-09,6.510545436100301e-10
1853,2.9859659189668264e-09,1.1943863675867306e-09
1854,3.63696517347023e-09,2.5978321716024766e-09
1855,2.1227748447927297e-09,1.0613874223963649e-09
1856,2.5885946719483854e-09,9.836659486950339e-09
1857,4.881508974818871e-09,0.0
1858,1.8595969208945462e-08,2.936205500958522e-09
1859,5.092173349652285e-10,0.0
1860,8.696649622663699e-09,1.373155145145688e-09
1861,1.8863854922557266e-09,4.715963730639317e-10
1862,1.536115412648087e-08,6.325180823552046e-09
1863,2.2475793670651e-08,1.9978483312144135e-09
1864,4.794727948009836e-10,2.3973640850272204e-09
1865,2.3534221238463715e-09,4.706844358715045e-10
1866,3.4059290943133647e-09,0.0
1867,4.367530337390235e-09,6.308654931785895e-09
1868,8.89177353968762e-09,1.4819622196071691e-09
1869,8.30198221279943e-09,9.767038289254515e-10
1870,1.1468097582678638e-09,5.734048791339319e-10
1871,1.0621177271019633e-09,8.496941816815706e-09
1872,1.1489944995446422e-08,5.442605477412599e-09
1873,1.7958012854535355e-09,2.3944017879529156e-09
1874,1.1949218281515073e-09,1.1949218281515073e-09
1875,9.7265964171811e-09,2.2886108563824337e-09
1876,3.02300739996042e-09,3.02300739996042e-09
1877,1.2369631985365004e-09,6.184815992682502e-10
1878,6.6429977074733415e-09,1.8117265465633636e-09
1879,5.498392852132383e-09,1.832797580370027e-09
1880,4.492492600149944e-09,1.9253538763308597e-09
1881,6.9725074602899895e-09,0.0
1882,1.9966155395678697e-09,1.3310770263785798e-09
1883,6.319338941018771e-10,0.0
1884,1.3203393933736152e-09,0.0
1885,9.023890079618013e-09,0.0
1886,7.098810428374236e-09,0.0
1887,1.1752064210668323e-08,5.876032105334161e-09
1888,2.53624587998047e-09,6.340614699951175e-10
1889,1.2530273485467092e-09,0.0
1890,2.6217545912032847e-09,3.9326319978272295e-09
1891,3.824531802365527e-09,1.2748440081367107e-09
1892,0.0,6.268512375839919e-09
1893,4.926733243593162e-09,6.15841644346915e-09
1894,4.411077725308132e-09,6.301539290376468e-09
1895,6.018614495673091e-10,5.416753268150387e-09
1896,0.0,4.717623180994224e-09
1897,5.826713556089658e-10,6.409385022720926e-09
1898,9.619203211741478e-09,0.0
1899,7.185851913504848e-09,0.0
1900,2.07642125715779e-09,6.748368974740515e-09
1901,3.912117296778206e-09,1.676621730339889e-09
1902,1.4730852093691738e-09,0.0
1903,1.6200660812870638e-09,3.7801539676252105e-09
1904,0.0,5.912087708281888e-09
1905,1.0321518084666081e-09,5.160759042333041e-10
1906,0.0,2.0576738091193647e-09
1907,0.0,1.5428529565042481e-09
1908,3.437972351250096e-09,4.911389073214423e-10
1909,3.300590023513905e-09,1.1001967115120692e-09
1910,3.206490406526541e-09,0.0
1911,0.0,5.852411444351446e-09
1912,5.209421227725386e-10,0.0
1913,2.121195885607108e-09,5.302989602995467e-09
1914,4.018046340092951e-09,1.3393487430235496e-09
1915,0.0,0.0
1916,0.0,1.0987462051303964e-09
1917,1.0966424435210342e-09,4.386569774084137e-09
1918,0.0,1.1486376294556067e-09
1919,3.6831393490643904e-09,9.207848372660976e-10
1920,2.2716695191604686e-09,3.028892692213958e-09
1921,7.572747429129834e-10,0.0
1922,1.4755870969551665e-09,0.0
1923,3.1847844361720945e-09,3.1847844361720945e-09
1924,2.578324886925998e-09,0.0
