year,grandes_ADJ âmes_NOUN,grandes_ADJ ames_NOUN,grandes_ADJ rames_NOUN
1800,2.138031902632065e-07,5.376521183819705e-07,9.432493897065797e-09
1801,9.762848662830947e-08,7.691219938710248e-07,0.0
1802,1.096541666356643e-07,6.959683105378645e-07,0.0
1803,2.0673596168307995e-07,4.583297297244826e-07,5.851017448321727e-09
1804,1.6314216111368296e-07,7.514427124988288e-07,1.730295728918918e-08
1805,1.7910129201936797e-07,5.117180099656338e-07,2.842877711017877e-09
1806,2.737585589329683e-07,4.5242205715112505e-07,0.0
1807,9.394951661079176e-08,8.313108992297202e-07,0.0
1808,1.4276265858370607e-07,3.580396819025111e-07,0.0
1809,1.423189246452239e-07,3.998484032763372e-07,0.0
1810,1.708292529656319e-07,7.93302945112373e-07,2.3401267590372754e-09
1811,1.5293167621166504e-07,2.3315813280078146e-07,0.0
1812,3.440698606027581e-07,2.667208320872305e-07,2.6672082320544632e-09
1813,2.3005932803243923e-07,4.83124608763319e-07,0.0
1814,3.996279929197044e-07,1.8880062846449164e-07,3.1466771410748606e-09
1815,3.8300575511129864e-07,3.020890346761007e-07,0.0
1816,3.175117342379963e-07,3.5691098787538067e-07,0.0
1817,3.7053587220725603e-07,4.84187626548227e-07,2.1796227045456362e-08
1818,3.0875850143274874e-07,3.5644319495986565e-07,8.344824387052086e-09
1819,5.361844159779139e-07,3.798835326307426e-07,8.280840013696888e-09
1820,4.853390578318795e-07,3.1208845907571003e-07,1.1866481131050932e-08
1821,5.640771405523992e-07,3.0077538404338355e-07,3.94459531705138e-09
1822,5.233371211943449e-07,3.3686070821659087e-07,0.0
1823,3.024102284143737e-07,4.921578238281654e-07,1.581229902569703e-08
1824,4.463189782200061e-07,2.576860582692575e-07,2.5263338088166165e-09
1825,4.7197175945257186e-07,3.32845758066469e-07,7.044354433105582e-09
1826,4.351144298198051e-07,3.0739866474505106e-07,3.963592831723872e-08
1827,3.4564774864520587e-07,2.8573547855570425e-07,9.217273166939322e-09
1828,3.2378224545936973e-07,2.7241733846494753e-07,1.8344602503717056e-09
1829,1.9118182592592348e-07,3.42927052088271e-07,1.800366966620004e-08
1830,2.765761450973514e-07,2.9849350946520303e-07,1.0436835395921662e-08
1831,2.1204040479005926e-07,2.3698632900526206e-07,1.7150327380477393e-08
1832,1.9077256752098037e-07,2.81423363834854e-07,8.117981842303834e-09
1833,2.9769924481115595e-07,3.2781667869130615e-07,1.50587169400751e-08
1834,2.931042786258331e-07,3.4257729453202046e-07,1.9602515166639023e-08
1835,2.1706063080273452e-07,2.7075854802660615e-07,8.31939672707449e-09
1836,3.5754391092268634e-07,2.728624661219037e-07,6.72075017860152e-09
1837,3.0405982442971435e-07,1.6838096428273275e-07,1.1828414692161004e-08
1838,3.175017297962768e-07,1.3823634348320013e-07,1.4517972601879592e-08
1839,2.516931090212893e-07,1.782826188900799e-07,6.9914749545318955e-09
1840,3.872770832913375e-07,6.11490094115652e-08,1.592422194107712e-08
1841,4.3274496874801116e-07,4.301767386749589e-08,3.852329122366882e-09
1842,4.5012458826931834e-07,1.073322439815172e-07,8.049918065466954e-09
1843,5.605658657259482e-07,7.265500490127863e-08,4.134837805480629e-09
