year,mais_CONJ amener_VERB,mais_CONJ ramener_VERB
1800,1.2576657937302116e-08,6.288328968651058e-09
1801,2.3811825844433088e-09,2.3811825844433088e-09
1802,0.0,4.475680270843441e-09
1803,3.900678446910888e-09,5.851017448321727e-09
1804,1.4831105232815389e-08,2.4718509461507665e-09
1805,0.0,1.7057265822018053e-08
1806,0.0,0.0
1807,0.0,0.0
1808,1.5862518409903714e-08,6.798221985349073e-09
1809,2.259030518203531e-09,0.0
1810,0.0,0.0
1811,1.2535384286138651e-08,2.5070767684098882e-09
1812,0.0,0.0
1813,1.4378708224072057e-08,5.751483289628823e-09
1814,0.0,0.0
1815,2.697223555614414e-09,0.0
1816,6.952811659743929e-09,2.3176038865813098e-08
1817,4.670620334934483e-09,7.784366928831332e-09
1818,2.026600132154499e-08,1.1921177378582115e-09
1819,1.2421260464634543e-08,0.0
1820,2.3732962262101864e-09,1.3053129244156025e-08
1821,5.916893086599373e-09,0.0
1822,3.0076847679083585e-09,2.7069162911175226e-08
1823,1.9765373782121287e-09,9.882686891060644e-10
1824,3.3684450784221553e-09,0.0
1825,4.402721520690989e-09,1.7610886082763955e-09
1826,5.284790716153509e-09,4.403992170942672e-09
1827,9.217272944894717e-09,4.608636583469661e-09
1828,1.1006761724274838e-08,0.0
1829,0.0,0.0
1830,8.349468894053302e-09,1.0436835840010872e-09
1831,1.5591206103948707e-09,3.1182412207897414e-09
1832,1.2176972319366541e-08,0.0
1833,1.1583628500844156e-09,1.1583628500844156e-09
1834,1.8669061851994684e-09,0.0
1835,4.5378527602224494e-09,3.025235173481633e-09
1836,2.688300027031687e-09,4.032450096058682e-09
1837,9.74104708006962e-09,0.0
1838,1.4517972601879592e-08,0.0
1839,1.0487212431797843e-08,3.4957374772659477e-09
1840,9.554533164646273e-09,7.0066574764382494e-09
1841,1.926164561183441e-09,2.5682194149112547e-09
1842,0.0,1.341653010911159e-09
1843,6.497602234034616e-09,3.5441467538532834e-09
1844,1.3172546720063849e-08,8.232842185762479e-09
1845,3.348136878855712e-09,0.0
1846,5.854501328173001e-09,5.854501328173001e-09
1847,7.011190739092399e-09,4.853901280910122e-09
1848,0.0,4.02261068899179e-09
1849,1.6758829879393033e-09,8.379414939696517e-10
1850,1.4935791270431764e-08,1.3577992064028876e-09
1851,7.739326512989919e-09,3.2247193804124663e-09
1852,6.510545436100301e-10,0.0
1853,2.9859659189668264e-09,1.7915795513800958e-09
1854,1.7665259477439577e-08,1.1950028078189234e-08
1855,3.714855978387277e-09,8.491099379170919e-09
1856,1.5531567143511893e-09,2.5885946719483854e-09
1857,2.050233871564444e-08,2.4407544874094356e-09
1858,2.9362056119808244e-09,1.9574704079872163e-09
1859,9.675129142294736e-09,5.601390462572908e-09
1860,1.7393299578394306e-08,5.950338888283113e-09
1861,1.226150558863992e-08,5.659156698811785e-09
1862,2.2589931591987522e-09,1.8975542470656137e-08
1863,3.496234635136375e-09,1.9978483312144135e-09
1864,1.1986819759002287e-08,3.3563094525845827e-09
1865,1.9298061815220535e-08,1.364984902885169e-08
1866,5.838735717134114e-09,1.4110277390955162e-08
1867,1.455843445796745e-09,4.85281148598915e-10
1868,3.951899252285784e-09,2.4699371437009177e-09
1869,8.790334682373668e-09,1.4650557433881772e-09
1870,5.160643912205387e-09,5.734048791339319e-10
1871,1.6993883633631413e-08,3.18635318130589e-09
1872,9.071008832961525e-09,9.071009277050734e-09
1873,8.380406590902112e-09,2.9930022904522957e-09
1874,1.0156835816843568e-08,5.974609140757536e-10
1875,5.721527251978387e-09,2.2886108563824337e-09
