year,des_DET adieux_NOUN
1800,1.194782499602809e-07
1801,1.404897671530847e-07
1802,1.544109693440987e-07
1803,1.1897069418509432e-07
1804,2.76847303082306e-07
1805,1.6488690923743832e-07
1806,1.6137347635947208e-07
1807,1.0533733885154106e-07
1808,1.9941451157023948e-07
1809,1.0843346309741264e-07
1810,1.942305178914694e-07
1811,1.9555198527143602e-07
1812,2.0804223765935603e-07
1813,1.6966875193702435e-07
1814,1.7936059570899943e-07
1815,1.7531953311333837e-07
1816,1.5064425440414198e-07
1817,1.3389110942174653e-07
1818,1.5974377243210824e-07
1819,1.1489665752151268e-07
1820,2.219031953742956e-07
1821,1.8539598301003934e-07
1822,1.5740216952053743e-07
1823,1.9172412724088872e-07
1824,2.0631725927700018e-07
1825,2.315831517663014e-07
1826,1.4797413516731694e-07
1827,1.769716488908557e-07
1828,1.8161155895812797e-07
1829,1.6974888439325042e-07
1830,1.8368831589121726e-07
1831,1.6526678581207932e-07
1832,1.7183061462588967e-07
1833,2.339892929414944e-07
1834,1.3348379801492172e-07
1835,1.739510224751939e-07
1836,1.216455767227842e-07
1837,1.0784730919422003e-07
1838,1.4517972779515276e-07
1839,1.9436301201825046e-07
1840,1.471398052288464e-07
1841,1.6115576784159202e-07
1842,1.831356351011948e-07
1843,1.9256529731892513e-07
1844,1.9429506892265636e-07
1845,1.4173779083748173e-07
1846,1.6978054051541847e-07
1847,1.267407530036735e-07
1848,1.488366072610603e-07
1849,1.96078314917969e-07
1850,8.350465208195601e-08
1851,1.5156181154551973e-07
1852,1.3802356613190625e-07
1853,1.3914600849318504e-07
1854,1.0651111914672384e-07
1855,1.8786557731687026e-07
1856,1.3771323637001842e-07
1857,1.5718458912239441e-07
1858,1.722573987894549e-07
1859,1.6804171831807935e-07
1860,2.723424550321596e-07
1861,1.994852680820003e-07
1862,2.8418134001562123e-07
1863,2.1476869493941564e-07
1864,1.836380798536652e-07
1865,1.9250992799868527e-07
1866,1.936513984723831e-07
1867,2.096414561947313e-07
1868,1.615338760529994e-07
1869,2.041310934730589e-07
1870,1.823427493441443e-07
1871,1.4657224300940186e-07
1872,1.8867698325930604e-07
1873,1.6102351541036342e-07
1874,1.7206874236563863e-07
1875,1.962483842099516e-07
1876,1.614285938256188e-07
1877,2.1337614541927508e-07
1878,1.5520457363749074e-07
1879,1.9672027251615987e-07
1880,1.8932645806657433e-07
1881,1.6176217298990991e-07
1882,1.7570217369922148e-07
1883,1.6619861720190698e-07
1884,1.643822553631935e-07
1885,1.546952567155202e-07
1886,1.7101679383735302e-07
1887,1.495123678196819e-07
1888,1.5090663096906098e-07
1889,2.1113511206038993e-07
1890,1.4812913673445394e-07
1891,1.281218215964941e-07
1892,1.523248500667762e-07
1893,1.3240595853059034e-07
1894,2.0480002071998626e-07
1895,1.9861427213996308e-07
1896,1.6570651251157642e-07
1897,1.9694292330285634e-07
1898,1.51643914092503e-07
1899,1.514556533521727e-07
1900,1.3860112257901847e-07
1901,1.5201370229256383e-07
1902,1.345417737219634e-07
1903,1.4958609728665806e-07
1904,1.5317681345550227e-07
1905,1.2901897239459004e-07
1906,1.5638320549626883e-07
1907,1.3525678133063934e-07
1908,1.8123025014027405e-07
1909,2.117878721286104e-07
1910,1.9559590769269164e-07
1911,1.840849392920063e-07
1912,1.4065436948484944e-07
1913,1.5484729498638217e-07
1914,1.7880305103190608e-07
1915,1.8377989219331425e-07
1916,1.494294876724922e-07
1917,1.941057192755835e-07
1918,1.9297112618943402e-07
1919,1.8323618100613004e-07
1920,1.635602124849811e-07
1921,1.7720228662199133e-07
1922,1.6305236866243078e-07
1923,2.080725822750651e-07
1924,1.430970326676828e-07
1925,1.9576756349337643e-07
1926,1.7387976536387129e-07
1927,1.9622636093785673e-07
1928,1.599645780281378e-07
1929,1.5485165105744159e-07
1930,1.586044202639414e-07
1931,1.5625339333524835e-07
1932,1.5343351744689926e-07
1933,1.3650087349326157e-07
1934,1.4617527810401043e-07
1935,1.4242258128405183e-07
1936,1.5155892851836938e-07
1937,1.4983431173565265e-07
1938,1.2705909480104083e-07
1939,1.2999942988756175e-07
1940,1.065028802926804e-07
1941,1.593811393973965e-07
1942,1.0316319776215721e-07
1943,1.916135234925065e-07
1944,1.34953822339412e-07
1945,2.3092142376057723e-07
1946,1.8515068500590814e-07
1947,1.3947418664450595e-07
1948,1.5546799181365145e-07
1949,1.6099893374033059e-07
1950,1.4038677287331325e-07
1951,1.2793682524492311e-07
1952,9.912115572774383e-08
1953,1.3467283710433264e-07
1954,1.5636058314782986e-07
1955,1.295213833962805e-07
1956,1.4389883951082538e-07
1957,1.2015650918684173e-07
1958,1.2904699159266286e-07
1959,1.0696032326507066e-07
1960,1.2734333343367155e-07
1961,1.3340465365718757e-07
1962,1.2620492972903463e-07
1963,1.3708033508308404e-07
1964,1.3384730102039555e-07
1965,1.285930151806447e-07
1966,1.4567767259165976e-07
1967,1.4051456953545483e-07
1968,1.1677681266419881e-07
1969,1.0945636519377189e-07
1970,1.149681267964553e-07
1971,1.16641620362401e-07
1972,1.3748793881163124e-07
1973,1.0861011512375285e-07
1974,8.494612990794792e-08
1975,8.852794408653608e-08
1976,7.94180221030949e-08
