year,voudrais_VERB avoir_VERB,voudrais_VERB ravoir_VERB
1800,1.5091990235305275e-07,0.0
1801,1.0239084957675004e-07,0.0
1802,1.096541666356643e-07,4.475680270843441e-09
1803,1.0726865440346955e-07,0.0
1804,1.2606439270257397e-07,0.0
1805,9.950071699904584e-08,0.0
1806,1.181484350354367e-07,0.0
1807,3.9857372513552036e-08,0.0
1808,1.1330369886763947e-07,0.0
1809,1.197286110254936e-07,0.0
1810,1.661489932303084e-07,0.0
1811,8.273353557797236e-08,0.0
1812,3.9741402702020423e-07,0.0
1813,2.473137783454149e-07,0.0
1814,1.6677388714469998e-07,0.0
1815,7.282503844407984e-08,0.0
1816,1.4369143741532753e-07,0.0
1817,2.8179408673167927e-07,0.0
1818,2.515368464628409e-07,0.0
1819,2.2358267415256705e-07,1.035105001712111e-09
1820,2.088500679064964e-07,0.0
1821,5.167419772078574e-07,0.0
1822,3.9601184198545525e-07,0.0
1823,2.9055098593744333e-07,9.882686891060644e-10
1824,2.240015959387165e-07,0.0
1825,1.9283920948964806e-07,0.0
1826,2.4310037360919523e-07,0.0
1827,2.4702291057110415e-07,1.8434546111834038e-09
1828,2.2013523448549677e-07,0.0
1829,3.420697112233029e-07,0.0
1830,4.132986930471816e-07,0.0
1831,3.788663036630169e-07,0.0
1832,5.154918198968517e-07,0.0
1833,2.837988972714811e-07,6.950177322551099e-09
1834,2.9217082442301034e-07,0.0
1835,3.5773405215877574e-07,0.0
1836,3.1587524063070305e-07,0.0
1837,2.5883355192490853e-07,0.0
1838,2.436494526136812e-07,0.0
1839,3.2510359915249865e-07,0.0
1840,2.5606149733903294e-07,6.369688665408546e-10
1841,2.5553782734277775e-07,1.926164561183441e-09
1842,2.6698896249399695e-07,6.708265054555795e-10
1843,3.0302453524200246e-07,0.0
1844,2.6345094283897197e-07,0.0
1845,2.7398920110499603e-07,0.0
1846,2.7808880531665636e-07,0.0
1847,2.734364272782841e-07,0.0
1848,3.4353095657024824e-07,0.0
1849,2.7316892214912514e-07,0.0
1850,2.477983684912033e-07,1.3577992064028876e-09
1851,2.0573709491600312e-07,0.0
1852,2.4154124389497156e-07,0.0
1853,3.159152015541622e-07,0.0
1854,2.680962722934055e-07,1.0391328908454511e-09
1855,3.051488874916686e-07,1.0613874223963649e-09
1856,3.3910589536390034e-07,0.0
1857,3.3291891554654285e-07,0.0
1858,3.459828974428092e-07,0.0
1859,3.2793596460578556e-07,5.092173349652285e-10
1860,3.977572760049952e-07,0.0
1861,3.428505692681938e-07,0.0
1862,4.0752235008767457e-07,1.8071945051545413e-09
1863,3.7509602179852664e-07,9.989241656072068e-10
1864,4.6892438376744394e-07,4.794727948009836e-10
1865,4.5279841742740246e-07,0.0
1866,3.5664942288349266e-07,4.865612912574591e-10
1867,3.896807641012856e-07,1.455843445796745e-09
1868,3.8382822253879567e-07,4.93987406535723e-10
1869,4.4488859884950216e-07,4.883519144627257e-10
1870,3.3429503787374415e-07,0.0
1871,3.589958055272291e-07,0.0
1872,3.852155145978031e-07,3.0236697590169115e-09
1873,3.064834288579732e-07,5.986004469882289e-10
1874,3.805826054303907e-07,3.5847653734322193e-09
1875,4.508563336003135e-07,5.721527140956084e-10
1876,3.397860268705699e-07,0.0
1877,4.4839916313321737e-07,0.0
1878,3.32149880932775e-07,0.0
1879,3.5556271882342116e-07,3.0546627449723474e-09
1880,4.4090603523727623e-07,6.417846254436199e-10
1881,3.702401443206327e-07,2.7890030285249168e-09
1882,4.206203527701291e-07,5.989846840748214e-09
1883,3.4440398621882196e-07,3.159669414998234e-09
1884,3.4724925512819027e-07,1.3203393933736152e-09
1885,2.906981819705834e-07,2.5782542767416317e-09
1886,2.7362688115317724e-07,6.453463874400711e-10
1887,2.3569417351154698e-07,0.0
1888,3.182988450589619e-07,6.340614699951175e-10
1889,3.470885872047802e-07,0.0
1890,2.792168629639491e-07,0.0
1891,2.689920961529424e-07,0.0
1892,3.3787281950026227e-07,0.0
1893,2.8636637239287666e-07,0.0
1894,3.0877541234985983e-07,0.0
1895,3.575057121452119e-07,0.0
1896,3.5735996561925276e-07,0.0
1897,3.000757544668886e-07,5.826713556089658e-10
1898,3.8024145965209755e-07,5.6583548957434e-10
1899,3.0291130315163173e-07,0.0
1900,2.8135508500781725e-07,1.038210628578895e-09
1901,3.0290965469248476e-07,0.0
1902,2.4796932507342717e-07,0.0
1903,2.494901707450481e-07,3.2401321625741275e-09
1904,3.1549049595014367e-07,5.374625189347171e-10
1905,3.313207344035618e-07,7.2250627702885595e-09
1906,3.343720038628817e-07,1.0288369045596824e-09
1907,3.3479909689049236e-07,5.142843373384665e-10
1908,3.2906305591495766e-07,0.0
1909,3.3390969633728673e-07,6.60118004702781e-09
1910,4.0615546481603815e-07,5.878565634276356e-09
1911,3.580611860343197e-07,0.0
1912,3.4017520533780043e-07,0.0
1913,3.335580629482138e-07,2.121195885607108e-09
1914,3.555970806701225e-07,0.0
1915,3.934774497338367e-07,0.0
1916,2.84575264686282e-07,0.0
1917,3.553121530330827e-07,0.0
1918,3.388481104593666e-07,0.0
1919,3.4345274002589576e-07,0.0
1920,2.6957144427797175e-07,1.514446346106979e-09
1921,3.074535470659612e-07,1.5145494858259667e-09
1922,3.091354869866336e-07,1.4755870969551665e-09
1923,3.704965934048232e-07,0.0
1924,4.4733937443197647e-07,0.0
1925,4.5202511955722e-07,0.0
1926,4.0794867572913063e-07,0.0
1927,4.816465093426814e-07,4.4596899506643695e-09
1928,3.0964571351432824e-07,1.1426041224282812e-09
1929,3.5760703553933126e-07,1.1140406375176326e-09
1930,3.6762611443919013e-07,0.0
1931,3.239121326714667e-07,0.0
1932,3.013872458268452e-07,1.0959536611565568e-09
1933,3.108549435637542e-07,0.0
1934,3.4147504379689053e-07,2.3963160344919743e-09
1935,3.566548798517033e-07,2.393656828303392e-09
1936,3.358545939136093e-07,1.2124714565686645e-09
1937,3.638833163677191e-07,0.0
1938,3.228338414373866e-07,0.0
1939,2.5999887043326453e-07,3.058810094103137e-09
1940,1.9779106708028849e-07,2.5357829169792012e-09
1941,3.2466527954966296e-07,0.0
1942,3.1252380949808867e-07,3.034211770724937e-09
1943,3.6871085740131093e-07,5.806470415592457e-09
1944,3.598768500978622e-07,0.0
1945,2.984550633300387e-07,0.0
1946,3.090485165557766e-07,0.0
1947,4.410722169723158e-07,3.5762612871081956e-09
1948,3.239822490286315e-07,0.0
1949,3.219978736979101e-07,9.817008317369869e-10
1950,3.5309400914229627e-07,0.0
1951,4.2112537812499795e-07,6.396841278899501e-09
1952,3.226710134640598e-07,2.1089607837865287e-09
1953,2.973576442855119e-07,0.0
1954,3.830834032214625e-07,0.0
1955,3.2380347647631424e-07,9.385607846468247e-10
1956,3.6279948290030006e-07,0.0
1957,2.2529346210831136e-07,0.0
1958,2.4734006842663803e-07,2.4816730892496253e-09
1959,3.356073818849836e-07,1.5501495642666896e-09
1960,3.024404122697888e-07,6.920833350854139e-10
1961,2.890434132041264e-07,0.0
1962,2.6699635213844886e-07,0.0
1963,3.1037055236993183e-07,0.0
1964,3.285342984327144e-07,6.083968329129164e-10
1965,3.004151949426159e-07,1.0944086747954884e-09
1966,2.697529453143943e-07,3.8773522170743036e-09
1967,3.012435172422556e-07,0.0
1968,3.2832249985403905e-07,1.3474247273492779e-09
1969,3.801451384788379e-07,4.5417578031781147e-10
1970,2.961578786653263e-07,0.0
1971,3.91545881939237e-07,5.138397485282553e-10
1972,2.570203605500865e-07,3.0780880067027283e-09
1973,2.7400622570894484e-07,0.0
1974,2.3008588811990194e-07,5.625571675160757e-10
1975,2.2674576882764086e-07,0.0
1976,2.4568166168137395e-07,5.713526873840635e-10
1977,2.6915660100712557e-07,0.0
1978,2.3465335630135087e-07,0.0
1979,2.3290853334856365e-07,0.0
1980,2.4957810751402576e-07,1.1370301367108482e-09
1981,2.5238941248062474e-07,0.0
1982,2.3091908474270895e-07,0.0
1983,2.4061353087745374e-07,6.315316047889041e-10
1984,2.5863576524898235e-07,5.799008495621649e-10
1985,2.0332586814220122e-07,1.2031116103372597e-09
1986,2.40978323517993e-07,5.994485463567401e-10
1987,1.9554613572836388e-07,0.0
