year,aurions_VERB établi_VERB,aurions_VERB rétabli_VERB
1800,1.2576657937302116e-08,0.0
1801,4.7623651688866175e-09,0.0
1802,1.1189200677108602e-08,0.0
1803,1.950339223455444e-09,0.0
1804,2.4718509461507665e-09,0.0
1805,2.842877711017877e-09,0.0
1806,0.0,0.0
1807,0.0,0.0
1808,4.5321479902327155e-09,0.0
1809,2.25903047379461e-08,0.0
1810,0.0,0.0
1811,0.0,0.0
1812,0.0,0.0
1813,8.627225156487839e-09,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,0.0,0.0
1817,7.784366928831332e-09,0.0
1818,9.536941902865692e-09,1.1921177378582115e-09
1819,2.070210003424222e-09,0.0
1820,0.0,0.0
1821,3.94459531705138e-09,0.0
1822,4.010246357211145e-09,0.0
1823,0.0,0.0
1824,8.421112696055388e-09,0.0
1825,0.0,0.0
1826,3.5231937367541377e-09,0.0
1827,1.013900075008678e-08,0.0
1828,0.0,0.0
1829,2.1432940755516938e-08,0.0
1830,5.218417697960831e-09,0.0
1831,0.0,0.0
1832,2.705993873419743e-09,0.0
1833,3.4750886612755494e-09,0.0
1834,2.8003592777992026e-09,0.0
1835,1.5126175867408165e-09,0.0
1836,6.720750067579218e-10,0.0
1837,9.045257876039159e-09,0.0
1838,5.680945491803868e-09,0.0
1839,1.11863602825224e-08,0.0
1840,8.280594876453051e-09,0.0
1841,6.420548537278137e-10,0.0
1842,0.0,0.0
1843,6.497602011990011e-09,0.0
1844,1.2074834465636286e-08,0.0
1845,5.580227835366713e-09,0.0
1846,3.5127007969038004e-09,0.0
1847,1.0247124926365814e-08,0.0
1848,8.045221711050488e-10,0.0
1849,0.0,0.0
1850,6.788996032014438e-09,0.0
1851,5.8044946626978344e-09,6.449438760824933e-10
1852,5.859490670445666e-09,0.0
1853,4.180352064508952e-09,0.0
1854,5.7152309551611324e-09,0.0
1855,5.306937111981824e-09,5.306937111981824e-10
1856,4.659470143053568e-09,0.0
1857,9.763018171682347e-10,0.0
1858,4.893676130990343e-09,0.0
1859,7.129042689513199e-09,0.0
1860,6.865775947773045e-09,0.0
1861,7.073945429425521e-09,0.0
1862,2.2589932147099034e-09,0.0
1863,9.989241656072068e-10,0.0
1864,3.835782358407869e-09,4.794727948009836e-10
1865,7.530950973944073e-09,0.0
1866,1.0704348518686402e-08,0.0
1867,4.85281148598915e-10,0.0
1868,3.457911734727759e-09,0.0
1869,0.0,0.0
1870,1.1468097582678638e-09,0.0
1871,2.1242354542039266e-09,0.0
1872,1.2094678591978436e-09,0.0
1873,3.591602570907071e-09,0.0
1874,2.3898436563030145e-09,1.1949218281515073e-09
1875,1.716458086775674e-09,0.0
1876,0.0,3.627608879952504e-09
1877,0.0,1.2369631985365004e-09
1878,1.2078177347163432e-09,0.0
1879,4.887460214320072e-09,0.0
1880,7.701415505323439e-09,0.0
1881,4.8807553554297556e-09,0.0
1882,5.989846840748214e-09,0.0
1883,3.791603475633565e-09,0.0
1884,1.3203393933736152e-09,1.3203393933736152e-09
1885,9.66845359329227e-09,0.0
1886,1.2906927748801422e-09,0.0
1887,0.0,0.0
1888,1.268122939990235e-09,0.0
1889,1.3156786771162388e-08,0.0
1890,1.9663159989136147e-09,0.0
1891,3.824531802365527e-09,0.0
1892,6.268512375839919e-09,0.0
1893,2.463366621796581e-09,0.0
1894,1.8904617871129403e-09,0.0
1895,6.018614495673091e-10,0.0
1896,1.7691086373616827e-09,0.0
1897,4.078699600285063e-09,0.0
1898,3.3950129374460403e-09,0.0
1899,1.1055156790007459e-09,0.0
1900,1.038210628578895e-09,0.0
1901,3.912117296778206e-09,0.0
1902,1.4730852093691738e-09,0.0
1903,1.6200660812870638e-09,5.400220270956879e-10
1904,3.7622376325430196e-09,0.0
1905,8.257214467732865e-09,2.0643036169332163e-09
1906,4.629765903985117e-09,0.0
1907,2.057137349353866e-09,0.0
1908,1.4734167219643268e-09,4.911389073214423e-10
1909,4.400786846048277e-09,0.0
1910,2.137660271017694e-09,0.0
1911,0.0,0.0
1912,0.0,1.5628263128064646e-09
1913,1.060597942803554e-09,0.0
1914,3.3483718020477227e-09,0.0
1915,5.890381071793627e-09,0.0
1916,2.197492410260793e-09,0.0
1917,1.0966424435210342e-09,0.0
1918,4.594550517822427e-09,0.0
1919,3.6831393490643904e-09,0.0
1920,3.786115865267448e-09,3.028892692213958e-09
1921,3.7863738810983705e-09,0.0
1922,0.0,7.377935484775833e-10
1923,1.1677542488541803e-08,0.0
1924,1.289162443462999e-09,0.0
1925,1.0998177923937646e-09,0.0
1926,3.343841648018042e-09,1.1146138456652466e-09
1927,1.1149224876660924e-09,0.0
1928,4.570416489713125e-09,0.0
1929,2.2280812750352652e-09,0.0
1930,1.0503603542488804e-09,0.0
1931,3.4216069977333063e-09,0.0
1932,2.1919073223131136e-09,0.0
1933,1.1470662197865522e-09,0.0
1934,3.5944740517379614e-09,1.1981580172459871e-09
1935,0.0,0.0
1936,2.424942913137329e-09,1.2124714565686645e-09
1937,0.0,0.0
1938,0.0,0.0
1939,0.0,0.0
1940,0.0,0.0
1941,0.0,0.0
1942,9.102635090130207e-09,0.0
1943,0.0,0.0
1944,6.4263723231761105e-09,0.0
1945,0.0,0.0
1946,0.0,0.0
1947,3.5762612871081956e-09,0.0
1948,4.348755133776194e-09,0.0
1949,9.817008317369869e-10,0.0
1950,0.0,0.0
1951,2.1322803522849654e-09,0.0
1952,6.326882129314981e-09,0.0
1953,1.0773827385790469e-09,0.0
