year,devrions_VERB ajouter_VERB
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,5.693910232196231e-09
1808,0.0
1809,2.259030518203531e-09
1810,0.0
1811,2.5070767684098882e-09
1812,5.3344164641089264e-09
1813,0.0
1814,4.090680150170556e-08
1815,0.0
1816,1.1588019432906549e-08
1817,0.0
1818,1.9073883805731384e-08
1819,2.070210003424222e-09
1820,1.1866481131050932e-09
1821,0.0
1822,9.023054303725075e-09
1823,6.917880934764753e-09
1824,1.6842225392110777e-09
1825,0.0
1826,2.642395191543301e-09
1827,1.1982455028203276e-08
1828,4.586150570418113e-09
1829,3.429270423183084e-09
1830,1.0436835840010872e-09
1831,1.091384405071949e-08
1832,5.411987746839486e-09
1833,1.7375443306377747e-08
1834,9.334530925997342e-10
1835,8.31939672707449e-09
1836,2.016224964762614e-09
1837,2.0873671680021744e-09
1838,5.680945491803868e-09
1839,6.9914751765765e-10
1840,4.458782232319436e-09
1841,7.704658244733764e-09
1842,1.2745703159566801e-08
1843,1.594865928211675e-08
1844,3.841992946007622e-09
1845,1.1160455892778032e-09
1846,5.854501328173001e-10
1847,9.168480197274675e-09
1848,4.02261068899179e-09
1849,3.3517659758786067e-09
1850,6.788996032014438e-10
1851,5.8044946626978344e-09
1852,1.2370036550635177e-08
1853,2.9859659189668264e-09
1854,5.7152309551611324e-09
1855,2.1227748447927297e-09
1856,1.2425253714809514e-08
1857,1.3180074809326925e-08
1858,1.2723557318849998e-08
1859,8.656694916453489e-09
1860,8.238931314963338e-09
1861,1.0846716413936974e-08
1862,5.421583626485926e-09
1863,1.1987090431375691e-08
1864,1.102787461348953e-08
1865,2.9182434246877165e-08
1866,1.897589108068587e-08
1867,5.82337378318698e-09
1868,1.4819622196071691e-09
1869,7.813630631403612e-09
1870,1.490852596930381e-08
1871,5.3105884134652115e-09
1872,1.3304146229131675e-08
1873,1.97538145840781e-08
1874,1.1351757756017378e-08
1875,1.2015206607429718e-08
1876,1.209202959984168e-08
1877,1.4225077116236662e-08
1878,1.9325083755461492e-08
1879,4.27652757650776e-09
1880,5.776061406947974e-09
1881,2.7890030285249168e-09
1882,6.655385131892899e-09
1883,1.579834751908038e-08
1884,4.621187876807653e-09
1885,9.023890079618013e-09
1886,5.162771099520569e-09
1887,1.0446279397058333e-08
1888,1.5851536971922542e-08
1889,1.0024218788373673e-08
1890,7.865263995654459e-09
1891,5.099376032546843e-09
1892,7.522214851007902e-09
1893,7.390100087434348e-09
1894,5.671385139294216e-09
1895,2.4074457982692365e-09
1896,7.66613794667137e-09
1897,9.905413378419325e-09
1898,5.6583546736987955e-09
1899,1.326618814800895e-08
1900,1.245852754294674e-08
1901,7.824234593556412e-09
1902,1.276673788908056e-08
1903,3.2401321625741275e-09
1904,4.837162670412454e-09
1905,1.909480928929952e-08
1906,1.4918134283448126e-08
1907,9.257117739025489e-09
1908,9.331639461152008e-09
