year,avons_VERB ajouté_VERB,avons_VERB rajouté_VERB
1800,4.559038586648967e-07,0.0
1801,3.547962137417926e-07,0.0
1802,3.8043282302169246e-07,0.0
1803,3.8031615190448065e-07,0.0
1804,4.5482056520995684e-07,0.0
1805,2.8713066058116965e-07,0.0
1806,4.985287773706659e-07,0.0
1807,6.035544970472984e-07,0.0
1808,4.4188442416270846e-07,0.0
1809,3.0948717721912544e-07,0.0
1810,5.195081484998809e-07,0.0
1811,4.2369597963443084e-07,0.0
1812,6.427972039091401e-07,0.0
1813,2.9907712928434194e-07,0.0
1814,4.310947758767725e-07,0.0
1815,3.506390555685357e-07,0.0
1816,2.804300720526953e-07,0.0
1817,4.919720026919094e-07,0.0
1818,3.7551708942373807e-07,0.0
1819,4.2646325937312213e-07,0.0
1820,3.880339249917597e-07,0.0
1821,4.329193359353667e-07,0.0
1822,5.26344820173108e-07,0.0
1823,4.79310301670921e-07,0.0
1824,4.227398449074826e-07,0.0
1825,3.495760836358386e-07,0.0
1826,4.729887450594106e-07,0.0
1827,5.825316407026548e-07,0.0
1828,4.054157045629836e-07,0.0
1829,5.435393859443138e-07,0.0
1830,6.168169761622266e-07,0.0
1831,5.316601345839445e-07,0.0
1832,4.938438564749958e-07,0.0
1833,4.7145368853307446e-07,0.0
1834,5.563380227613379e-07,0.0
1835,3.9403687424055533e-07,0.0
1836,4.1332611999678193e-07,0.0
1837,4.828776241083688e-07,0.0
1838,4.336455106113135e-07,0.0
1839,4.159927868840896e-07,0.0
1840,4.968356961398968e-07,0.0
1841,5.42536326975096e-07,0.0
1842,4.769576662511099e-07,0.0
1843,4.84957411117648e-07,0.0
1844,5.043987698627461e-07,0.0
1845,4.391639265577396e-07,0.0
1846,5.046580326961703e-07,0.0
1847,4.767609596001421e-07,0.0
1848,5.848876298841788e-07,0.0
1849,5.848831392540887e-07,0.0
1850,7.311748504434945e-07,0.0
1851,4.798382633453002e-07,0.0
1852,5.052183382758813e-07,0.0
1853,4.7118541601776087e-07,0.0
1854,5.034598871134222e-07,0.0
1855,4.5586588726109767e-07,0.0
1856,4.86138048927387e-07,0.0
1857,5.39894926987472e-07,0.0
1858,4.4826072098658187e-07,0.0
1859,4.6593385150117683e-07,0.0
1860,4.503949071477109e-07,0.0
1861,4.5320410890781204e-07,0.0
1862,5.652000822919945e-07,0.0
1863,4.644997488867375e-07,0.0
1864,4.679654352912621e-07,4.794727948009836e-10
1865,4.871583882959385e-07,0.0
1866,4.875344075117027e-07,0.0
1867,4.391794448110886e-07,0.0
1868,4.880595838585577e-07,0.0
1869,4.360982472917385e-07,0.0
1870,5.286793225423025e-07,0.0
1871,6.170903930069471e-07,0.0
1872,5.188617251405958e-07,0.0
1873,4.489503453442012e-07,0.0
1874,4.1762518776522484e-07,0.0
1875,4.714538306416216e-07,0.0
1876,4.389406740301638e-07,0.0
1877,4.317001582876401e-07,0.0
1878,6.123635785115766e-07,0.0
1879,5.370096687329351e-07,1.832797580370027e-09
1880,4.986666795048222e-07,0.0
1881,5.584978453043732e-07,0.0
1882,4.405864899581502e-07,1.9966155395678697e-09
1883,4.3982598185721145e-07,0.0
1884,4.674001559124008e-07,0.0
1885,4.209000223909243e-07,0.0
1886,4.4335297388897743e-07,0.0
