year,des_DET aigles_NOUN,des_DET règles_NOUN
1800,3.961647281336411e-07,6.052516418719733e-06
1801,3.024101975501736e-07,6.038679131847857e-06
1802,3.871463434279576e-07,8.07636502031528e-06
1803,3.8421681836098287e-07,7.941781618114874e-06
1804,4.251583600733966e-07,8.582266147527662e-06
1805,3.098736616191644e-07,8.875463976210085e-06
1806,3.1698360736243103e-07,8.120543512291079e-06
1807,3.416346210372012e-07,9.235521986283857e-06
1808,2.7646102784828486e-07,8.400336440672618e-06
1809,4.021074362370314e-07,6.944259638430594e-06
1810,3.4399863757528237e-07,9.344126439714273e-06
1811,4.387384269222139e-07,6.626203926884955e-06
1812,3.6007311621233384e-07,8.340360054148732e-06
1813,1.6966875193702435e-07,8.112467085652497e-06
1814,1.6048052664530132e-07,6.853462679146105e-06
1815,4.666196635749742e-07,7.04245067595366e-06
1816,4.658383829792001e-07,8.239081736860498e-06
1817,4.0790083222219664e-07,7.549279175123047e-06
1818,2.9326096506743227e-07,6.866597999533042e-06
1819,2.6602199554304207e-07,8.554107594704874e-06
1820,2.7648899880716726e-07,7.142434952811527e-06
1821,2.504818089610339e-07,8.760946030861305e-06
1822,3.127992158624693e-07,7.688644672043665e-06
1823,1.9370066883794834e-07,6.574951676441287e-06
1824,2.2147526923532723e-07,7.10152416161236e-06
1825,2.9234070098027587e-07,6.8145323268709035e-06
1826,4.042864770736898e-07,7.189077003033617e-06
1827,3.474911911549583e-07,9.009884280430924e-06
1828,2.5682442095220637e-07,8.444020878073388e-06
1829,2.563379704056956e-07,8.451437352618996e-06
1830,3.3397874421581264e-07,8.085416702385828e-06
1831,2.0580392456892582e-07,6.944323345692283e-06
1832,2.5977542128519104e-07,7.905561389520699e-06
1833,3.4519213731876164e-07,7.339386854710028e-06
1834,3.7711505074256024e-07,7.4853602427538135e-06
1835,3.2445647235590513e-07,7.003419625561946e-06
1836,2.9974544979438633e-07,6.9411908043548465e-06
1837,3.1588823912187536e-07,7.361448808751447e-06
1838,2.569049932787948e-07,6.8461709616940425e-06
1839,2.412058952572238e-07,7.836744330802503e-06
1840,3.019232432954766e-07,6.925762690457304e-06
1841,2.825041338638812e-07,7.65329396301695e-06
1842,2.5088910859949465e-07,7.2053473019195735e-06
1843,2.161929479882474e-07,8.197611592208887e-06
1844,2.6729292557092776e-07,7.521524253206735e-06
1845,2.7231511356973215e-07,8.134298511208726e-06
1846,2.622816634989533e-07,8.110826470897337e-06
1847,2.1680758877096196e-07,7.80507319575463e-06
1848,3.049138965760534e-07,7.1690970457893854e-06
1849,3.4523189373913965e-07,7.908492136721179e-06
1850,3.0889932922661956e-07,7.142023960682309e-06
1851,3.0118878591167686e-07,6.876391537957716e-06
1852,2.9232348630614524e-07,7.328920872851086e-06
1853,3.1890115970156785e-07,6.796655839025334e-06
1854,2.9095721032490474e-07,7.038566508299482e-06
1855,3.046181937804704e-07,6.8570934388390015e-06
1856,2.4073929560941565e-07,6.902746605419452e-06
1857,3.0216540114480495e-07,5.9539764620808455e-06
1858,3.146633779094188e-07,6.286905744445903e-06
1859,3.004382316262877e-07,5.966499713849771e-06
1860,3.071290279876848e-07,5.257811281467184e-06
1861,2.8437260479741155e-07,5.935040263693736e-06
1862,2.2861010640085055e-07,5.947477191625694e-06
1863,2.457353467377743e-07,6.145381313160669e-06
1864,2.9823208080870245e-07,6.478636585427466e-06
1865,2.419317950974609e-07,6.389541127305165e-06
1866,2.963158172164526e-07,6.074717845194755e-06
1867,2.994184793436716e-07,5.858799426050609e-06
1868,2.494636337502243e-07,5.986139534286394e-06
1869,3.0326654520962393e-07,6.276787374304149e-06
1870,2.620460182178874e-07,5.9685715569912645e-06
1871,2.5172189088706887e-07,5.296781147023921e-06
1872,2.0742373663118485e-07,5.565971306964457e-06
1873,1.9693954766974997e-07,5.991392050930244e-06
1874,2.395818201605948e-07,6.049889016424004e-06
1875,2.700560782775696e-07,5.975563006188622e-06
1876,2.1281971540609845e-07,5.8894231003137065e-06
1877,1.9791411909331202e-07,4.9441420841844774e-06
1878,2.494143660491943e-07,5.243740552884901e-06
1879,2.034405320872068e-07,5.47823184859908e-06
1880,2.6184811963148036e-07,5.774777861233815e-06
1881,2.747168017513957e-07,5.511767028565373e-06
1882,2.056514059045611e-07,5.896671176230939e-06
1883,2.515096880206791e-07,5.246947246462241e-06
1884,2.099339670991185e-07,5.563910214334555e-06
1885,2.185070525628774e-07,6.548121504579285e-06
1886,2.2328984794484086e-07,6.152732467512578e-06
1887,2.1088426049864495e-07,5.8433873704188954e-06
1888,2.0733810579542933e-07,6.057823426885989e-06
1889,2.299305243980143e-07,5.707539585841914e-06
1890,2.2284913647752091e-07,6.392493034468316e-06
1891,2.033376209631399e-07,6.123713177430545e-06
1892,1.936970381866132e-07,5.847268411685036e-06
1893,2.1677625960947466e-07,6.132551114035323e-06
1894,2.3819818673054272e-07,6.239784049455466e-06
1895,2.0102172548774888e-07,5.744165498811071e-06
1896,2.0639601117089512e-07,5.950692084866205e-06
1897,2.0393498023629775e-07,5.995688205473471e-06
1898,1.6013144921167566e-07,6.4482614092753465e-06
1899,2.0120384824906523e-07,6.006819667447871e-06
1900,2.2944454514117751e-07,6.539688627071882e-06
1901,2.0622446461615596e-07,6.658423771455091e-06
1902,1.7922535566761155e-07,5.541746403991965e-06
1903,2.1438874564516652e-07,6.492144706271574e-06
1904,2.0853545823484865e-07,6.483410309954252e-06
1905,1.5688707932781654e-07,6.5779033917579e-06
1906,2.0268087297381499e-07,6.801126147593095e-06
1907,2.0519945564956288e-07,6.5833536240234025e-06
1908,2.1610112099779144e-07,6.538532346667125e-06
1909,1.815324613962943e-07,6.497761830814852e-06
1910,2.976691804157383e-07,6.600026281944338e-06
1911,1.9791792205126058e-07,6.723356648308254e-06
1912,2.276517072630213e-07,7.062933150336903e-06
1913,2.1158929008890937e-07,6.310557616018286e-06
1914,2.1831384700021772e-07,6.341816217059204e-06
1915,1.4961567229576644e-07,6.407556554677285e-06
1916,1.7799688611930264e-07,6.3518515815985666e-06
1917,1.6997957252851137e-07,6.314467398738088e-06
1918,1.7344428027143977e-07,6.848177733331795e-06
1919,1.4548400528724414e-07,6.474958894386873e-06
1920,1.469012920196633e-07,8.446067482736908e-06
1921,1.3479490390544413e-07,7.384943302213287e-06
1922,1.814972092617495e-07,7.22078543446969e-06
1923,1.528696556007958e-07,7.2995258619812375e-06
1924,2.1271180106197107e-07,6.953742015980424e-06
1925,1.814699333024805e-07,6.973944834953727e-06
1926,1.9171357479308426e-07,7.1023194294639325e-06
1927,2.2521433606925712e-07,7.65951747894178e-06
1928,1.759610341878215e-07,7.886253797551035e-06
1929,1.92729028292149e-07,8.601507857974866e-06
1930,1.8696414016972085e-07,8.279990538540005e-06
1931,1.6195606100666282e-07,7.706599632228972e-06
1932,1.8850403415981987e-07,7.563176424696394e-06
1933,1.3879501281621742e-07,7.795461868909115e-06
1934,1.6175133765727878e-07,8.330793079380783e-06
1935,2.585149347922311e-07,7.573530297122488e-06
1936,1.6853352580170622e-07,7.962300003327982e-06
1937,1.662027568904989e-07,7.424982413795078e-06
1938,1.581756219337649e-07,8.602419640624248e-06
1939,1.911756326578029e-07,7.844318929528526e-06
1940,1.1664601196059721e-07,7.0215826895037026e-06
1941,1.4462362374345616e-07,6.41951810109731e-06
1942,1.8205271201665596e-07,6.544794800333875e-06
1943,2.322588166236983e-07,7.2116361451435296e-06
1944,2.088570969505099e-07,6.580605301564901e-06
1945,1.7210181768589905e-07,6.999533525231527e-06
1946,1.4338737575059213e-07,7.07748955619536e-06
1947,1.8238932453229495e-07,7.52683787652586e-06
1948,1.77211775032049e-07,6.838417519361428e-06
1949,1.1780409625572474e-07,8.365072417859665e-06
1950,1.5102213390960628e-07,8.311535268035186e-06
1951,1.3433365531057007e-07,8.06748312243144e-06
1952,1.4024588634864443e-07,7.92969298402113e-06
1953,1.2820854522477276e-07,7.973709927000527e-06
1954,1.5538332287512446e-07,7.944094988943107e-06
1955,1.417226767053137e-07,8.090393734505597e-06
1956,1.6046900075394888e-07,8.284212711373584e-06
1957,1.5726366897617083e-07,8.670706108659942e-06
1958,1.3731923476090202e-07,8.546881616666724e-06
1959,1.3563808320959936e-07,8.754469831728784e-06
1960,1.5571874945052855e-07,8.50085939418932e-06
1961,1.5772321038109993e-07,8.430896286881762e-06
1962,1.484017820851946e-07,8.333331081189499e-06
1963,1.4095995970464514e-07,8.1886100531392e-06
1964,1.551411918931933e-07,7.992508827214806e-06
1965,1.4172592432970532e-07,8.326808043079836e-06
1966,1.5620190785270438e-07,9.058603083644812e-06
1967,1.9425522346239177e-07,8.764164235230965e-06
1968,1.724703713179565e-07,8.638788997927804e-06
1969,1.8394118850295627e-07,8.464019501275288e-06
1970,1.2738468013751003e-07,9.2852858557535e-06
