year,leurs_DET ondes_NOUN,leurs_DET rondes_NOUN
1800,4.96778000069753e-07,1.2576657937302116e-08
1801,3.4527146874907544e-07,1.6668277424969347e-08
1802,2.3273537408385891e-07,3.3567602031325805e-08
1803,3.3155766665515785e-07,9.751696339321825e-09
1804,4.226865257805912e-07,0.0
1805,3.2977381847487663e-07,4.8328921309348516e-08
1806,2.362968700708734e-07,2.881669125542885e-09
1807,2.391442421867396e-07,2.8469551160981155e-09
1808,2.923235342677799e-07,2.7192887941396293e-08
1809,1.784634093837667e-07,1.3554183553310395e-08
1810,2.971960952891095e-07,4.680253518074551e-09
1811,3.7606152503144585e-07,2.0056614147279106e-08
1812,1.440292436427626e-07,2.6672082320544632e-09
1813,2.1280487771946355e-07,4.026038169513413e-08
1814,2.611742022651242e-07,1.5733386149463513e-08
1815,2.481445724455966e-07,0.0
1816,2.3407798721564177e-07,1.1588019432906549e-08
1817,1.665854512111764e-07,9.341240669868967e-09
1818,2.1219695156560192e-07,1.3113295338484932e-08
1819,1.428444846851562e-07,1.7596784473994376e-08
1820,1.495176604748849e-07,3.20394981656591e-08
1821,1.7356219927933125e-07,5.9168927535324656e-09
1822,1.954995099140433e-07,1.0025615893027862e-08
1823,1.4725203811849497e-07,8.894418535021487e-09
1824,2.1979104758429457e-07,1.3473780313688621e-08
1825,2.4919402785705813e-07,8.805443485471187e-09
1826,3.1268345468404846e-07,2.4662355713189754e-08
1827,1.2904182256079366e-07,3.3182182335167454e-08
1828,1.917010952756648e-07,3.668920500743411e-09
1829,1.3031227941162626e-07,2.8291481157793896e-08
1830,1.3880991511783236e-07,4.174734336004349e-09
1831,1.2784788339104125e-07,2.182768810143898e-08
1832,2.489514372427948e-07,3.6530916958099624e-08
1833,1.633291617508803e-07,4.9809603552830595e-08
1834,1.9229133840781287e-07,4.29388435918554e-08
1835,1.9890921976184472e-07,2.0420337421001022e-08
1836,1.8414854707771156e-07,4.704525125021064e-08
1837,1.4263675907066897e-07,2.922314124020886e-08
1838,1.5969769506796183e-07,2.3354999711955315e-08
1839,1.2165166840549801e-07,1.8876983531868063e-08
1840,1.3440043317158867e-07,5.286841542329057e-08
1841,1.9004823359480838e-07,2.632424944692957e-08
1842,1.5630258243248818e-07,3.7566284305512454e-08
1843,1.943373746371435e-07,3.5441466650354414e-08
1844,1.0428266250528395e-07,3.567564732520623e-08
1845,1.367155897935568e-07,2.2320911341466854e-08
1846,1.1123552212666254e-07,2.6345256642912318e-08
1847,1.10561081179128e-07,4.58424018745518e-08
1848,1.2067832244611054e-07,1.689496542667257e-08
1849,1.592088869628583e-07,2.3462362719328667e-08
1850,1.8805519630404888e-07,2.4440385715251978e-08
1851,1.3092360351407706e-07,2.8377531435808123e-08
1852,1.4127883218861825e-07,2.8646400807019745e-08
1853,1.1107793085329831e-07,5.4344578614973216e-08
1854,1.1586331877255773e-07,2.182179059673217e-08
1855,1.6026949367642374e-07,3.3964397516683675e-08
1856,1.0820325585525481e-07,2.329735160344626e-08
1857,1.5230307703895107e-07,4.246912960192972e-08
1858,1.512145838544754e-07,2.397901210926534e-08
1859,1.629495471888731e-07,4.582955881460293e-08
1860,1.2541484392669666e-07,5.1722178540103414e-08
1861,1.3251857416962665e-07,2.0278644541349422e-08
1862,1.7123168308263992e-07,2.3041730301542884e-08
1863,1.2586444597673108e-07,5.544029235693415e-08
1864,1.385676440257555e-07,2.9727313943794798e-08
1865,1.228486310456134e-07,1.5061902058910448e-08
1866,9.00138375503623e-08,3.5518972651971126e-08
1867,1.0967353603064112e-07,1.552899675516528e-08
1868,9.435159142867633e-08,4.100095551962113e-08
1869,9.425191738188232e-08,3.41846337903462e-08
1870,1.5997996349881305e-07,2.8096839521651873e-08
1871,8.072094459521395e-08,2.2304472935275044e-08
1872,1.3848406488214948e-07,3.0236694925633856e-08
1873,4.9085237374679735e-08,2.693702016998145e-08
1874,8.902167536462002e-08,2.0911132381229436e-08
1875,7.266339707712177e-08,2.2886109007913547e-08
1876,8.403960549685507e-08,3.143927784776679e-08
1877,5.133397351642088e-08,3.154256233983688e-08
1878,8.33394268595633e-08,5.072834324826303e-08
1879,8.430869036235578e-08,2.8713828537085817e-08
1880,7.57305838039457e-08,4.1074216028391675e-08
1881,7.669758161910067e-08,1.5339516323820135e-08
1882,6.721938916598447e-08,5.0580926114207614e-08
1883,6.382532247162231e-08,4.486730631469982e-08
1884,7.856019568208694e-08,3.3668655419205606e-08
1885,5.801071978339678e-08,3.867381304090145e-08
1886,6.905206362262106e-08,3.7430090027434915e-08
1887,7.704130911001528e-08,4.7661149693567495e-08
1888,7.16489472196713e-08,5.5163347667530616e-08
1889,6.57839365203472e-08,4.0723389105323804e-08
1890,7.930807299771914e-08,3.604912485188905e-08
1891,5.86428245963333e-08,2.3584614594618358e-08
1892,7.710270089056337e-08,4.387958663087943e-08
1893,6.34316919545519e-08,4.618812360357438e-08
1894,5.041231432301174e-08,3.5288620248152824e-08
1895,5.838056083007359e-08,2.828748768557432e-08
1896,4.363801486828578e-08,5.6021775662884465e-08
1897,6.292850551758988e-08,3.8456310136325556e-08
1898,5.545187775624072e-08,3.904264833654025e-08
1899,7.959712533534002e-08,3.703477524652499e-08
1900,5.1910532539167775e-08,4.1009318607621026e-08
1901,5.253414420147706e-08,3.968004591570207e-08
1902,7.169014681895902e-08,3.83002145554201e-08
1903,6.696272958350846e-08,2.808114629715419e-08
1904,9.67432542964275e-08,5.8045952044949445e-08
1905,7.689531306143138e-08,3.354493216534138e-08
1906,6.481672443214848e-08,3.240836088380661e-08
1907,7.302837506939497e-08,5.348557152728972e-08
1908,8.005564433588575e-08,3.437972395659017e-08
1909,7.976425892008976e-08,4.1807474815414025e-08
1910,6.252656437055748e-08,6.038889921455848e-08
1911,7.235708920916295e-08,7.076097574554296e-08
1912,5.365703970028335e-08,6.720153322703482e-08
1913,8.855992877920826e-08,4.7726906871048413e-08
1914,8.571831955350717e-08,4.553785615257766e-08
1915,1.2134184768086698e-07,3.062998032987707e-08
1916,9.00971883766033e-08,6.152978926365904e-08
1917,8.115154348509179e-08,8.334482259897413e-08
1918,6.202643287878118e-08,9.418828739171659e-08
1919,8.287063441025921e-08,6.721729306491397e-08
1920,9.389567212636507e-08,4.921950491620919e-08
1921,9.011569446215617e-08,5.300923078266351e-08
1922,9.001081369142128e-08,6.64014194740048e-08
1923,1.040362889170865e-07,7.643483002084395e-08
1924,1.1473545979967525e-07,6.832560817127131e-08
1925,1.077821423223213e-07,4.6192347724627325e-08
1926,6.464760105018286e-08,3.901148559748435e-08
1927,6.355058268514568e-08,4.5711821883287485e-08
1928,5.827280868953011e-08,4.6846768242403414e-08
1929,7.464072071527994e-08,3.119313873867213e-08
1930,5.8820181281227235e-08,3.676261073337628e-08
1931,8.896178460560122e-08,3.649714130915527e-08
1932,7.452485228931494e-08,5.589363638591749e-08
1933,8.029463227643419e-08,4.3588517684156614e-08
1934,7.668211488010002e-08,3.1152110224752505e-08
1935,9.454944649434083e-08,2.8723881939640705e-08
1936,4.849885826274658e-08,3.273672888326473e-08
1937,6.1696475484041e-08,2.5182236740306507e-08
1938,6.482606929036905e-08,4.019216603978748e-08
1939,6.270560959364957e-08,3.976452944698394e-08
1940,7.353770370421842e-08,2.5357829613881222e-08
1941,7.67390702094417e-08,2.9515025090631752e-08
