year,sans_ADP appeler_VERB,sans_ADP rappeler_VERB
1800,1.163340872523122e-07,3.8358805909410876e-07
1801,1.2858386355674156e-07,3.119349205604749e-07
1802,3.177732992298843e-07,2.2378401354217203e-07
1803,1.5017612398082747e-07,2.827991831821919e-07
1804,4.2021467194786055e-07,4.3010205530435996e-07
1805,5.429896701159009e-07,4.349602846787093e-07
1806,4.0919700605712706e-07,3.746169738860772e-07
1807,6.263301202125149e-07,3.387876716942628e-07
1808,4.0336117823613904e-07,2.243413206315381e-07
1809,3.094871852127312e-07,3.365955478784599e-07
1810,4.820661239079982e-07,5.452495273061686e-07
1811,2.507076715119183e-07,3.133845893898979e-07
1812,4.6409422926885213e-07,3.57405909312547e-07
1813,3.4796472903053655e-07,3.307102929284156e-07
1814,2.6117419338334e-07,3.1466770877841554e-07
1815,3.1827238777815126e-07,4.072807513466614e-07
1816,2.1553715434663445e-07,2.8274767771563347e-07
1817,2.4287225386387945e-07,4.032301959000506e-07
1818,1.6570435912299786e-07,4.3035450403294817e-07
1819,3.9644521088177953e-07,3.250229809736993e-07
1820,1.625707932717546e-07,4.188867706034216e-07
1821,2.2089734130759098e-07,3.915010893251747e-07
1822,3.0177103838013863e-07,3.5089654204512044e-07
1823,1.3736935411401419e-07,4.3187340992290046e-07
1824,2.248437107610357e-07,3.7642374195456796e-07
1825,3.821562408745649e-07,3.742313268162434e-07
1826,3.109218402741476e-07,3.206106384823215e-07
1827,5.336800983357648e-07,4.470377348297916e-07
1828,3.24699456655253e-07,4.1000186712381037e-07
1829,3.557868186732094e-07,4.389466070620074e-07
1830,2.7344509589966037e-07,4.3104132174676124e-07
1831,2.775234599905474e-07,3.7107069772446266e-07
1832,4.0589907079890963e-07,3.544852056336367e-07
1833,4.170106198131407e-07,3.8920993006286153e-07
1834,2.6696758825828226e-07,4.415233192389678e-07
1835,2.8512842220607126e-07,4.106756748001317e-07
1836,2.5404434511600016e-07,3.4477448096481567e-07
1837,2.7761985332830363e-07,4.480881727886299e-07
1838,3.0866470712709315e-07,3.18132954646444e-07
1839,2.719683909191417e-07,3.614592642975367e-07
1840,3.2294322105386186e-07,3.4842196328099817e-07
1841,3.3900495921557194e-07,3.9486371861130465e-07
1842,2.6497646121725893e-07,3.7163787425242845e-07
1843,3.154290564300055e-07,3.76270229196507e-07
1844,3.3535108823201654e-07,4.4347574146286206e-07
1845,2.1204866884616536e-07,3.5099632356150323e-07
1846,3.7878622727305356e-07,3.015068088529915e-07
1847,3.381551332282129e-07,3.9262669560002905e-07
1848,2.944551178440946e-07,3.5157619748815705e-07
1849,2.781965646736495e-07,4.960613537718928e-07
1850,2.831011309822884e-07,3.537066817216328e-07
1851,2.45723610570181e-07,3.7471239977548976e-07
