year,les_DET âmes_NOUN,les_DET ames_NOUN,les_DET rames_NOUN
1800,2.260654270003215e-06,9.3727544183686e-06,5.093546420198436e-07
1801,1.0834380965718537e-06,1.0943914865890747e-05,4.881424189306927e-07
1802,2.10804543598897e-06,9.41459333603234e-06,6.064547051209956e-07
1803,2.1999826884666618e-06,7.251361406446222e-06,4.602800629527337e-07
1804,1.9107407780438734e-06,1.0737720697262532e-05,6.130190328690333e-07
1805,2.126472580243899e-06,7.772427629282319e-06,5.685755510853596e-07
1806,3.287984441158187e-06,6.636483860233966e-06,6.541388728464881e-07
1807,1.7565712795430954e-06,9.221287797345212e-06,2.8754245295914416e-07
1808,2.4700206182615148e-06,9.170801399172035e-06,3.920308060401112e-07
1809,1.746230537946758e-06,9.006754829954389e-06,6.731910957569198e-07
1810,2.8385738488623247e-06,1.285431617192856e-05,8.447857382520851e-07
1811,2.747756241205934e-06,6.445694239687327e-06,3.9611812496787024e-07
1812,4.691619153618376e-06,5.846520461538773e-06,4.080828572838868e-07
1813,4.333742737117063e-06,5.878016001048536e-06,3.8822513204195275e-07
1814,6.340554563166734e-06,6.007006756902911e-06,2.1397405092216104e-07
1815,5.715416790508243e-06,6.01480858186676e-06,3.506390733321041e-07
1816,8.011956538211962e-06,7.439508488360502e-06,3.7776943528911033e-07
1817,6.168332305378499e-06,7.335987465162397e-06,2.584409868333637e-07
1818,5.791308097968795e-06,7.680814652522017e-06,2.634580127391928e-07
1819,8.46612340410502e-06,4.41679306217857e-06,4.005856233391114e-07
1820,9.497931841906393e-06,7.771358505159753e-06,5.695910871850174e-07
1821,1.0321033528271073e-05,7.467119041315584e-06,3.254291005561072e-07
1822,8.111725890103116e-06,6.7733062394381705e-06,5.072961783980645e-07
1823,6.394098349460364e-06,7.259821962812829e-06,3.874013376758967e-07
1824,6.837101466317108e-06,5.603408302690127e-06,5.692672004897759e-07
1825,8.307935445373005e-06,6.273878066398453e-06,4.18258547796313e-07
1826,6.4694642958329496e-06,5.2416313519598745e-06,5.733997703316618e-07
1827,5.373670234121164e-06,5.338644690766614e-06,4.0740346562984087e-07
1828,7.527707424515029e-06,5.575841877658583e-06,3.806504906833652e-07
1829,5.432821865269943e-06,5.948069716432691e-06,5.255356860800475e-07
1830,6.3048926222109e-06,6.208873529089942e-06,4.3939079041876994e-07
1831,5.578533560424148e-06,6.780615677826063e-06,3.2897445834123573e-07
