year,pourrons_VERB avoir_VERB
1800,5.345079756580162e-08
1801,2.1430643926123594e-08
1802,3.1329761895904085e-08
1803,5.265916058760922e-08
1804,2.7190360185613827e-08
1805,4.5486043376286034e-08
1806,1.729001475325731e-08
1807,5.124519120158766e-08
1808,4.985362878073829e-08
1809,4.743964154840796e-08
1810,5.3822915901946544e-08
1811,3.760615285841595e-08
1812,2.400487453257938e-08
1813,3.163315653864629e-08
1814,1.4474714760126517e-07
1815,5.3944472000466703e-08
1816,4.1716869958463576e-08
1817,4.514932783195036e-08
1818,6.556647491606782e-08
1819,7.763287612760905e-08
1820,4.50926265216367e-08
1821,5.423818549843418e-08
1822,9.223566621585633e-08
1823,5.929612001409623e-08
1824,8.926379280183028e-08
1825,9.245714949202011e-08
1826,8.279505436803447e-08
1827,6.267745789045875e-08
1828,6.604057034564903e-08
1829,4.6295149047637096e-08
1830,6.888311787633938e-08
1831,7.327867024287116e-08
1832,4.058990654698391e-08
1833,1.1236119945579048e-07
1834,8.58776871837108e-08
1835,8.395027606411531e-08
1836,1.0417162599196672e-07
1837,1.4750729349088942e-07
1838,7.006499913586595e-08
1839,1.2025337525756186e-07
1840,1.0255198645836572e-07
1841,8.924562422407689e-08
1842,1.0531976357697204e-07
1843,1.0396163219184018e-07
1844,6.641159444598088e-08
1845,7.14269177137794e-08
1846,9.308656956363848e-08
1847,7.496581133636937e-08
1848,5.148941895072312e-08
1849,5.111443002192573e-08
1850,7.467895812851566e-08
1851,4.6435957301582675e-08
1852,6.054807499822346e-08
1853,4.777545470346922e-08
1854,8.365019965594911e-08
1855,4.8823821430232783e-08
1856,8.8012214405353e-08
1857,9.128422107096412e-08
1858,7.53626139271546e-08
1859,1.043895565544517e-07
1860,6.270742147762576e-08
1861,6.366551019709732e-08
1862,9.71367057900352e-08
1863,5.693867777267769e-08
1864,9.349719221063424e-08
1865,1.1343495032178907e-07
1866,8.952727625910484e-08
1867,1.0433544872512357e-07
1868,8.743577240011291e-08
1869,9.034510384253736e-08
1870,8.429051945313404e-08
1871,9.983906323896008e-08
1872,1.0038583297955483e-07
1873,9.398026890039546e-08
1874,1.236744111565713e-07
1875,9.154443603165419e-08
1876,5.8646342893098335e-08
1877,7.359930975781026e-08
1878,6.099479321619583e-08
1879,1.0080386658728457e-07
1880,7.893950737525302e-08
1881,1.0389036475544344e-07
1882,1.0981385401009902e-07
1883,1.049010265319339e-07
1884,1.1751020423389491e-07
1885,9.539540712921735e-08
1886,8.002295004416737e-08
1887,1.1033882429956066e-07
1888,8.750048152705858e-08
1889,1.1841108715771043e-07
1890,9.503860098902805e-08
1891,8.732681777701146e-08
1892,1.429220759519012e-07
1893,1.0469307909488634e-07
1894,8.381046967542716e-08
1895,1.2759463174916164e-07
1896,9.612157469973681e-08
1897,7.982597338695996e-08
1898,1.3693218647858885e-07
1899,1.061295051840716e-07
1900,1.0485927504078063e-07
1901,9.444968895877537e-08
1902,7.512734612191707e-08
1903,1.128646047732218e-07
1904,1.1394205046144634e-07
1905,7.379885147429377e-08
1906,6.738881808132646e-08
1907,1.0388543358885727e-07
1908,1.0903283964580623e-07
1909,9.956779933872895e-08
1910,9.512588405868883e-08
1911,7.927357614789798e-08
1912,1.2190045595161791e-07
1913,9.227201758221781e-08
1914,1.098265940413512e-07
1915,1.1073916539316997e-07
1916,1.0438088793307543e-07
1917,8.224818515145671e-08
1918,9.189101035644853e-08
1919,1.2246438529928128e-07
1920,1.1509791875141673e-07
1921,7.421292735898533e-08
1922,8.484625624305409e-08
1923,8.280439800500972e-08
1924,1.2633792323413218e-07
1925,1.506750351154551e-07
1926,7.80229711949687e-08
1927,7.581473226991875e-08
1928,5.141718517620575e-08
1929,8.355304714768863e-08
1930,1.0818711615456778e-07
1931,1.0036713860017699e-07
1932,1.0082773371777876e-07
1933,9.405943046658649e-08
1934,9.70508011732818e-08
1935,7.659701850570855e-08
1936,7.396075574206407e-08
1937,1.0324716726017868e-07
1938,7.519824407609121e-08
1939,9.023489866422096e-08
1940,9.63597486247636e-08
1941,8.854507882460894e-08
1942,8.192371581117186e-08
1943,6.096794180621146e-08
1944,9.960876923287287e-08
1945,1.3506725338174874e-07
1946,1.3364260098569503e-07
1947,1.3589793468327116e-07
1948,9.567261116671943e-08
1949,9.227987618487532e-08
1950,7.12569203642488e-08
1951,8.742349422163898e-08
1952,9.384875454543362e-08
1953,9.265491485166422e-08
1954,5.765796373680132e-08
1955,9.010183532609517e-08
1956,6.715278999536167e-08
1957,4.1524678806581505e-08
1958,7.196851470325782e-08
1959,7.130687862400009e-08
1960,8.927874972641803e-08
1961,1.2437205043625e-07
1962,6.785893447158742e-08
1963,5.8841084893401785e-08
1964,1.052526528155795e-07
1965,7.66086074577288e-08
1966,8.917910321315503e-08
1967,8.430873776887893e-08
