year,pourrais_VERB ajouter_VERB,pourrais_VERB rajouter_VERB
1800,1.6664071722516383e-07,0.0
1801,1.6906396638205479e-07,0.0
1802,1.1412984690650774e-07,0.0
1803,1.5212646076179226e-07,0.0
1804,2.916784183071286e-07,0.0
1805,1.3361525930122298e-07,0.0
1806,1.3543845511776453e-07,0.0
1807,2.0213381901612593e-07,0.0
1808,9.517511045942229e-08,0.0
1809,1.7620438086396462e-07,0.0
1810,2.3167254425970896e-07,0.0
1811,1.2535383575595915e-07,0.0
1812,3.6007310200147913e-07,0.0
1813,1.0352670187785407e-07,0.0
1814,1.7621391634747852e-07,0.0
1815,3.1557516422253684e-07,0.0
1816,2.1785476178592944e-07,0.0
1817,2.3664475179430156e-07,0.0
1818,2.6941862074636447e-07,0.0
1819,2.877591782635136e-07,0.0
1820,2.681824753381079e-07,0.0
1821,2.46537211978648e-07,0.0
1822,3.248299549341027e-07,0.0
1823,1.7690010167825676e-07,0.0
1824,2.0126459787661588e-07,0.0
1825,2.4126913444888487e-07,0.0
1826,2.4310037360919523e-07,0.0
1827,1.98171363763322e-07,0.0
1828,1.72439257539736e-07,0.0
1829,3.4121239878004417e-07,0.0
1830,2.2647934372344025e-07,0.0
1831,2.7908259880859987e-07,0.0
1832,2.25950486765214e-07,0.0
1833,3.115996207725402e-07,0.0
1834,2.3242982649662736e-07,0.0
1835,2.647080918904976e-07,0.0
1836,2.2917757291907037e-07,0.0
1837,2.8736090484926535e-07,0.0
1838,2.4428067035842105e-07,0.0
1839,2.467990611876303e-07,0.0
1840,2.9427962999761803e-07,0.0
1841,2.6966304744746594e-07,0.0
1842,3.07909374441806e-07,0.0
1843,3.0420591201618663e-07,0.0
1844,2.206401603643826e-07,0.0
1845,2.332535302684846e-07,0.0
1846,2.3418004957420635e-07,0.0
1847,2.475489679909515e-07,0.0
1848,2.8480084779403114e-07,0.0
1849,2.4467891535095987e-07,0.0
1850,2.6748645609586674e-07,0.0
1851,2.8571014354383806e-07,0.0
1852,2.2786909426031343e-07,0.0
1853,2.591818315522687e-07,0.0
1854,2.774484926248988e-07,0.0
1855,2.807369696711248e-07,0.0
1856,2.3090264278380346e-07,0.0
1857,2.3919395175653335e-07,0.0
1858,2.2021542633865465e-07,0.0
1859,2.1998188515226502e-07,0.0
1860,2.56780026575143e-07,0.0
1861,2.249514636787353e-07,0.0
1862,2.1279714701449848e-07,0.0
1863,2.0977407189093356e-07,0.0
1864,2.8480684477472096e-07,0.0
1865,2.2781127029247727e-07,0.0
1866,2.3208973232158314e-07,0.0
1867,2.3584664177178638e-07,0.0
1868,2.4304179646605917e-07,0.0
1869,2.427109109248704e-07,0.0
1870,2.545917539009679e-07,0.0
1871,1.9649178284453228e-07,0.0
1872,2.600355912818486e-07,0.0
1873,2.6996880819751823e-07,0.0
1874,2.9813298851877335e-07,0.0
1875,3.146840015233465e-07,0.0
1876,2.376083756416847e-07,0.0
1877,2.1894248902754043e-07,0.0
1878,1.9627037772806943e-07,0.0
1879,1.765594959124428e-07,0.0
1880,1.9510252968757413e-07,0.0
1881,1.959274698037916e-07,0.0
1882,1.9100954773421108e-07,0.0
1883,1.7314988554062438e-07,0.0
1884,2.1719583287449495e-07,0.0
1885,1.6823109660890623e-07,0.0
1886,1.445575890102191e-07,0.0
1887,2.0370244158129935e-07,0.0
1888,1.452000759627481e-07,0.0
1889,1.867010723799467e-07,0.0
1890,1.8024562109530962e-07,0.0
1891,2.2628481133324385e-07,0.0
1892,2.005923960268774e-07,0.0
1893,2.0569110859014472e-07,0.0
1894,1.6005910197236517e-07,0.0
1895,1.6972492744571355e-07,0.0
1896,1.7101383775752765e-07,0.0
1897,1.252743402346823e-07,0.0
1898,1.6352645104689145e-07,0.0
1899,1.2658153991651488e-07,0.0
1900,1.495023269626472e-07,0.0
1901,1.1959900803049095e-07,0.0
1902,1.0557110385889246e-07,0.0
1903,1.5228620497964585e-07,0.0
1904,1.5478920545319852e-07,0.0
1905,1.589513800581699e-07,0.0
1906,1.4815250892752374e-07,0.0
1907,1.4914245127783943e-07,0.0
1908,1.2180244368664717e-07,0.0
1909,1.0341849332462516e-07,0.0
1910,1.143648233892236e-07,0.0
1911,1.4577824458683608e-07,0.0
1912,1.2763082679612126e-07,0.0
1913,1.1719607329041537e-07,0.0
1914,9.844212911502837e-08,0.0
1915,1.1545146350044888e-07,0.0
1916,1.3514578256490495e-07,0.0
1917,9.102132025873289e-08,0.0
1918,9.074237539152818e-08,0.0
1919,1.5192949831543956e-07,0.0
1920,1.2191293308205786e-07,0.0
1921,8.935842288337881e-08,0.0
1922,9.517536625480716e-08,0.0
1923,1.0615948298209332e-07,0.0
1924,9.797634703545555e-08,0.0
1925,9.678396395429445e-08,0.0
1926,8.471064916193427e-08,0.0
1927,9.699825653797234e-08,0.0
1928,9.369353648480683e-08,0.0
1929,8.800920880958074e-08,0.0
1930,8.71799059609657e-08,0.0
1931,7.185374784057785e-08,0.0
