year,vous_PRON apportez_VERB,vous_PRON rapportez_VERB
1800,8.174827570428533e-08,1.3205490567713696e-07
1801,1.3572740620304558e-07,1.9287579000604183e-07
1802,9.84649659585557e-08,1.3427040812530322e-07
1803,8.776526438936116e-08,1.6967950955404376e-07
1804,1.1617699691157668e-07,1.3100809326260787e-07
1805,1.8478705321456346e-07,1.0518647819424132e-07
1806,1.8442682403474464e-07,8.356840730527892e-08
1807,1.224190762094679e-07,1.0533734240425474e-07
1808,9.517510424217335e-08,8.384473693112682e-08
1809,7.906607124574805e-08,5.873479391738101e-08
1810,1.778496319104761e-07,1.3104709850608742e-07
1811,4.512738271955641e-08,1.1031137781003508e-07
1812,1.1735716398675322e-07,3.467370568444039e-08
1813,6.326631663000626e-08,9.489947672136623e-08
1814,1.8880061958270744e-08,8.181360833248164e-08
1815,7.012781066961793e-08,6.203614333344376e-08
1816,7.184571870766376e-08,1.2746820843290152e-07
1817,1.0431051666870417e-07,2.0550728985213595e-07
1818,8.821671304559686e-08,1.299408314281436e-07
1819,1.5423064891884053e-07,2.2979330971395484e-07
1820,1.3290458866777044e-07,1.4239777712532486e-07
1821,2.317449707689434e-07,2.958446465584075e-07
1822,2.2958660395033803e-07,1.0927921323400369e-07
1823,1.1859224269272772e-07,8.894418357385803e-08
1824,2.7200194452348114e-07,1.5663269792298706e-07
1825,1.162318481462421e-07,9.597932937310816e-08
1826,1.0305341380245636e-07,1.1802699162455355e-07
1827,1.2812010030671672e-07,1.1152900825095458e-07
1828,1.4308789708650238e-07,9.539193490670783e-08
1829,1.1488056239628008e-07,9.516225407679713e-08
1830,1.0019362139956911e-07,1.0228099256437417e-07
1831,1.0290195806561542e-07,1.6994414497872867e-07
1832,1.7994858847458772e-07,1.420646817962279e-07
1833,1.5753735382872947e-07,4.517615193044833e-08
1834,2.1002694516880638e-07,1.0828055740930154e-07
1835,1.3084142125308063e-07,1.4974913398191347e-07
1836,1.4113575019791824e-07,1.371033038211067e-07
1837,1.4750729171453258e-07,1.0854309628882675e-07
1838,1.4581094021082208e-07,9.152634650178015e-08
1839,1.4961756722442487e-07,5.5232653117798236e-08
1840,1.26756807716788e-07,8.025807840539301e-08
1841,1.643660381134282e-07,9.245590115725122e-08
1842,1.5294843969115846e-07,8.385331362603665e-08
1843,1.7838871180231308e-07,9.15571192194875e-08
1844,1.608148476606175e-07,8.013299357401138e-08
1845,1.534562739102796e-07,7.310098748547489e-08
1846,1.4987522956033672e-07,9.308657222817374e-08
1847,1.337519401900522e-07,8.62915801036479e-08
1848,2.2124359322361897e-07,1.2389641490528902e-07
1849,1.969162450876638e-07,5.6142081650278897e-08
1850,1.6633040722524584e-07,7.671565249722789e-08
1851,1.3543821530959121e-07,8.900225267893802e-08
1852,1.562530940191209e-07,1.1523665222057389e-07
1853,1.6363092658622236e-07,7.345475783182565e-08
1854,1.9535698214667718e-07,7.377843269651407e-08
1855,1.353268999082502e-07,5.837630823180007e-08
1856,1.3978410962067755e-07,1.0250834669989217e-07
1857,1.440045238609855e-07,7.322263329001544e-08
1858,1.9623640756805116e-07,1.4534218273354327e-07
1859,1.7517075612261124e-07,5.092173416265666e-08
1860,1.528779467463437e-07,7.186178940798982e-08
1861,1.957124906581953e-07,8.771692527886898e-08
1862,1.8071944829500808e-07,9.126332445319463e-08
1863,1.5683108856023864e-07,7.841555049736826e-08
1864,2.1624223123239972e-07,1.208271411812234e-07
1865,2.3440085428205748e-07,1.44500129195535e-07
1866,1.6932332869146194e-07,6.227984616913318e-08
1867,1.8343627417038988e-07,9.996791483501966e-08
1868,1.4720825181058217e-07,7.706203852819726e-08
1869,2.1682824780100418e-07,9.32752151072691e-08
1870,1.892236038969486e-07,1.0149266360670595e-07
1871,1.9436754783441756e-07,4.5671062487429026e-08
1872,2.4491724204267484e-07,5.2611851764083895e-08
1873,1.508473088662754e-07,1.1972009339444867e-07
1874,1.7804335072924005e-07,8.424198760792478e-08
1875,1.4647109480847575e-07,7.323554740423788e-08
1876,1.5356877725025697e-07,6.711076472321054e-08
1877,1.9358474645514434e-07,7.731020312817805e-08
1878,1.2621695155701218e-07,4.1065803646489485e-08
1879,2.1016079188029835e-07,6.903537652647174e-08
1880,1.3798368758699553e-07,6.931273865973253e-08
1881,1.8756045250256648e-07,3.765153977486335e-08
1882,1.8834739989870286e-07,6.256061979570404e-08
1883,1.9463564449040405e-07,3.9811834384728684e-08
1884,1.505186855155216e-07,4.423137145437295e-08
1885,1.527615687280104e-07,4.318575741457664e-08
1886,1.8521440736662953e-07,7.421483272374019e-08
1887,1.5865287572580655e-07,4.113222606960676e-08
1888,2.067040352216054e-07,3.550744231972658e-08
1889,1.829419957743994e-07,4.448247103994163e-08
1890,1.4354106703251546e-07,3.2771931834929546e-08
1891,1.9250143878934978e-07,3.824532157636895e-08
1892,1.811600061074614e-07,4.38795852986118e-08
1893,2.155445777418663e-07,2.8328715817593775e-08
1894,1.953477131166892e-07,3.276800430995763e-08
1895,1.745398137131815e-07,6.199172974952205e-08
1896,1.8339759755292562e-07,2.3588116571104933e-08
1897,1.882028417554693e-07,2.38895258020122e-08
1898,1.759748347041068e-07,3.621347222093618e-08
1899,1.8462111484041088e-07,3.3165470370022376e-08
1900,1.73381181411969e-07,3.2184530374124165e-08
1901,1.6766216148766944e-07,3.856229868759442e-08
1902,1.3110457519616148e-07,2.6024503441135494e-08
1903,1.846875257172087e-07,3.888158728315716e-08
1904,1.5317681345550227e-07,3.3860139581065596e-08
1905,1.8372302079683323e-07,3.767354250783228e-08
