year,ses_DET aigles_NOUN,ses_DET règles_NOUN
1800,1.1318991832709457e-07,7.986177594787591e-07
1801,9.524730337773235e-09,1.0905815743811331e-06
1802,3.5805442166747525e-08,1.4814501412274694e-06
1803,1.3652374342143503e-08,1.1780048889686867e-06
1804,3.213406207791536e-08,1.2334536272362584e-06
1805,5.4014676953428875e-08,1.1570512792324905e-06
1806,2.3629687273540867e-07,9.250157972928719e-07
1807,2.1921553816639516e-07,1.1302412206148915e-06
1808,7.251436873190187e-08,1.180624565222388e-06
1809,7.906607035756963e-08,9.262025066902879e-07
1810,9.828532121503031e-08,1.9891077265299373e-06
1811,9.025476321866677e-08,8.47391974811984e-07
1812,1.1202274485810904e-07,1.1709044187568907e-06
1813,9.489947672136623e-08,2.217196737319682e-06
1814,3.5872118697710675e-07,1.0950436681866904e-06
1815,7.687087404395498e-07,1.6560953035593684e-06
1816,1.7382029682266875e-07,1.7474732896261003e-06
1817,2.7089598120255687e-07,1.4183116654464811e-06
1818,1.0729059352065917e-07,1.8358612603464053e-06
1819,1.4905512668583754e-07,1.4812352731041756e-06
1820,2.1834325725222925e-07,1.0584900982379963e-06
1821,1.3904698803468563e-07,1.7080097660659987e-06
1822,1.884815787889238e-07,1.1629714293803772e-06
1823,1.5416991705485827e-07,1.0060574924253274e-06
1824,1.6673803404643195e-07,1.028217898380035e-06
1825,1.655423260693567e-07,1.0892333013323707e-06
1826,2.0346443418972626e-07,1.246329761173115e-06
1827,2.497880983720613e-07,1.2000889135777015e-06
1828,2.2196969473586847e-07,1.285039346043959e-06
1829,3.2578069442124047e-07,1.2319653652781426e-06
1830,1.3463518566680932e-07,1.1449209100788948e-06
1831,2.3698633899726929e-07,1.0804705539158022e-06
1832,2.8277635089057895e-07,1.407116790197449e-06
1833,1.5058716607008193e-07,1.8672808863584578e-06
1834,2.4269779874686037e-07,1.302167113692576e-06
1835,1.3991712677352552e-07,1.2804308013869559e-06
1836,1.7742780178409134e-07,1.4409288207062332e-06
1837,1.982998956151505e-07,1.7554758189319841e-06
1838,1.3697391754163846e-07,1.16333142585745e-06
1839,1.6429966742670388e-07,1.3409649906037657e-06
1840,1.821730903905916e-07,1.5026095105952209e-06
1841,1.9518467109236326e-07,1.3296955767572172e-06
1842,2.0929786748169477e-07,1.5489384295186426e-06
1843,2.1442087350109773e-07,1.3769009559183587e-06
1844,1.2294376905419568e-07,1.3271340950637978e-06
1845,1.6071056840871734e-07,1.426306307727998e-06
1846,1.375807852088684e-07,1.379320551109231e-06
1847,1.8930215439638687e-07,1.010690116487467e-06
1848,9.091100749980541e-08,1.1552938588010875e-06
1849,1.575330041969636e-07,1.3172440533892882e-06
1850,1.4528451686146582e-07,1.1364779242128975e-06
1851,1.1028539947943727e-07,1.0783461483754309e-06
1852,1.1653876286210618e-07,1.3691677089866516e-06
1853,1.3377127561220448e-07,1.3221856640655005e-06
1854,1.3820467953395976e-07,1.3726945340408747e-06
1855,1.9211112700645572e-07,1.2779104459070822e-06
