year,as_VERB acheté_VERB,as_VERB racheté_VERB
1800,0.0,6.288328968651058e-09
1801,1.1905912700171939e-08,4.7623651688866175e-09
1802,8.951360541686881e-09,0.0
1803,1.950339223455444e-09,0.0
1804,9.887403784603066e-09,4.943701892301533e-09
1805,0.0,4.8328921309348516e-08
1806,0.0,2.881669125542885e-09
1807,0.0,2.2775640928784924e-08
1808,2.2660739951163578e-09,0.0
1809,9.036122072814123e-09,0.0
1810,2.3401267590372754e-09,0.0
1811,1.504245972228091e-08,1.0028307073639553e-08
1812,1.600324850414836e-08,0.0
1813,2.8757416448144113e-09,0.0
1814,0.0,1.8880061958270744e-08
1815,5.394447111228828e-09,2.697223555614414e-09
1816,0.0,0.0
1817,4.670620334934483e-09,3.113746815941454e-09
1818,3.5763532135746345e-09,2.384235475716423e-09
1819,1.035105001712111e-09,1.3456364911235141e-08
1820,4.746592452420373e-09,2.1359666035891678e-08
1821,7.88919063410276e-09,9.861488514673056e-09
1822,1.0025615893027862e-09,8.02049271442229e-09
1823,0.0,2.9648061783404955e-09
1824,1.6842225392110777e-09,1.431589158329416e-08
1825,3.522177216552791e-09,1.4969252504215547e-08
1826,4.403992281964975e-09,4.403992281964975e-09
1827,2.7651818612639545e-09,3.6869092223668076e-09
1828,9.172301251858528e-10,7.337841001486822e-09
1829,6.001223074036943e-09,1.714635211591542e-09
1830,1.0436835395921662e-08,5.218417697960831e-09
1831,1.091384405071949e-08,1.5591206548037917e-08
1832,8.117981842303834e-09,1.488296597074168e-08
1833,2.4325620628928846e-08,5.791814139399776e-09
1834,6.534171426153534e-09,1.0267983796552471e-08
1835,3.781543966852041e-09,9.832014313815307e-09
1836,1.0753200108126748e-08,7.392825018825988e-09
1837,5.5663127440652715e-09,6.957891152126194e-09
1838,1.7042836475411605e-08,4.418513555037862e-09
1839,6.9914749545318955e-09,9.088918062616358e-09
1840,1.0828470564661075e-08,1.9109065441114126e-09
1841,1.0272877659645019e-08,1.2841097074556274e-09
1842,2.5491406319133603e-08,1.542900918138912e-08
1843,2.1855571574747046e-08,7.088293507706567e-09
1844,6.037417232818143e-09,1.2074834465636286e-08
