year,véritables_ADJ routes_NOUN
1800,0.0
1801,2.3811825400343878e-08
1802,8.951360541686881e-09
1803,0.0
1804,0.0
1805,1.421438877713399e-08
1806,3.1698359492793315e-08
1807,0.0
1808,0.0
1809,1.129515236897305e-08
1810,0.0
1811,0.0
1812,1.8670457180292033e-08
1813,2.8757416448144113e-09
1814,9.440030979135372e-09
1815,0.0
1816,2.3176038865813098e-09
1817,9.341240669868967e-09
1818,1.9073883805731384e-08
1819,2.6912729822470283e-08
1820,7.119888678630559e-09
1821,1.577838126820552e-08
1822,8.02049271442229e-09
1823,1.680056804787e-08
1824,2.6105450245950124e-08
1825,1.1447076175841175e-08
1826,8.80798456392995e-09
1827,1.1060727445055818e-08
1828,6.420610709767516e-09
1829,1.971830521085849e-08
1830,1.0436835840010872e-09
1831,0.0
1832,3.5177919244233635e-08
1833,4.6334514003376626e-09
1834,1.120143711119681e-08
1835,8.31939672707449e-09
1836,6.72075017860152e-09
1837,1.3915782304252389e-08
1838,4.418513555037862e-09
1839,4.194885327990505e-09
1840,8.280594876453051e-09
1841,2.1829865914924085e-08
1842,0.0
1843,1.1813821920725331e-08
1844,7.1351298203126134e-09
1845,7.812318791877715e-09
1846,8.196302303531411e-09
1847,7.550513103637968e-09
1848,1.6090443422100975e-09
1849,8.379414939696517e-10
1850,6.1100964288129944e-09
1851,1.2898877521649865e-08
1852,1.9531636308300904e-09
1853,4.777545470346922e-09
1854,4.676098175337984e-09
1855,6.8990182455763716e-09
1856,3.6240324075009767e-09
1857,6.345961978126979e-09
1858,2.202154192332273e-08
1859,9.165912473463322e-09
1860,1.1442959468865865e-08
1861,1.0846716413936974e-08
1862,1.536115412648087e-08
1863,5.494082966350788e-09
1864,7.1920918109924514e-09
1865,8.47231973466478e-09
1866,4.379051787850585e-09
1867,1.2132028714972876e-08
1868,9.385760613156435e-09
1869,4.395167341186834e-09
1870,0.0
1871,7.434824311758348e-09
1872,1.0280476914203973e-08
1873,4.190203295451056e-09
1874,1.7923826867161097e-09
1875,2.0025344937835143e-08
1876,7.859819461941697e-09
1877,1.4843558382438005e-08
1878,1.3889904337816006e-08
1879,4.27652757650776e-09
1880,1.4119262203848848e-08
1881,9.064259565150223e-09
1882,1.0648616211028639e-08
1883,6.319338829996468e-09
1884,8.582206056928499e-09
1885,1.0957580620640783e-08
1886,1.4197620856748472e-08
1887,1.3057849024278312e-08
1888,6.340614699951175e-09
1889,6.891650361495749e-09
1890,9.831579994568074e-09
1891,1.4023283867459213e-08
1892,1.3163876211308434e-08
1893,1.9091091374434654e-08
1894,6.301539290376468e-09
1895,2.6481902892783182e-08
1896,1.2973464080801023e-08
1897,2.9133566670225264e-09
1898,7.355861253444118e-09
1899,1.8241008703512307e-08
1900,1.453494924419374e-08
1901,1.397184767881754e-08
1902,5.4013122863239005e-09
1903,1.1340462791054051e-08
1904,9.674325340824907e-09
1905,4.1286072338664326e-09
1906,1.594697174311932e-08
1907,8.228549397415463e-09
1908,1.3751889405000384e-08
1909,1.265226234892225e-08
1910,6.412980813053082e-09
1911,1.4365010514438836e-08
1912,7.293189607793238e-09
1913,1.1666577037772186e-08
1914,1.4732836284281348e-08
1915,8.246533234057551e-09
1916,1.538244731591476e-08
1917,8.773139548168274e-09
1918,1.033773866510046e-08
1919,4.603924352863942e-09
1920,1.3630017114962811e-08
1921,4.543648568500203e-09
1922,1.623145884366295e-08
1923,1.1677542488541803e-08
1924,1.675911143195208e-08
1925,8.798542339150117e-09
1926,1.89484357093761e-08
1927,1.4493992672726108e-08
1928,1.1426041446327417e-08
1929,1.2254447234738564e-08
1930,1.3654684494213143e-08
1931,1.596749932275543e-08
1932,9.863582839386709e-09
1933,1.9500125958415992e-08
1934,1.4377896206951846e-08
1935,1.795242710045386e-08
1936,2.3036957230715416e-08
1937,1.6368453259474336e-08
1938,9.075650453382877e-09
1939,1.8352860564618823e-08
1940,2.5357829613881222e-08
1941,5.9030051957620344e-09
1942,9.102635090130207e-09
1943,1.7419411690866582e-08
1944,0.0
1945,1.3071024262956144e-08
1946,2.3665876369705074e-08
1947,1.7881307101674793e-08
1948,1.522064252412747e-08
1949,2.0615717133409817e-08
1950,7.444753258312176e-09
1951,2.4521224162299404e-08
1952,3.1634410646574906e-09
1953,8.619061908632375e-09
1954,1.2704297169818801e-08
1955,1.220129064449793e-08
1956,5.232684952005684e-09
1957,9.718541527092839e-09
1958,1.6544486669545222e-08
1959,8.525822714489095e-09
1960,6.920833239831836e-09
1961,7.64297514166401e-09
1962,1.1415521861124489e-08
1963,1.7458344103715717e-08
1964,7.909158661334459e-09
1965,8.20806533852192e-09
1966,7.200797291773142e-09
1967,6.409436092980059e-09
1968,9.88111459321317e-09
1969,9.083515273289322e-09
1970,8.7375777724219e-09
1971,1.490135304038631e-08
1972,6.669190977248718e-09
1973,1.0475087464101307e-08
1974,9.00091468025721e-09
1975,6.8537762132336866e-09
1976,1.3712464053128315e-08
1977,7.052138428775834e-09
1978,8.316828115084718e-09
1979,7.607565244427406e-09
1980,5.6851505725319385e-09
1981,3.795329828193417e-09
1982,4.345251713999687e-09
1983,5.052252838311233e-09
1984,6.378909400694965e-09
1985,4.210890747202711e-09
1986,5.994485352545098e-09
1987,9.777306964053878e-09
1988,7.195864348830128e-09
1989,2.7440609784434855e-09
1990,1.4166492867673242e-08
1991,3.5168792322792797e-09
1992,8.815910668147353e-09
1993,3.877445031719162e-09
