year,voulons_VERB aller_VERB
1800,5.65949598296811e-08
1801,5.000483582762172e-08
1802,2.0140561218795483e-08
1803,4.6808139586573816e-08
1804,6.426812149129546e-08
1805,3.1271653710973624e-08
1806,1.4408345627714425e-08
1807,2.562259560079383e-08
1808,9.064295980465431e-09
1809,3.162642769893864e-08
1810,3.510190182964834e-08
1811,2.0056614147279106e-08
1812,5.067695596494559e-08
1813,2.8757416004054903e-08
1814,3.1466772298927026e-08
1815,5.394447111228828e-09
1816,1.622322720606917e-08
1817,4.826307531402563e-08
1818,4.410835785506606e-08
1819,3.519356894798875e-08
1820,3.085285271708926e-08
1821,6.607196922914227e-08
1822,6.416394171537831e-08
1823,3.9530746676064155e-08
1824,4.6316120716483056e-08
1825,9.069606221601134e-08
1826,5.460950447400137e-08
1827,4.977327350275118e-08
1828,5.228211819030548e-08
1829,1.2859763920403111e-08
1830,3.1310506187764986e-08
1831,1.02901957177437e-07
1832,5.0060886991332154e-08
1833,6.486831694019202e-08
1834,4.387229424196448e-08
1835,5.899208588289184e-08
1836,5.712637474175608e-08
1837,4.800944708449606e-08
1838,3.219202682203104e-08
1839,6.921560213868361e-08
1840,7.45253601053264e-08
1841,7.191014361751513e-08
1842,5.567860128508073e-08
1843,4.371114314949409e-08
1844,7.135129465041246e-08
1845,5.245414413934668e-08
1846,6.908311434017378e-08
1847,4.961765753819236e-08
1848,5.63165514222419e-08
1849,4.524883934209356e-08
1850,5.363306954109248e-08
1851,5.7400004749297295e-08
1852,5.9245962802378926e-08
1853,6.569125332589465e-08
1854,6.28675422831293e-08
1855,6.368324534378189e-08
1856,6.109083017236117e-08
1857,5.564920257938866e-08
1858,6.949019848434546e-08
1859,6.263373109050008e-08
1860,6.911547956178765e-08
1861,1.207286715043665e-07
1862,6.912519268098549e-08
1863,4.4951587341302e-08
1864,8.198984602358905e-08
1865,8.236977322439998e-08
1866,6.519920958680814e-08
1867,9.851207494193659e-08
1868,8.644779825317528e-08
1869,7.227608023185894e-08
1870,6.078091985273204e-08
1871,4.779529660936532e-08
1872,8.708168763860158e-08
1873,6.345164393906089e-08
1874,8.185214284139875e-08
1875,5.435450844970546e-08
1876,7.376137745040978e-08
1877,5.813727099734933e-08
1878,5.6163525385954927e-08
1879,1.0874598643795252e-07
1880,4.4924924225142604e-08
1881,9.203709794292081e-08
1882,7.121261802467416e-08
1883,6.382532546922448e-08
1884,5.677459569142229e-08
1885,5.220964993668531e-08
1886,5.227305877042454e-08
1887,5.3537181798901656e-08
1888,4.2482117379449846e-08
1889,5.200063668553412e-08
1890,6.095579152542996e-08
1891,8.222743730357251e-08
1892,6.644623340434919e-08
1893,5.480990594719515e-08
1894,7.876924001948282e-08
1895,7.342709551494409e-08
1896,7.13540515562272e-08
1897,7.458193351794762e-08
1898,6.450524381307332e-08
1899,7.572782578790793e-08
1900,5.6582479146527476e-08
1901,5.253414414596591e-08
1902,4.17374117489544e-08
1903,6.966283905285309e-08
1904,3.869730136329963e-08
1905,5.5736197879241445e-08
1906,4.578324208637241e-08
1907,7.354265818548811e-08
1908,7.759994957723393e-08
1909,8.581534416407521e-08
1910,5.183825990684454e-08
1911,4.362706818028528e-08
1912,4.219631222213138e-08
1913,8.643873172786698e-08
1914,4.3528835647066444e-08
1915,1.0367070757411057e-07
1916,8.020847275247434e-08
1917,6.470190072604964e-08
1918,9.533692235663693e-08
1919,4.603924352863942e-08
1920,5.5277290300637105e-08
1921,7.19411019645122e-08
1922,7.230377008227151e-08
1923,6.475728042687479e-08
1924,6.445812061883771e-08
1925,7.808706214973427e-08
1926,7.022067194384363e-08
1927,5.5746124161260013e-08
1928,5.484499610020066e-08
1929,7.464072382390441e-08
1930,6.092090387710414e-08
1931,4.676196141417677e-08
1932,6.794912366103745e-08
1933,8.947116469926186e-08
1934,7.548395331014035e-08
1935,5.505410882733486e-08
1936,4.243650053581405e-08
1937,5.414180748175568e-08
1938,4.797129449229942e-08
1939,2.5999884911698246e-08
1940,2.5357829613881222e-08
1941,5.312704587367989e-08
1942,3.944475324146879e-08
1943,7.258088174921795e-08
1944,5.1410978585408884e-08
1945,7.406913482554955e-08
1946,8.491873870752897e-08
1947,9.05986183852292e-08
1948,7.719040695519652e-08
1949,5.890204946013e-08
1950,6.806631347444636e-08
1951,9.275419188270462e-08
1952,5.2724018928529404e-08
1953,5.386913670690774e-08
1954,6.938500973774353e-08
1955,5.9129330765017585e-08
1956,8.721141853129666e-08
1957,5.47772351922049e-08
1958,5.873292963087806e-08
1959,6.200598079431074e-08
1960,6.851625045101173e-08
1961,5.905935296368625e-08
1962,5.200404373795209e-08
1963,1.041034565218979e-07
1964,7.544120705915702e-08
1965,5.7456453816939757e-08
1966,5.0405581930590415e-08
1967,5.078245735035125e-08
1968,5.61426993783698e-08
1969,6.540130925714038e-08
1970,8.185730848708772e-08
1971,7.861748230197918e-08
1972,6.617889170001945e-08
1973,7.663353329689926e-08
1974,6.300640364997889e-08
1975,6.739546876133318e-08
1976,6.627691107041755e-08
1977,7.052138073504466e-08
1978,6.475244873627162e-08
1979,7.841644134032322e-08
1980,6.083111259158613e-08
1981,7.717170547039132e-08
1982,8.007678076182856e-08
1983,5.7469375036589554e-08
1984,6.204938785003833e-08
1985,5.594468888148185e-08
1986,7.133437662787401e-08
1987,7.149655800731125e-08
1988,6.236415828198005e-08
1989,6.915033878840404e-08
1990,6.592867407562153e-08
1991,7.444060656780493e-08
1992,6.005839026101967e-08
1993,5.317639306667843e-08
1994,7.754142217208937e-08
1995,7.428757697880428e-08
1996,7.09966272438578e-08
1997,5.945669201423698e-08
1998,7.676688085211936e-08
1999,7.586533712355958e-08
2000,6.627047355323157e-08
2001,7.141375135688577e-08
2002,9.112940801969671e-08
2003,7.792145595431066e-08
2004,7.135761848076072e-08
2005,6.305249655724765e-08
2006,7.74163311234588e-08
2007,7.629455467395019e-08
2008,8.21685830487695e-08
2009,9.345657048243083e-08
2010,8.266637507858832e-08
2011,8.106820814646198e-08
2012,7.727653894562536e-08
2013,8.785743688122238e-08
2014,9.527958866328845e-08
2015,8.844136090147003e-08
2016,9.321030347564374e-08
2017,7.999643969469616e-08
2018,1.1306823921586329e-07
2019,9.540693923781873e-08
