year,trois_DET arts_NOUN,trois_DET rares_ADJ
1800,3.144164395507687e-08,0.0
1801,3.095537337571841e-08,0.0
1802,5.594600338554301e-08,0.0
1803,9.751696339321825e-09,1.3652374342143503e-08
1804,7.4155526164076946e-09,0.0
1805,2.5585899399160894e-08,0.0
1806,5.76333825108577e-09,0.0
1807,2.2775641372874134e-08,0.0
1808,6.798221985349073e-09,2.2660739951163578e-09
1809,2.4849335478194234e-08,0.0
1810,1.8721014072298203e-08,0.0
1811,3.5099073869560016e-08,5.0141535368197765e-09
1812,2.6672082320544632e-09,2.6672082320544632e-09
1813,1.4378708002027452e-08,2.300593315851529e-08
1814,1.2586708564299443e-08,0.0
1815,1.3486118000116676e-08,2.697223555614414e-09
1816,2.7811246638975717e-08,0.0
1817,1.401186100480345e-08,0.0
1818,2.384235475716423e-09,0.0
1819,1.3456364911235141e-08,0.0
1820,3.085285271708926e-08,0.0
1821,9.86148829262845e-10,0.0
1822,9.023054303725075e-09,1.0025615893027862e-09
1823,5.929612356680991e-09,0.0
1824,2.7789671008804362e-08,0.0
1825,1.0566531649658373e-08,0.0
1826,1.0569580766173203e-08,0.0
1827,3.6869092223668076e-09,0.0
1828,2.7516903755575584e-09,9.172301251858528e-10
1829,9.430493552731178e-09,1.2002446148073886e-08
1830,1.4611570398059825e-08,4.174734336004349e-09
1831,4.677361609140007e-09,0.0
1832,1.0823975493678972e-08,0.0
1833,2.0850531967653296e-08,0.0
1834,3.640467127752345e-08,9.334530925997342e-10
1835,2.3445572594482655e-08,0.0
1836,1.5457725766054864e-08,8.064899859050456e-09
1837,4.87052354003481e-09,6.957890930081589e-10
1838,1.5780404538645598e-08,2.5248647617104325e-09
1839,8.38977065598101e-09,0.0
1840,3.821813265858509e-08,6.369688665408546e-10
1841,8.346713542550788e-09,1.926164561183441e-09
1842,1.0733224087289273e-08,1.341653010911159e-09
1843,1.8311423488626133e-08,1.7720733769266417e-09
1844,9.330554107123135e-09,1.097712254427563e-09
1845,1.3392547515422848e-08,2.2320911785556063e-09
1846,4.27378594736183e-08,5.854501328173001e-10
1847,1.88762818709165e-08,3.235934187273415e-09
1848,1.126331028444838e-08,8.045221711050488e-10
1849,4.1897072478036534e-09,2.513824481908955e-09
1850,7.467895635215882e-09,6.788996032014438e-10
1851,9.674158363282004e-09,5.159551008659946e-09
1852,1.1718981340891332e-08,0.0
1853,1.0152284346531815e-08,4.777545470346922e-09
1854,9.871762074453727e-09,9.871762074453727e-09
1855,1.3798036491152743e-08,0.0
1856,3.1063134287023786e-09,1.0354378465748937e-09
1857,1.0739319711294826e-08,1.9526036343364694e-09
1858,5.872411001917044e-09,4.404308473482388e-09
1859,2.4442432078330967e-08,3.055304009791371e-09
1860,1.0985241161165504e-08,2.746310290291376e-09
1861,1.131831339762357e-08,2.8295783494058924e-09
1862,1.1746764450037972e-08,0.0
1863,1.2986014041871385e-08,4.994620828036034e-10
1864,1.1507347408290514e-08,6.233146443435089e-09
1865,1.8827376990770972e-08,0.0
1866,6.325297008391573e-09,0.0
1867,1.747012134956094e-08,9.7056229719783e-10
1868,2.321740755206747e-08,8.89177353968762e-09
1869,8.301982323821733e-09,4.883519366671862e-09
1870,2.1789386295267832e-08,1.7202146374017957e-09
1871,1.0621177271019633e-09,6.37270636261178e-09
1872,1.4513614199351821e-08,0.0
1873,1.6162211291526063e-08,3.591602570907071e-09
1874,4.182226343019124e-09,5.974609251779839e-09
1875,2.0597497041308088e-08,0.0
1876,1.753344314181504e-08,6.04601479992084e-10
1877,1.6699003291265058e-08,9.27722432209066e-09
1878,8.4547240319921e-09,4.22736201599605e-09
1879,8.553055264037823e-09,6.109325489944695e-09
1880,2.5029599504122757e-08,6.417846254436199e-09
1881,6.275256814181063e-09,2.7890030285249168e-09
1882,1.3310770041741193e-08,6.655385131892899e-10
1883,1.579834707499117e-08,6.951272890631799e-09
1884,2.3766108192546653e-08,6.601696966868076e-09
1885,1.5469526104539e-08,0.0
1886,1.7424351739236954e-08,4.5174246565693466e-09
1887,1.1752064210668323e-08,1.3057849246322917e-09
1888,1.0779045211961602e-08,6.340614699951175e-10
1889,6.891650361495749e-09,3.759081934617825e-09
1890,2.6217545912032847e-09,1.3108772956016423e-09
1891,7.011642266796514e-09,6.374220040683554e-10
1892,3.1342561879199593e-09,1.8805537127519756e-09
1893,4.310891643655168e-09,1.847525021858587e-09
1894,1.071261657159539e-08,4.411077725308132e-09
1895,1.023164486468886e-08,5.416753268150387e-09
1896,1.2383760683576384e-08,5.897029087265082e-09
1897,7.574727511894253e-09,3.4960281336537946e-09
1898,7.921697076085366e-09,6.224190496340043e-09
1899,9.39688327150634e-09,6.080336234504102e-09
1900,8.824790675987515e-09,5.191053142894475e-10
1901,6.706486921359556e-09,2.235495566438317e-09
1902,8.838511089681589e-09,2.455141867585553e-09
1903,5.400220270956879e-09,2.7001101354784396e-09
1904,1.5048950530172078e-08,5.374625189347171e-09
1905,1.3934049469810361e-08,1.5482277682110634e-09
1906,1.3889298322578014e-08,1.0802787109298606e-08
1907,6.685696163355459e-09,4.114274698707732e-09
1908,9.331638795018193e-09,3.929111258571538e-09
1909,1.1001967337165297e-08,2.2003934230241384e-09
1910,2.0842187531400214e-08,5.344150677544235e-10
1911,9.044636040123066e-09,5.320374141248863e-10
1912,8.335073964360618e-09,1.0418842455450772e-09
1913,5.302989658506618e-09,2.6514948014977335e-09
1914,7.366418142140674e-09,0.0
1915,8.246533234057551e-09,1.295883844676382e-08
1916,3.2962386153911893e-09,2.197492410260793e-09
1917,8.773139548168274e-09,0.0
1918,4.594550517822427e-09,3.44591288836682e-09
1919,1.1049418269237776e-08,3.6831393490643904e-09
1920,9.843901249695364e-09,7.572231730534895e-10
1921,1.2116395886607734e-08,7.572747429129834e-10
1922,1.475587119159627e-08,7.377935484775833e-10
1923,1.2739137744688378e-08,2.1231896241147297e-09
1924,7.734974771800296e-09,0.0
1925,1.2097995494286806e-08,3.299453377181294e-09
1926,1.1146138456652466e-08,0.0
1927,1.2264147031260109e-08,4.4596899506643695e-09
1928,2.7422499715434867e-08,0.0
1929,7.798284462623428e-09,6.684243825105796e-09
1930,1.260432402894196e-08,0.0
1931,2.167017765231094e-08,0.0
1932,8.767629289252454e-09,0.0
1933,9.176529758292418e-09,8.02946331646126e-09
1934,1.677421224144382e-08,1.1981580172459871e-09
1935,1.795242621227544e-08,1.196828414151696e-09
1936,1.2124714565686645e-08,0.0
1937,1.1332006444320086e-08,0.0
1938,5.186085783037697e-09,0.0
1939,4.588215141154706e-09,1.5294050470515685e-09
1940,5.0715658339584024e-09,0.0
1941,2.9515025978810172e-08,0.0
1942,6.068423541449874e-09,0.0
1943,1.161294105322952e-08,0.0
1944,1.6065930807940276e-08,0.0
1945,1.3071024262956144e-08,0.0
1946,1.6705326011390298e-08,0.0
1947,2.3841741914054637e-09,1.1920870957027319e-09
1948,1.848220954059343e-08,1.0871887834440486e-09
1949,1.4725512254010198e-08,0.0
1950,2.9779012589159493e-08,0.0
1951,1.3859822178829972e-08,2.1322803522849654e-09
1952,1.1599284199803606e-08,0.0
1953,5.386913692895234e-09,0.0
1954,1.074978994708431e-08,4.886268278880834e-09
1955,8.447047505910632e-09,1.8771215692936494e-09
1956,4.36057079333807e-09,3.488456634670456e-09
1957,5.301022731885041e-09,0.0
1958,1.6544486503011768e-08,3.3088973783179654e-09
1959,1.5501495198577686e-08,3.8753737996444215e-09
