year,plus_ADV enseigné_VERB,plus_ADV renseigné_VERB
1800,6.288328968651058e-09,0.0
1801,0.0,0.0
1802,2.2378401354217203e-09,0.0
1803,1.5602713787643552e-08,0.0
1804,7.4155526164076946e-09,0.0
1805,0.0,0.0
1806,1.4408345627714425e-08,0.0
1807,2.2775640928784924e-08,0.0
1808,2.2660739951163578e-09,0.0
1809,0.0,0.0
1810,2.3401267590372754e-09,0.0
1811,0.0,0.0
1812,1.0668832928217853e-08,0.0
1813,1.1502966579257645e-08,0.0
1814,6.293354282149721e-09,0.0
1815,0.0,2.697223555614414e-09
1816,2.3176038865813098e-09,0.0
1817,1.0898113522728181e-08,0.0
1818,4.768470951432846e-09,0.0
1819,1.7596784473994376e-08,0.0
1820,1.898636980968149e-08,0.0
1821,2.859831660373402e-08,0.0
1822,8.02049271442229e-09,0.0
1823,5.929612356680991e-09,0.0
1824,1.0105335235266466e-08,0.0
1825,0.0,0.0
1826,1.0569580766173203e-08,0.0
1827,2.027800150017356e-08,0.0
1828,1.8344602503717056e-09,0.0
1829,1.0287811491593857e-08,0.0
1830,4.174734336004349e-09,0.0
1831,4.677361609140007e-09,0.0
1832,6.764984572527055e-09,1.3529969367098715e-09
1833,0.0,0.0
1834,1.213489042584115e-08,0.0
1835,3.025235173481633e-09,0.0
1836,2.688300027031687e-09,0.0
1837,3.478945576063097e-09,0.0
1838,3.1560809521380406e-09,0.0
1839,0.0,0.0
1840,8.917564464638872e-09,0.0
1841,5.1364388298225094e-09,0.0
1842,7.379091560011375e-09,0.0
1843,2.3627644285539873e-09,1.1813822142769936e-09
1844,1.0977122322231025e-08,0.0
1845,1.674068350610014e-08,5.580227946389016e-10
1846,7.025401593807601e-09,0.0
1847,2.6966118227278457e-09,0.0
1848,0.0,0.0
1849,4.1897072478036534e-09,4.1897072478036534e-09
1850,1.2899092460827433e-08,6.788996032014438e-10
1851,1.096404567135778e-08,0.0
1852,1.3021090872200602e-08,0.0
1853,1.1943863675867306e-08,0.0
1854,5.7152309551611324e-09,3.117398783558656e-09
1855,8.491099379170919e-09,5.306937111981824e-10
1856,2.0708756931497874e-09,5.177189232874468e-10
1857,8.298565390418844e-09,2.9289055625270066e-09
1858,5.3830437884982985e-09,2.4468380654951716e-09
1859,1.018434669930457e-09,4.073738679721828e-09
1860,5.950338888283113e-09,3.204028820036342e-09
1861,6.13075279431996e-09,2.452301117727984e-08
1862,4.517986429419807e-09,6.776979422085105e-09
1863,1.4983863039219614e-09,0.0
1864,5.753673537611803e-09,2.8768367688059016e-09
1865,8.943004559114343e-09,2.3534221238463715e-09
1866,1.9462451650298362e-09,6.3252967308358166e-09
1867,1.455843445796745e-09,2.91168689159349e-09
1868,1.975949626142892e-09,4.939874287401835e-09
1869,6.8369265804335555e-09,5.371870948067681e-09
1870,1.1468097582678638e-08,6.307453670473251e-09
1871,0.0,3.18635318130589e-09
1872,1.2094678591978436e-09,4.8378714367913744e-09
1873,8.979006871356887e-09,5.387403856360606e-09
