year,mais_CONJ avoir_VERB
1800,1.8550570501929542e-07
1801,1.8811342528124442e-07
1802,2.1707049313590687e-07
1803,1.9698425646197393e-07
1804,2.595443504560535e-07
1805,3.1555943813543763e-07
1806,2.593502230752165e-07
1807,1.2526602510831708e-07
1808,2.7872710717247173e-07
1809,2.8915590633005195e-07
1810,2.2231204610534405e-07
1811,1.1281845502253418e-07
1812,1.7603573887470247e-07
1813,1.5529004571135374e-07
1814,1.3216043903696573e-07
1815,1.618334160014001e-07
1816,1.251506134281044e-07
1817,2.5221349631010526e-07
1818,1.2755659462015956e-07
1819,1.355987624407362e-07
1820,3.22768279659158e-07
1821,2.662601765734962e-07
1822,1.9950975627125445e-07
1823,1.4527550007414902e-07
1824,1.6000114300140922e-07
1825,1.5937852282377207e-07
1826,1.550205261935389e-07
1827,1.8065855655891028e-07
1828,1.5868080538439244e-07
1829,1.5345984749615127e-07
1830,2.0873672212928795e-07
1831,2.2607249405837138e-07
1832,2.3677446492342824e-07
1833,1.7491279535875037e-07
1834,2.062931265811585e-07
1835,1.663879345414898e-07
1836,2.2447305170203435e-07
1837,2.163904113672288e-07
1838,1.8747120478224133e-07
1839,1.6639710231913796e-07
1840,1.3758527828144906e-07
1841,1.3483151839466245e-07
1842,1.6166919181159756e-07
1843,1.3763102479913414e-07
1844,1.9758821068194266e-07
1845,1.86937636925677e-07
1846,2.253982955835454e-07
1847,1.7204383695457182e-07
1848,1.2630997936469157e-07
1849,1.0139091699556957e-07
1850,1.398533164831406e-07
1851,1.1415506406819986e-07
1852,1.4127883574133193e-07
1853,1.5945057185717815e-07
1854,1.2001985183474062e-07
1855,1.3638828377793288e-07
1856,1.7913074046305155e-07
1857,1.5376753736973114e-07
1858,1.7617233538658184e-07
1859,1.644771998599026e-07
1860,1.8034105409014956e-07
1861,2.1504795100213414e-07
1862,1.1837124347380268e-07
1863,1.718149533758151e-07
1864,1.5247234586013292e-07
1865,1.379105363241706e-07
1866,1.610517834649272e-07
1867,1.6548087344858686e-07
1868,1.481962215166277e-07
1869,1.6066777774881302e-07
1870,1.47938457928376e-07
1871,1.6037977701444106e-07
1872,1.6206869801749235e-07
1873,1.7119973527712773e-07
1874,1.786408141413176e-07
1875,1.504761613091432e-07
1876,1.6021938620269793e-07
1877,1.818335917391778e-07
1878,2.2706973012986964e-07
1879,1.8694534986707367e-07
1880,1.4953581839449726e-07
1881,1.554869157871508e-07
1882,1.4575293150187463e-07
1883,1.6303894767588645e-07
1884,1.439169956540809e-07
1885,1.411594219291601e-07
1886,1.5552847898447908e-07
1887,1.55388406142265e-07
1888,1.5978349665601854e-07
1889,1.3470043924712627e-07
1890,1.4485193844393507e-07
1891,1.2493471679420054e-07
1892,1.623544712003877e-07
1893,1.5642378237146204e-07
1894,1.203593988918783e-07
1895,1.4986349938794774e-07
1896,1.7455205103544813e-07
1897,1.9694291530925057e-07
1898,1.7823817621831495e-07
1899,1.3155636224837508e-07
1900,1.713047552698299e-07
1901,1.2630550294545628e-07
1902,1.0900829927606992e-07
1903,1.312253541385644e-07
1904,9.674325340824907e-08
1905,1.2747074684682502e-07
1906,1.625562298102068e-07
1907,1.23942527352483e-07
1908,1.4046572971437854e-07
1909,1.36974492193076e-07
1910,1.2505312341204444e-07
1911,1.3886176830624208e-07
1912,1.4065437525800917e-07
1913,1.4848371066022992e-07
1914,1.500070574422807e-07
1915,2.0498525543644064e-07
1916,9.778841247864989e-08
1917,1.3159709055798885e-07
1918,1.343906035344844e-07
1919,1.2983066000060717e-07
1920,1.294851621480575e-07
1921,1.6357135024236413e-07
1922,1.5493664662358242e-07
1923,1.709167634089681e-07
1924,1.0957880824946642e-07
1925,1.5067504222088246e-07
1926,1.5047286794356296e-07
1927,1.627786794244912e-07
1928,1.4054030472721024e-07
1929,1.4593931751960554e-07
1930,1.207914390732867e-07
1931,1.8248570654577634e-07
1932,1.6000923253045585e-07
1933,1.1814782396868395e-07
1934,8.866369682891673e-08
