year,plus_ADV acheté_VERB,plus_ADV racheté_VERB
1800,1.2576657937302116e-08,0.0
1801,0.0,0.0
1802,0.0,0.0
1803,3.900678446910888e-09,0.0
1804,1.2359254952798437e-08,0.0
1805,1.9900143755080535e-08,0.0
1806,5.76333825108577e-09,0.0
1807,0.0,0.0
1808,2.4926814390369145e-08,6.798221985349073e-09
1809,0.0,0.0
1810,1.4040760554223652e-08,0.0
1811,1.0028307073639553e-08,0.0
1812,2.400487453257938e-08,0.0
1813,7.764502640839055e-08,0.0
1814,1.5733386149463513e-08,0.0
1815,8.091670444798638e-09,0.0
1816,1.1588019432906549e-08,0.0
1817,1.5568733857662664e-08,0.0
1818,1.9073883805731384e-08,0.0
1819,0.0,0.0
1820,2.3732962262101864e-09,0.0
1821,3.254291058851777e-08,0.0
1822,2.0051231786055723e-09,3.0076847679083585e-09
1823,4.941343334508019e-09,4.941343334508019e-09
1824,1.0947446504872005e-08,0.0
1825,3.610231757988913e-08,0.0
1826,7.927186018719112e-09,0.0
1827,1.1060727445055818e-08,0.0
1828,9.172301140836225e-09,0.0
1829,1.5431716349212365e-08,0.0
1830,1.1480519646056564e-08,0.0
1831,3.1182412207897414e-09,3.1182412207897414e-09
1832,1.352996914505411e-08,1.3529969367098715e-09
1833,1.3900354645102198e-08,5.791814139399776e-09
1834,2.240287422239362e-08,0.0
1835,1.5126175867408165e-08,0.0
1836,2.688300027031687e-09,0.0
1837,2.6439986200443855e-08,0.0
1838,8.837027110075724e-09,6.312161904276081e-10
1839,1.6080392128969834e-08,0.0
1840,2.1019973317493168e-08,0.0
1841,8.346713542550788e-09,0.0
1842,3.3541325272778977e-09,0.0
1843,4.134837805480629e-09,0.0
1844,1.2623690537338916e-08,5.488561272137815e-10
1845,9.48638767539478e-09,5.580227946389016e-10
1846,2.3418005312692003e-09,4.0981511517657054e-09
1847,3.721324404182269e-08,0.0
1848,5.63165514222419e-09,0.0
1849,1.6758829879393033e-09,4.1897072478036534e-09
1850,1.1541293254424545e-08,0.0
1851,8.384270167027807e-09,0.0
1852,2.0833745395520964e-08,6.510545436100301e-10
1853,8.360704129017904e-09,0.0
1854,1.506742641765868e-08,2.0782657816909023e-09
1855,8.491099379170919e-09,1.0613874223963649e-09
1856,3.6240324075009767e-09,5.177189232874468e-10
1857,9.274867096564776e-09,4.881509085841174e-10
1858,3.4255731584664773e-09,4.893676019968041e-10
1859,3.055304009791371e-09,1.018434669930457e-09
1860,1.4189270203246451e-08,0.0
1861,1.0375120318428799e-08,0.0
1862,1.2198563048571032e-08,0.0
1863,1.3485475847119233e-08,4.994620828036034e-10
1864,7.671564716815737e-09,1.9178911792039344e-09
1865,2.729969672543575e-08,0.0
1866,1.1677471434268227e-08,0.0
1867,1.2132028714972876e-08,4.85281148598915e-10
1868,7.409810987013543e-09,5.9278488784286765e-09
1869,1.4650557211837167e-08,9.767038289254515e-10
1870,8.027668307875047e-09,0.0
1871,4.248470908407853e-09,0.0
1872,1.5723081503438152e-08,0.0
1873,8.979006871356887e-09,0.0
1874,2.1508592240593316e-08,0.0
1875,7.437985338754061e-09,0.0
1876,6.650616057868319e-09,0.0
1877,1.1132669008873108e-08,1.2369631985365004e-09
1878,1.3889904337816006e-08,0.0
1879,1.4051448005147904e-08,2.443730107160036e-09
1880,1.9253539207397807e-08,0.0
1881,1.1156012114099667e-08,2.7890030285249168e-09
1882,9.983077475794744e-09,6.655385131892899e-10
1883,2.464542170343975e-08,5.687405213450347e-09
1884,9.242375753615306e-09,1.9805090900604227e-09
1885,7.7347630522695e-09,0.0
1886,9.680196200179125e-09,6.453463874400711e-10
1887,5.223139698529167e-09,6.528924623161458e-10
1888,1.5851536971922542e-08,1.9021844099853524e-09
1889,2.192797943223468e-08,0.0
