year,voudrais_VERB aller_VERB
1800,9.432493897065797e-09
1801,3.333655484993869e-08
1802,4.4756802708434407e-08
1803,1.755305234496518e-08
1804,4.69651695311768e-08
1805,1.9900143755080535e-08
1806,2.881669125542885e-09
1807,8.540865792383556e-09
1808,1.3596443970698147e-08
1809,2.25903047379461e-08
1810,7.020380277111826e-09
1811,1.0028307073639553e-08
1812,2.6672083208723052e-08
1813,1.7254450312975678e-08
1814,3.1466771410748606e-09
1815,2.697223555614414e-09
1816,2.3176038865813098e-09
1817,4.0478710161551135e-08
1818,3.457141417584353e-08
1819,4.140420006848444e-09
1820,3.678609061807947e-08
1821,6.804427243878308e-08
1822,4.411270992932259e-08
1823,2.7671523739059012e-08
1824,3.2000230021367315e-08
1825,3.610231757988913e-08
1826,3.435113882233054e-08
1827,2.7651818612639545e-08
1828,3.485474309172787e-08
1829,4.9724420136953995e-08
1830,7.305784777145163e-08
1831,9.354723218280014e-09
1832,6.22378593106987e-08
1833,5.21263281427764e-08
1834,4.29388435918554e-08
1835,5.218530674255817e-08
1836,3.091545153210973e-08
1837,4.0355768504696243e-08
1838,3.219202682203104e-08
1839,3.985140750728533e-08
1840,3.3122379505812205e-08
1841,2.8892468861840825e-08
1842,3.152884531232303e-08
1843,6.320394874137492e-08
1844,2.5247381074677833e-08
1845,2.3436957263811564e-08
1846,3.571245699163228e-08
1847,3.289866512545814e-08
1848,2.654923214606697e-08
1849,2.0948537127196687e-08
1850,8.146795238417326e-09
1851,5.224045551699419e-08
1852,4.101643469311966e-08
1853,4.837264810930719e-08
1854,5.195664343204953e-08
1855,6.42139355022664e-08
1856,4.40061072026765e-08
1857,4.051652524594829e-08
1858,4.061751113226819e-08
1859,6.823512421760825e-08
1860,8.559334219171433e-08
1861,6.460870594082735e-08
1862,6.912519268098549e-08
1863,4.2454278315062766e-08
1864,5.5618844641003307e-08
1865,6.730787305286867e-08
1866,4.719644408623935e-08
1867,5.435148864307848e-08
1868,4.198892966655876e-08
