year,devrais_VERB avoir_VERB
1800,6.288328791015374e-08
1801,1.1905912700171939e-08
1802,1.3427040812530322e-08
1803,1.1702034896643454e-08
1804,4.449331569844617e-08
1805,2.842877755426798e-08
1806,1.729001475325731e-08
1807,0.0
1808,2.039466551195801e-08
1809,6.7770917766551975e-09
1810,2.574139479349924e-08
1811,1.2535384286138651e-08
1812,5.067695596494559e-08
1813,1.1502966579257645e-08
1814,1.2586708564299443e-08
1815,0.0
1816,0.0
1817,5.60474440192138e-08
1818,2.8610825708597076e-08
1819,2.070209959015301e-08
1820,2.8479554714522237e-08
1821,1.1932401378089708e-07
1822,6.717162648328667e-08
1823,4.15072847204101e-08
1824,1.431589158329416e-08
1825,3.169959583715354e-08
1826,1.3211976401805714e-08
1827,3.96342727526644e-08
1828,2.2013523448549677e-08
1829,3.0006116702452346e-08
1830,8.871310797076148e-08
1831,4.053713453799901e-08
1832,5.276687886635045e-08
1833,4.9809603552830595e-08
1834,4.85395617033646e-08
1835,6.277362984974388e-08
1836,5.981467410265395e-08
1837,4.174734513640033e-08
1838,5.491580878924651e-08
1839,6.152497888933794e-08
1840,2.7389662093924017e-08
1841,4.751206006403663e-08
1842,4.628702754416736e-08
1843,6.084118098215185e-08
1844,4.445734802516199e-08
1845,5.133809821700197e-08
1846,3.454155717008689e-08
1847,2.480882876909618e-08
1848,3.137636639394259e-08
1849,2.011059585527164e-08
1850,5.7706465383944305e-08
1851,3.4826967976187007e-08
1852,6.054807499822346e-08
1853,2.9262466227919504e-08
1854,3.636965217879151e-08
1855,6.102978034050466e-08
1856,2.9509978460851016e-08
1857,5.760180599168052e-08
1858,5.676664116549546e-08
1859,4.379269213927728e-08
1860,4.439868561689764e-08
1861,3.584132457490341e-08
1862,3.7499287230957634e-08
1863,4.6449972757045543e-08
1864,6.376988181955312e-08
1865,5.2245972881337366e-08
1866,5.011581194480641e-08
1867,4.2219461704462447e-08
1868,6.076044911651479e-08
1869,6.495080384638641e-08
1870,3.956493799250893e-08
1871,3.717412155879174e-08
1872,3.1446163006876304e-08
1873,3.412022664406322e-08
1874,4.719941060216115e-08
1875,5.664312041631092e-08
1876,3.9903696347209916e-08
1877,6.865145962819952e-08
1878,1.8117265909722846e-08
1879,4.2765275765077604e-08
1880,6.417846520889725e-08
1881,5.438555916725818e-08
1882,4.1263387373646765e-08
1883,7.014466518739937e-08
1884,2.970763546272792e-08
1885,3.0294486919046903e-08
1886,2.3232470169887165e-08
1887,3.003305337756501e-08
1888,2.8532765483646472e-08
1889,3.821733329800736e-08
1890,3.1461055982617836e-08
1891,3.1871099537283953e-08
1892,4.952124754709075e-08
1893,2.2170299374124625e-08
1894,4.537108111435373e-08
1895,5.537125247201402e-08
1896,4.599682768002822e-08
1897,4.136966680334808e-08
1898,4.413516663248629e-08
1899,3.0954439012020885e-08
1900,3.8932899570909285e-08
1901,4.694540578498163e-08
1902,4.075535642300565e-08
1903,3.94216073118514e-08
1904,3.869730136329963e-08
1905,3.767354073147544e-08
1906,4.372556716703002e-08
1907,3.445705232252294e-08
1908,4.272908427083166e-08
1909,5.555993354278144e-08
1910,5.2907090264397993e-08
1911,3.1922244403403965e-08
1912,4.844761747335724e-08
1913,5.7272288245258096e-08
1914,4.2859159776753586e-08
1915,3.652036184575991e-08
1916,1.4283700444650549e-08
1917,1.0966424213165737e-07
1918,4.709414369585829e-08
1919,3.6831394822911534e-08
1920,2.5745588771997063e-08
1921,5.755288157160976e-08
1922,5.090775445637519e-08
1923,5.520293200333981e-08
1924,4.769901096324247e-08
1925,6.378942885021388e-08
1926,5.127223801082437e-08
1927,6.243566019747959e-08
1928,6.741364444451392e-08
1929,6.127223173280072e-08
1930,5.2518018378577835e-08
1931,5.018356930008849e-08
1932,5.698959171240858e-08
1933,5.5059178549754506e-08
1934,6.470052937856963e-08
1935,7.061287732312849e-08
1936,5.941110003959693e-08
1937,7.176937089070634e-08
1938,4.148868626430158e-08
1939,7.035263394072899e-08
1940,2.2822046474857416e-08
1941,7.37875680556499e-08
1942,6.371844563091145e-08
1943,6.096794180621146e-08
1944,9.639558129492798e-08
1945,5.664110602765504e-08
1946,1.0997672461598995e-07
1947,7.748565877818692e-08
1948,7.392883816237372e-08
1949,9.718838356320703e-08
1950,1.0529007710147198e-07
1951,8.315893040844458e-08
1952,8.541291407482277e-08
1953,5.0636987936059086e-08
1954,9.479359874831061e-08
1955,8.822471642133678e-08
1956,7.151336234301198e-08
1957,9.18843952035786e-08
1958,7.362296372548371e-08
1959,6.510628480782543e-08
1960,7.128458179295194e-08
1961,7.573493832069289e-08
1962,7.166410398440348e-08
1963,8.341208967976854e-08
1964,9.916868037862514e-08
1965,6.566452270817535e-08
1966,7.090015685662365e-08
1967,8.726694034066895e-08
1968,8.174377086334061e-08
1969,6.176790634526697e-08
1970,5.472482911272891e-08
1971,9.197731287713395e-08
1972,6.002272101568451e-08
1973,6.340184199871146e-08
1974,6.63817445456516e-08
1975,5.768594846244923e-08
1976,5.370715427943651e-08
1977,5.994317575641617e-08
1978,7.485144948304878e-08
1979,6.729769097546523e-08
1980,6.82218086467401e-08
1981,6.831593424294624e-08
1982,6.642027727821187e-08
1983,6.125856799599205e-08
1984,7.828661807707249e-08
1985,8.301470444393999e-08
1986,6.953602849080198e-08
1987,6.966331511648605e-08
1988,6.596209090048433e-08
1989,6.3113404280557e-08
1990,7.301192539443946e-08
1991,7.444060656780493e-08
1992,6.501733906816298e-08
1993,6.536264862688768e-08
1994,7.754142217208937e-08
