year,avons_VERB apporté_VERB,avons_VERB rapporté_VERB
1800,4.7162465932615305e-08,7.797527814545901e-07
1801,7.857902772911984e-08,6.52444043680589e-07
1802,9.398928568771225e-08,1.250952664122451e-06
1803,6.436119548425268e-08,8.581492352277564e-07
1804,4.2021465418429216e-08,8.997537292998459e-07
1805,4.8328921309348516e-08,1.4328103361549438e-06
1806,5.187004603612877e-08,9.567141887600883e-07
1807,8.54086508184082e-08,1.4889575368215446e-06
1808,5.4385775882792586e-08,1.4389570424100384e-06
1809,6.551188391767937e-08,1.1362923260094249e-06
1810,1.0998595456612748e-07,1.1068799494751147e-06
1811,8.524060746140094e-08,1.6997980765154352e-06
1812,4.267533171287141e-08,1.3256025113150827e-06
1813,8.339650747757332e-08,1.5183916275418596e-06
1814,1.1642705288750221e-07,1.5198451137621305e-06
1815,1.0249449644561537e-07,1.3108506209391635e-06
1816,2.155371561229913e-07,1.6640395870126667e-06
1817,7.7843672841027e-08,1.816871304072265e-06
1818,6.914282835168706e-08,1.8060583215628867e-06
1819,1.0558071039667993e-07,1.7990124661082518e-06
1820,6.170570543417853e-08,1.1747816870411043e-06
1821,1.5383922402634198e-07,1.7533726577312336e-06
1822,7.017931125119503e-08,1.2231250821059803e-06
1823,1.0277994277885227e-07,1.5337930108216824e-06
1824,1.0779024250950897e-07,1.9183294170943554e-06
1825,8.629334047327575e-08,1.8693955325943534e-06
1826,9.953022583886195e-08,1.8285375062987441e-06
1827,1.0046827725318508e-07,1.6296138483085088e-06
1828,9.172300963200541e-08,1.6033183101171744e-06
1829,8.830371456269859e-08,1.6777705695858458e-06
1830,1.1689256496083544e-07,1.980911520149675e-06
1831,1.8397622625343502e-07,1.7197099850818631e-06
1832,1.7588959622116818e-07,1.9916114979423583e-06
1833,1.2162810492100107e-07,1.5105051716091111e-06
1834,7.28093425550469e-08,1.613006929801486e-06
1835,1.1344631900556124e-07,1.3590869230029057e-06
1836,9.543465040451338e-08,1.7090867459046422e-06
1837,1.2872098409388855e-07,1.5481307400477817e-06
1838,1.0162580821315714e-07,1.3716328339796746e-06
1839,1.0417298312859202e-07,1.3234862308308948e-06
1840,1.4522889557611052e-07,1.408975094818743e-06
1841,1.1878015016009158e-07,1.6731949017412262e-06
1842,1.0800306426972384e-07,1.510701281404181e-06
1843,1.4767277889404795e-07,1.439514221601712e-06
1844,1.1141779054923973e-07,1.585096470080316e-06
1845,1.4508592016682087e-07,1.8225024405182921e-06
1846,1.264572233594663e-07,1.4044949239178095e-06
1847,1.2566211182729603e-07,1.5025520951894578e-06
1848,1.4400946213299903e-07,1.3853871223545866e-06
1849,2.0194390515371197e-07,1.5460020676982822e-06
1850,1.8941298662866757e-07,1.471854375267867e-06
1851,1.6897529064863193e-07,1.3111708767610253e-06
1852,8.203286938623933e-08,1.53453561324568e-06
1853,1.1645266795312637e-07,1.345476221104036e-06
1854,1.6366342947549128e-07,1.2557920854305848e-06
1855,1.0401596739484376e-07,1.2232490007590968e-06
1856,1.5583339063596213e-07,1.419585260009626e-06
1857,1.2106141866752296e-07,1.270168695555185e-06
1858,1.5023584865048178e-07,1.3026965461904183e-06
1859,9.267755274322553e-08,1.2470732144720387e-06
1860,1.3594235781511088e-07,1.4047377590031829e-06
1861,9.997842909115207e-08,1.1087230404882575e-06
1862,1.2740721899717755e-07,1.1177497754033539e-06
1863,1.2886121680821816e-07,1.2346703215371235e-06
1864,1.5630813265943289e-07,1.0164823152081226e-06
1865,1.1296426549733951e-07,1.1432924793552957e-06
1866,1.4645495127751929e-07,1.1594755733312923e-06
1867,1.1937916610804677e-07,1.1190583109055297e-06
1868,1.3584653402176627e-07,1.278933382309333e-06
1869,1.3576183732766367e-07,1.0138185189134674e-06
1870,1.2786928493824234e-07,1.0923363333859015e-06
1871,1.625040084718421e-07,7.211779120552819e-07
1872,1.6811603131827724e-07,7.504747827624669e-07
1873,1.460585110635293e-07,9.9247949947312e-07
1874,1.2666171755881805e-07,1.0413743893877836e-06
1875,1.3388373076850257e-07,9.23454479107022e-07
1876,1.3301232115736639e-07,8.180257964340854e-07
1877,1.397768443212044e-07,7.947488711579354e-07
1878,1.3587948899385083e-07,8.756678653298877e-07
1879,1.5273313636043895e-07,6.653055493188731e-07
1880,1.367001232210896e-07,7.117391760402825e-07
1881,1.9104670911929134e-07,7.230490268739231e-07
1882,1.224590846504725e-07,7.19447143637808e-07
1883,1.6430281846169237e-07,6.81224719301099e-07
1884,1.9012887264580058e-07,7.618358495165012e-07
1885,1.3987029490181158e-07,7.154655463637027e-07
1886,1.4391224567589234e-07,6.70514907596953e-07
1887,1.5865286684402236e-07,7.403800736938138e-07
1888,1.6422191606579872e-07,7.025400918792002e-07
1889,1.5913447271032055e-07,6.860324788249272e-07
1890,2.2743721217466373e-07,6.344645839817531e-07
1891,1.5489354154851753e-07,6.820415592301288e-07
1892,1.9432388853601879e-07,6.682234356958361e-07
1893,1.3794853259696538e-07,5.573367047873035e-07
1894,1.6825110549234523e-07,5.312197686180298e-07
1895,1.7453982081860886e-07,4.923226697428618e-07
1896,1.792696764368884e-07,6.174189479679626e-07
1897,1.6606134067842504e-07,5.098374344925105e-07
1898,1.8955488201299886e-07,5.386754082792322e-07
1899,1.3100360263251787e-07,6.085863901716948e-07
1900,1.4327306985251198e-07,4.978219863005506e-07
1901,1.5033707256861817e-07,5.454609208754846e-07
1902,2.293102596695462e-07,4.920104288430593e-07
1903,1.0530429506161454e-07,4.795395511791867e-07
1904,1.789750143643687e-07,4.692047923526843e-07
1905,1.7546581432270614e-07,5.103990474708553e-07
1906,1.6924367685078323e-07,4.912696454084653e-07
1907,1.3782820929009176e-07,4.453702331375098e-07
1908,1.836859553350223e-07,4.4988323111283535e-07
1909,1.991355986774579e-07,4.851867743127514e-07
1910,2.3621146283403505e-07,5.445689339467208e-07
1911,1.8834124659861118e-07,4.804297759619658e-07
1912,1.8701821602462587e-07,4.2352593254690873e-07
1913,1.999227094984235e-07,4.995416134079278e-07
1914,2.089384025794061e-07,4.292612629797077e-07
1915,2.2972486135586223e-07,3.8405283930842415e-07
1916,2.0216930352034979e-07,3.8346243513842637e-07
1917,2.4674454834894277e-07,3.542155013747106e-07
1918,2.572948289980559e-07,3.170239892824611e-07
1919,2.1730522803409258e-07,3.1122527843763237e-07
1920,2.347391898638307e-07,4.11929420351953e-07
1921,1.9386233418572374e-07,3.8090919929345546e-07
1922,2.1027116758887132e-07,3.4381179148113006e-07
1923,2.1231896596418665e-07,3.9809805230106576e-07
1924,1.9853101207445434e-07,4.0350784047404886e-07
1925,2.06765747634563e-07,3.7173842315496586e-07
1926,1.850258968261187e-07,4.815131546820339e-07
1927,2.452829335197748e-07,3.980273390880029e-07
1928,2.2737822291674092e-07,4.341895589732303e-07
1929,2.5288721872129827e-07,4.5118645175534766e-07
1930,2.3107928370791342e-07,4.2959737811543164e-07
1931,2.8399338702911336e-07,6.056244501451147e-07
1932,2.5206935561072896e-07,4.076947561770794e-07
1933,2.362956479373679e-07,5.597682957159122e-07
1934,2.588021175142785e-07,6.002771897328785e-07
1935,2.668927265858656e-07,4.4282651856519806e-07
1936,2.788684412280418e-07,4.2194005800411105e-07
1937,2.7826371251649107e-07,5.212722840042261e-07
1938,2.644903815962607e-07,5.160155183148163e-07
1939,3.1811623557587154e-07,5.154095106263412e-07
1940,2.3582781238928874e-07,3.423307077810023e-07
1941,2.508777185994404e-07,3.128592709344957e-07
1942,3.0038697218515154e-07,4.247896470133128e-07
1943,2.2645234309948137e-07,3.65807636626414e-07
1944,2.763340205547138e-07,4.2414058043505065e-07
1945,2.940980436960672e-07,2.527064566493209e-07
