year,dois_VERB entrer_VERB,dois_VERB rentrer_VERB
1800,4.087413785214267e-08,0.0
1801,7.143547975374531e-08,2.3811825844433088e-09
1802,6.042168365638645e-08,2.2378401354217203e-09
1803,8.776526527753958e-08,0.0
1804,9.88740396223875e-08,2.2246657849223084e-08
1805,7.960057502032214e-08,0.0
1806,5.187004603612877e-08,0.0
1807,3.4163463169534225e-08,5.693910232196231e-09
1808,9.064295980465431e-09,2.2660739951163578e-09
1809,7.680704072754452e-08,2.259030518203531e-09
1810,4.44624070894406e-08,4.680253518074551e-09
1811,5.0141537144554604e-08,5.0141535368197765e-09
1812,6.668020802180763e-08,2.1337665856435706e-08
1813,7.764502640839055e-08,1.4378708002027452e-08
1814,1.8250727862323401e-07,8.810695817373926e-08
1815,3.236668177919455e-08,0.0
1816,4.1716869958463576e-08,0.0
1817,6.383181272440197e-08,1.556873407970727e-09
1818,5.364529798157491e-08,1.1921177378582115e-09
1819,5.796588098405664e-08,2.070210003424222e-09
1820,7.119888323359191e-08,1.1866481131050932e-09
1821,1.3806084098177962e-07,4.930744257336528e-09
1822,6.115625694746996e-08,2.0051231786055723e-09
1823,2.075364236020505e-08,1.7788837070042973e-08
1824,7.831634718513669e-08,2.5263338088166165e-09
1825,5.459374818883589e-08,0.0
1826,9.512623222462935e-08,1.7615968683770689e-09
1827,5.899054755786892e-08,1.7512819638909605e-08
1828,5.77854990524429e-08,1.1006761724274838e-08
1829,5.658296231558779e-08,6.858540846366168e-09
1830,6.992679857376061e-08,1.2524203008013046e-08
1831,6.548306430431694e-08,0.0
1832,9.335678896604804e-08,1.0823975493678972e-08
1833,7.761030929032131e-08,6.950177322551099e-09
1834,3.827157613045529e-08,1.0267983796552471e-08
1835,6.806779140333674e-08,7.563087933704082e-09
1836,5.443807538085821e-08,3.36037508930076e-09
1837,9.601889416899212e-08,1.461157062010443e-08
1838,7.574594462766981e-08,2.5248647617104325e-09
1839,6.152497888933794e-08,9.788065469251706e-09
1840,5.286841542329057e-08,6.3696887764308485e-09
1841,5.072233477676491e-08,3.2102742686390684e-09
1842,5.970355942963579e-08,1.341653010911159e-08
1843,7.797122947295065e-08,9.451057714215949e-09
1844,4.9945906965831455e-08,1.2074834465636286e-08
1845,6.138250796539069e-08,1.1718478631905782e-08
1846,7.025401771443285e-08,1.4636253098387897e-08
1847,5.177494699637464e-08,1.6179670936367074e-09
1848,3.137636639394259e-08,2.413566457803995e-09
1849,4.692472543865733e-08,2.513824481908955e-09
1850,3.6660580349234806e-08,2.7155984128057753e-09
1851,6.900899762740664e-08,7.094382858952031e-09
1852,6.640756566866912e-08,9.114764054629632e-09
1853,5.4941772020811186e-08,3.5831591027601917e-09
1854,6.754363823802123e-08,4.1565315633818045e-09
1855,5.1477289986223695e-08,9.021793090369101e-09
1856,6.005539177067476e-08,1.2425253714809514e-08
1857,4.3445432140742923e-08,6.345961978126979e-09
1858,5.9213480341213653e-08,1.468102794888182e-08
1859,6.467060131853941e-08,6.110608019582742e-09
1860,7.18617840789193e-08,5.034902272882391e-09
