year,devrions_VERB appeler_VERB,devrions_VERB rappeler_VERB
1800,1.2576657937302116e-08,0.0
1801,9.524730337773235e-09,0.0
1802,0.0,0.0
1803,1.950339223455444e-09,0.0
1804,2.4718509905596875e-08,0.0
1805,2.842877711017877e-09,2.842877711017877e-09
1806,0.0,0.0
1807,0.0,0.0
1808,0.0,0.0
1809,2.259030518203531e-09,0.0
1810,0.0,1.6380887757350138e-08
1811,0.0,0.0
1812,1.8670457180292033e-08,0.0
1813,0.0,0.0
1814,3.1466771410748606e-09,0.0
1815,0.0,0.0
1816,0.0,0.0
1817,1.71256075987003e-08,1.556873407970727e-09
1818,2.2650237241350624e-08,0.0
1819,5.175524897538253e-09,0.0
1820,2.3732962262101864e-09,0.0
1821,1.4792232327920374e-08,8.875339574387908e-09
1822,2.0051231786055723e-09,4.010246357211145e-09
1823,0.0,0.0
1824,4.210556348027694e-09,3.3684450784221553e-09
1825,0.0,8.805443041381977e-10
1826,7.0463874735082754e-09,0.0
1827,1.8434546111834038e-09,0.0
1828,1.8344602503717056e-09,0.0
1829,0.0,9.430493719264632e-09
1830,0.0,0.0
1831,0.0,0.0
1832,4.058990921151917e-09,0.0
1833,0.0,3.4750886612755494e-09
1834,1.8669061851994684e-09,9.334530925997342e-10
1835,7.563087933704082e-10,4.5378527602224494e-09
1836,4.032449929525228e-09,0.0
1837,6.957891152126194e-09,1.3915781860163179e-09
1838,4.418513555037862e-09,3.787297142565649e-09
1839,2.0974426639952526e-09,4.194885327990505e-09
1840,3.1848443882154243e-09,1.2102408852854296e-08
1841,2.5682194149112547e-09,4.494383976094696e-09
1842,5.366612043644636e-09,2.0124795163667386e-09
1843,4.7255288571079745e-09,5.906911071384968e-10
1844,3.841992946007622e-09,1.097712254427563e-09
1845,5.580227835366713e-09,2.2320911785556063e-09
1846,3.5127007969038004e-09,5.854501328173001e-09
1847,9.707802561820245e-09,0.0
1848,7.24069959545659e-09,0.0
1849,0.0,0.0
1850,2.7155984128057753e-09,1.3577992064028876e-09
1851,0.0,7.094382858952031e-09
1852,0.0,1.3021090872200602e-09
1853,2.388772735173461e-09,1.1943863675867306e-09
1854,6.754363734984281e-09,6.234797567117312e-09
1855,7.960405667972736e-09,5.306937111981824e-10
1856,1.0354378465748937e-09,3.1063134287023786e-09
1857,1.9526036343364694e-09,9.763018171682347e-10
1858,2.4468380654951716e-09,9.787352039936081e-10
1859,1.018434669930457e-09,5.092173349652285e-10
1860,1.8308735638683515e-09,9.154367819341758e-10
1861,5.659156698811785e-09,4.715963730639317e-10
1862,0.0,4.517986262886353e-10
1863,4.994620717013731e-09,0.0
1864,9.109982990196386e-09,4.794727948009836e-10
1865,3.765475486972036e-09,4.23615986733239e-09
1866,1.9462451650298362e-09,1.4596839292835284e-09
1867,0.0,4.85281148598915e-10
1868,1.975949626142892e-09,1.4819622196071691e-09
1869,1.2697149998075474e-08,4.883519144627257e-10
1870,3.4404292748035914e-09,1.1468097582678638e-09
1871,7.434824311758348e-09,1.0621177271019633e-09
1872,1.2094679036067646e-08,0.0
1873,3.591602570907071e-09,1.1972008939764578e-09
1874,5.974609140757536e-10,0.0
1875,8.010138330405425e-09,1.1443054281912168e-09
1876,6.04601479992084e-10,3.02300739996042e-09
1877,3.0924081073635534e-09,6.184815992682502e-10
1878,1.1474268646338714e-08,1.2078177347163432e-09
1879,5.498392852132383e-09,0.0
1880,0.0,0.0
1881,3.4862537301449947e-09,0.0
1882,2.6621540527571597e-09,6.655385131892899e-10
1883,0.0,1.8958017378167824e-09
1884,2.6406787867472303e-09,2.6406787867472303e-09
1885,4.511945039809007e-09,1.2891271383708158e-09
1886,4.5174246565693466e-09,6.453463874400711e-10
1887,0.0,6.528924623161458e-10
1888,4.4384300679212174e-09,0.0
1889,4.385595886446936e-09,1.2530273485467092e-09
1890,4.5880703680722945e-09,0.0
1891,1.2748440081367107e-09,1.2748440081367107e-09
1892,4.387958441043338e-09,0.0
1893,1.847525021858587e-09,0.0
1894,5.041231432301174e-09,0.0
1895,1.2037228991346183e-09,3.0093072478365457e-09
1896,1.7691086373616827e-09,1.179405795248556e-09
1897,1.1653426668090106e-08,1.7480140668268973e-09
1898,5.092519295146758e-09,3.960848538042683e-09
1899,6.080336234504102e-09,1.6582735185011188e-09
