year,est_VERB gâtée_ADJ
1800,4.087413785214267e-08
1801,3.5717739876872656e-08
1802,3.1329761895904085e-08
1803,3.1205427575287104e-08
1804,4.2021465418429216e-08
1805,5.685755422035754e-09
1806,1.4408345627714425e-08
1807,2.8469551160981155e-09
1808,3.6257183921861724e-08
1809,4.969867006821005e-08
1810,6.31834211617388e-08
1811,2.5070768572277302e-08
1812,1.0668832928217853e-08
1813,4.888760685162197e-08
1814,2.2026739543434815e-08
1815,2.966945977789237e-08
1816,2.3176038865813098e-08
1817,4.826307531402563e-08
1818,5.960588467246453e-09
1819,9.315945348475907e-09
1820,9.493184904840746e-09
1821,8.875339574387908e-09
1822,8.02049271442229e-09
1823,2.075364236020505e-08
1824,2.4421225930382207e-08
1825,1.4088708866211164e-08
1826,1.76159691278599e-08
1827,1.935627302884768e-08
1828,1.1923991571904935e-08
1829,2.0575622983187714e-08
1830,7.305785310052215e-09
1831,2.182768810143898e-08
1832,1.6235963684607668e-08
1833,1.6217079235048004e-08
1834,8.401078055442213e-09
1835,3.2521278114927554e-08
1836,8.064899859050456e-09
1837,1.530736071231331e-08
1838,1.009945904684173e-08
1839,2.307186797168015e-08
1840,2.0383003729307347e-08
1841,1.4125206782011901e-08
1842,1.0733224087289273e-08
1843,1.6539351221922516e-08
1844,2.7442807137845193e-08
1845,1.897277535078956e-08
1846,1.5807152919933287e-08
1847,1.9954928376364478e-08
1848,2.252662056889676e-08
1849,1.3407063903514427e-08
1850,1.425689166723032e-08
1851,1.6123596680017727e-08
1852,2.2135854038651814e-08
1853,1.3735443005202796e-08
1854,2.286092382064453e-08
1855,1.1675261646360013e-08
1856,1.7602443946884705e-08
1857,1.4644527368545823e-08
1858,2.495774786837046e-08
1859,1.1202780925145817e-08
1860,9.15436793036406e-09
1861,1.5562680033553988e-08
1862,1.671654992208005e-08
1863,2.2475793670651e-08
1864,2.1096802527154068e-08
1865,1.7415324293779122e-08
1866,1.556996132023869e-08
1867,1.552899675516528e-08
1868,1.333765986544222e-08
1869,8.790334682373668e-09
1870,1.4335121534259088e-08
1871,1.3807530230280918e-08
1872,1.69325495846806e-08
1873,1.0774807712721213e-08
1874,1.3741600746186577e-08
1875,1.602027666081085e-08
1876,1.5115036333668286e-08
1877,1.36065949618569e-08
1878,8.4547240319921e-09
1879,1.1607718342077078e-08
1880,2.1178893305773272e-08
1881,6.9725074602899895e-09
1882,1.7304001787010748e-08
1883,8.21514056781325e-09
1884,1.1883054540362536e-08
1885,1.2891271161663553e-08
1886,1.4197620856748472e-08
1887,3.590908548289917e-08
