year,petit_ADJ amas_NOUN
1800,3.772997558826319e-08
1801,5.2386017301842e-08
1802,8.056224487518193e-08
1803,1.014176405078615e-07
1804,4.2021465418429216e-08
1805,9.950071699904584e-08
1806,4.8988376022407465e-08
1807,4.555128185756985e-08
1808,2.039466551195801e-08
1809,4.292158095609011e-08
1810,3.510190182964834e-08
1811,3.259199843341776e-08
1812,5.601137331723294e-08
1813,2.5881675469463516e-08
1814,2.8320094713762956e-08
1815,1.8880564667256294e-08
1816,5.0987285504788815e-08
1817,4.514932783195036e-08
1818,9.417730151284331e-08
1819,6.521161566297451e-08
1820,6.289235177092678e-08
1821,1.0847637099686835e-07
1822,6.616906489398389e-08
1823,6.127265739230836e-08
1824,6.736890068026469e-08
1825,7.396572243578703e-08
1826,8.367585024871005e-08
1827,1.5300673794627073e-07
1828,7.33784067397103e-08
1829,8.658907546532646e-08
1830,1.0645572245948642e-07
1831,9.978371906527173e-08
1832,9.741577855493233e-08
1833,1.9460495848111492e-07
1834,4.573920264761e-08
1835,1.2554725969948777e-07
1836,1.2836632484747312e-07
1837,5.496733812559995e-08
1838,4.481634818809255e-08
1839,4.1249702320556025e-08
1840,3.821813121529516e-08
1841,6.613165037805402e-08
1842,5.970355942963579e-08
1843,6.792947715439368e-08
1844,5.653217982626302e-08
1845,4.40837995552279e-08
1846,6.615586300995346e-08
1847,4.476375803363908e-08
1848,7.803865287314693e-08
1849,4.524883934209356e-08
1850,6.85688590351674e-08
1851,4.1276406959056544e-08
1852,6.575650957074686e-08
1853,9.674529621861438e-08
1854,3.948704829781491e-08
1855,5.7845614520601885e-08
1856,9.11185285001892e-08
1857,7.615153851947554e-08
1858,7.536260943075135e-08
1859,8.351164360043128e-08
1860,7.277722602339054e-08
1861,4.1028885455762776e-08
1862,8.448634547519873e-08
1863,1.0438757441777469e-07
1864,8.438721410541916e-08
1865,7.530950796308389e-08
1866,8.368854054197072e-08
1867,8.832117082135937e-08
1868,1.0521931803619822e-07
1869,1.416220527516998e-07
1870,1.1296076252165221e-07
1871,1.3064048687283503e-07
1872,9.615269269680482e-08
1873,1.1014248180174491e-07
