year,petit_ADJ os_NOUN,petit_ADJ gosse_NOUN
1960,1.6610000486139143e-08,2.1454583665203586e-08
1961,2.709782087606527e-08,8.33779090214648e-09
1962,2.2196846694022554e-08,1.712328306924249e-08
1963,2.4571003010009917e-08,4.526237162849611e-09
1964,2.981144553437787e-08,1.2776333713215848e-08
1965,2.7360217202954118e-08,1.3680108490454757e-08
1966,3.378835733425234e-08,1.0524241922382771e-08
1967,2.7609878827661305e-08,1.0846738618397467e-08
1968,3.6829611360644776e-08,1.616909670043576e-08
1969,6.585549061632889e-08,1.1808570482552128e-08
1970,3.9549036767727586e-08,1.9314645577361844e-08
1971,1.4901353151408614e-08,1.3873672877195986e-08
1972,2.0007572487656944e-08,3.5911027485013847e-09
1973,3.0873940848330506e-08,1.0475086797967492e-08
1974,6.413151965034558e-08,1.012602895977821e-08
1975,6.282627973419608e-08,9.709516746170266e-09
1976,2.6282224341311888e-08,1.4855169538918744e-08
1977,3.408533438831185e-08,1.4104276857551667e-08
1978,3.386137004124379e-08,1.0693064544931019e-08
1979,2.63338808537128e-08,9.948355028654987e-09
1980,3.0699812469947574e-08,1.1370301145063877e-08
1981,2.0241758103001217e-08,1.3283654176632353e-08
1982,2.0484757556893385e-08,6.828252629986764e-09
1983,2.5261265079734585e-08,1.8314415761722103e-08
1984,2.0876431250371752e-08,9.858314442556804e-09
1985,3.7296459254321235e-08,1.5038895129215746e-08
1986,3.8364706966831363e-08,1.4386765556650971e-08
1987,2.627651307651746e-08,1.1610551631235921e-08
1988,3.358070088665954e-08,1.3792074149421296e-08
1989,1.3171493229435782e-08,9.878619700032232e-09
1990,1.5801088437683575e-08,8.172976573295188e-09
1991,1.52398094144246e-08,1.2309076646843664e-08
1992,2.093778761480536e-08,1.1019888113139586e-08
1993,1.4401939474328884e-08,1.1632335983335906e-08
1994,2.3737170395943252e-08,1.5824779708850656e-08
1995,1.0302656505700725e-08,9.21816667442954e-09
1996,2.829188794351012e-08,6.4057104065540216e-09
1997,2.2536003507767077e-08,8.151320840532605e-09
1998,2.241020813364969e-08,2.1456581400514096e-08
1999,2.422206693553086e-08,9.597422412355172e-09
2000,1.7672125762757673e-08,1.4137700787841823e-08
2001,1.2705514501609727e-08,8.324302303019948e-09
2002,2.7163573390609486e-08,9.638686904178684e-09
2003,1.9584537991335083e-08,1.12506919336397e-08
2004,2.0702518477300202e-08,1.013102030045232e-08
2005,1.3961624190095279e-08,9.908248665979613e-09
2006,2.141302779534726e-08,2.388376119100144e-08
2007,2.955914873981058e-08,1.3181782332338798e-08
2008,1.873273464125802e-08,1.4901038625225738e-08
2009,3.0993250854649546e-08,1.1443662017995848e-08
2010,2.9759895880943077e-08,1.7005655550406118e-08
2011,3.479814458806629e-08,1.911985947344874e-08
2012,3.812762866539643e-08,1.599998711299122e-08
2013,2.342865024207441e-08,2.2591911952307697e-08
2014,3.356440006485606e-08,3.1615500661885676e-08
2015,3.524354963424514e-08,2.2165754579028807e-08
2016,3.583418406449823e-08,2.4648946134187e-08
2017,3.597324096937804e-08,2.414986904897276e-08
2018,3.898014755421286e-08,2.065173332344017e-08
2019,2.7295569415830556e-08,3.31628406402551e-08
