year,grand_ADJ âge_NOUN,grand_ADJ age_NOUN,grand_ADJ gage_NOUN
1800,1.4211623238225002e-06,1.8864986905953174e-08,0.0
1801,1.5430063058374799e-06,2.3811825400343878e-08,9.524730337773235e-09
1802,1.937969500431791e-06,2.9091921760482364e-08,0.0
1803,1.3691380900127115e-06,9.751695895232615e-09,3.900678446910888e-09
1804,1.6363653685402824e-06,1.4831105676904599e-08,0.0
1805,1.2935093991472968e-06,5.685755422035754e-09,0.0
1806,1.1814843219326576e-06,8.645007376628655e-09,0.0
1807,1.286823703594564e-06,1.1387820908481672e-08,0.0
1808,1.4661499108115095e-06,9.064295980465431e-09,0.0
1809,1.588098484717193e-06,1.8072244367672852e-08,0.0
1810,1.5819257441762602e-06,3.042164786748458e-08,4.680253518074551e-09
1811,2.4820060389174614e-06,4.011322829455821e-08,0.0
1812,1.8590441186461248e-06,2.6672082764633842e-08,0.0
1813,2.018770601353026e-06,1.7254449868886468e-08,0.0
1814,1.4946716646591085e-06,3.1466770522570187e-08,3.1466772298927026e-08
1815,1.6587924847044633e-06,1.0788894222457657e-08,0.0
1816,1.2538237115222728e-06,1.622322720606917e-08,0.0
1817,1.5101671806405648e-06,6.22749374290521e-09,5.60474440192138e-08
1818,1.7989057141676312e-06,8.34482416500748e-09,1.7881765401739358e-08
1819,1.6540977867407491e-06,1.035105001712111e-08,0.0
1820,1.4109245967119932e-06,1.5426425470366212e-08,0.0
1821,1.945671556313755e-06,6.903041582795311e-09,9.86148829262845e-10
1822,1.552967887619161e-06,1.1028177482330648e-08,3.0076847679083585e-09
1823,1.9498540950735332e-06,1.087095569118901e-08,0.0
1824,1.71874910392944e-06,1.0105335235266466e-08,5.052667617633233e-09
1825,1.457300868423772e-06,1.4088708422121954e-08,1.7610886082763955e-09
1826,1.4700525525768171e-06,1.0569581210262413e-08,0.0
1827,1.4120862488198327e-06,1.474763688946723e-08,2.3964910056406552e-08
1828,1.3831830756316776e-06,1.4675681558884435e-08,0.0
1829,1.3331289210327668e-06,1.2859763920403111e-08,1.0287811491593857e-08
1830,1.4288028751252568e-06,7.30578508800761e-09,5.218417697960831e-09
1831,9.385906309944403e-07,7.795602829929749e-09,1.091384405071949e-08
1832,1.2001082723145373e-06,8.117981842303834e-09,9.470978667991403e-09
1833,1.2394482382660499e-06,3.8225973497674204e-08,2.3167257001688313e-09
1834,1.3068342923361342e-06,6.534171870242744e-09,5.600718555598405e-09
1835,1.3991713103678194e-06,2.3445572594482655e-08,2.117664621437143e-08
1836,1.3885069165553432e-06,1.2769425516978572e-08,7.392825018825988e-09
1837,1.2350255929050036e-06,1.1132625044041333e-08,1.0436836284100082e-08
1838,1.3691079630007152e-06,1.3886755745318169e-08,8.2058102535143e-09
1839,1.547213400954206e-06,1.6080393017148253e-08,4.194885327990505e-09
1840,1.4663023648608942e-06,2.1019971707669782e-08,2.6115722917552375e-08
1841,1.5062606735227746e-06,1.219904222082846e-08,7.0626033910059505e-09
1842,1.6790787640275084e-06,2.2808100297311285e-08,2.683306021822318e-09
1843,1.5245738040903234e-06,1.4767277733973572e-08,7.678984559333912e-09
