year,tout_DET âge_NOUN,tout_DET age_NOUN,tout_DET gage_NOUN
1800,2.788873871395481e-06,3.772997381190635e-08,3.144164484325529e-09
1801,2.9764782993879635e-06,1.6668277424969347e-08,0.0
1802,2.7503056116984226e-06,1.3427040812530322e-08,0.0
1803,2.6875675303017488e-06,2.5354410126965377e-08,0.0
1804,2.3754487301630434e-06,2.2246659181490713e-08,4.943701892301533e-09
1805,4.818677552975714e-06,2.842877666608956e-08,2.2743021688143017e-08
1806,2.7202956971450476e-06,2.305335300434308e-08,0.0
1807,2.5366371119162068e-06,1.99286853685976e-08,0.0
1808,2.5991869279096136e-06,1.8128591960930862e-08,0.0
1809,2.8802639917557826e-06,3.388545843918678e-08,1.129515236897305e-08
1810,2.5811598334257724e-06,2.106114083133548e-08,9.360507036149102e-09
1811,2.461949407006614e-06,2.757784356433035e-08,0.0
1812,2.4805035536701325e-06,8.00162469616339e-09,2.1337665856435706e-08
1813,2.222948296548566e-06,2.8757416226099508e-08,5.751483289628823e-09
1814,2.7376090656616725e-06,9.440030979135372e-09,0.0
1815,2.6648567654774524e-06,1.3486118000116676e-08,2.697223555614414e-09
1816,1.944469659065362e-06,1.622322720606917e-08,0.0
1817,2.333753172933939e-06,1.401186056071424e-08,4.670620334934483e-09
1818,2.17680690184352e-06,1.5497530370112145e-08,1.6689648107970356e-08
1819,2.2948277091927594e-06,7.2457350119847774e-09,2.2772310259711048e-08
1820,2.2593781068280805e-06,1.3053129244156025e-08,0.0
1821,2.513693289074581e-06,7.889190412058156e-09,2.5639868894700157e-08
1822,2.375068334004027e-06,6.015369535816717e-09,4.010246357211145e-09
1823,2.275982751598349e-06,6.917880934764753e-09,9.882686669016039e-09
1824,2.0741199477924965e-06,1.0947446504872005e-08,1.431589158329416e-08
1825,2.8406359433574835e-06,1.6730341556581152e-08,1.0566531649658373e-08
1826,2.1887840375711676e-06,8.807984452907647e-09,0.0
1827,2.0619040697056334e-06,7.373818333711313e-09,1.8434546111834038e-09
1828,2.1967662178212777e-06,1.83446022261613e-08,4.586150570418113e-09
1829,2.2050207917345688e-06,6.858540846366168e-09,7.715858174606183e-09
1830,2.1760802155768033e-06,1.2524203008013046e-08,4.174734336004349e-09
1831,1.8101389969160664e-06,7.795602829929749e-09,1.5591206103948707e-09
1832,2.168854052797542e-06,1.352996958914332e-08,2.705993873419743e-09
1833,2.4163448415492894e-06,3.9384337569003947e-08,3.1275796175123105e-08
