year,tout_DET an_NOUN
1800,9.432493186523061e-08
1801,9.048494087338099e-08
1802,8.056224487518193e-08
1803,6.241085537261881e-08
1804,6.426812215742927e-08
1805,8.528633421711618e-08
1806,7.20417272503937e-08
1807,6.832692633906845e-08
1808,8.38447360429484e-08
1809,7.454800399209205e-08
1810,8.658468830802235e-08
1811,7.521230127593981e-08
1812,5.601137331723294e-08
1813,9.489947139229571e-08
1814,1.0069367162302001e-07
1815,1.4565007488975823e-07
1816,9.270415723960923e-08
1817,8.874178414330913e-08
1818,6.795070950360582e-08
1819,8.073819235399071e-08
1820,7.119888678630559e-08
1821,6.804427155060466e-08
1822,7.920236555492011e-08
1823,6.324919477052049e-08
1824,8.757956937444078e-08
1825,7.660735379388939e-08
1826,5.989429308073113e-08
1827,6.359918347520477e-08
1828,7.246118116643885e-08
1829,5.486832571621747e-08
1830,7.827626746781391e-08
1831,9.510636012066698e-08
1832,6.359085902296613e-08
1833,6.023486687212198e-08
1834,8.961149400299462e-08
1835,6.277362984974388e-08
1836,4.838940070861497e-08
1837,5.21841809764112e-08
1838,5.807189129569679e-08
1839,7.90036712716713e-08
1840,5.5416291111498595e-08
1841,6.292137655350416e-08
1842,7.043678440510348e-08
1843,5.1390125543893106e-08
1844,5.982531986470363e-08
1845,5.915041817461386e-08
1846,6.908311478426299e-08
1847,5.123562374365065e-08
1848,5.712107536970379e-08
1849,5.614207854165443e-08
1850,6.11009625117731e-08
1851,6.191461188187475e-08
1852,5.5990692304774825e-08
1853,6.270528363216954e-08
1854,5.3515345765919875e-08
1855,6.102977678779098e-08
1856,6.782117567549761e-08
1857,5.9554409848061596e-08
1858,4.4532450116374633e-08
1859,5.0412515051334594e-08
1860,3.936378267788143e-08
1861,5.1404003997834735e-08
1862,4.337266945597662e-08
1863,5.4940829219418674e-08
1864,6.185199019625998e-08
1865,5.601144886790976e-08
1866,6.033360056001413e-08
1867,6.98804871746006e-08
1868,5.532659119733552e-08
1869,5.07885999923019e-08
1870,6.020751142088443e-08
1871,4.991953250765846e-08
1872,5.6844988272075625e-08
1873,5.207823960962088e-08
1874,5.19790986919233e-08
1875,4.520006324781889e-08
1876,3.990369745743294e-08
1877,4.514915652453766e-08
1878,5.857915974516459e-08
1879,4.5209007426549874e-08
1880,6.032775390352185e-08
1881,6.066081525979428e-08
1882,5.856738805043449e-08
1883,6.066565516604783e-08
1884,5.941527181363426e-08
1885,7.154655756735906e-08
1886,8.583107158344205e-08
1887,8.161155617969484e-08
1888,6.086990267384351e-08
1889,4.1976415232625186e-08
1890,5.702316308031641e-08
1891,5.418087090092172e-08
1892,5.202865427378356e-08
1893,4.434059919233846e-08
1894,4.537108289071057e-08
1895,5.597311303340291e-08
1896,4.00997970384509e-08
1897,5.127507751723215e-08
1898,5.884688925039683e-08
1899,4.532614283903058e-08
1900,5.1391426669766815e-08
1901,5.365189231776313e-08
1902,4.4192553616539954e-08
1903,5.8322378038155875e-08
1904,7.524475087450355e-08
1905,5.47040444054403e-08
1906,5.4013936157115694e-08
1907,5.965698218757254e-08
1908,5.598983587873363e-08
1909,5.115914536446553e-08
1910,5.451033668890659e-08
1911,4.9479480068725934e-08
1912,5.7303632061689314e-08
1913,4.719660712249052e-08
1914,5.960101834290299e-08
1915,6.008188702111283e-08
1916,4.394984731703744e-08
1917,5.154219528957782e-08
1918,5.628324206696789e-08
1919,6.077179848240633e-08
1920,5.3762846174976175e-08
1921,6.66401783200321e-08
1922,5.164554894854234e-08
1923,8.386599104071024e-08
1924,8.89522118185937e-08
1925,1.0888196300129493e-07
1926,7.133528434621894e-08
1927,7.469980900509654e-08
1928,9.9406560316595e-08
1929,8.689517105864297e-08
1930,8.192810962981412e-08
1931,6.38699964028433e-08
1932,6.356531168094648e-08
1933,6.42357074198685e-08
1934,5.990790086229936e-08
1935,5.0266792506192814e-08
1936,6.426098586587159e-08
1937,4.5328025333191135e-08
1938,4.797129227185337e-08
1939,4.894096239382861e-08
1940,5.0715657451405605e-08
1941,4.7224043342453115e-08
1942,5.158160010232393e-08
1943,4.935499942071431e-08
1944,4.498460803858961e-08
1945,6.7533628023142e-08
1946,5.150808668474838e-08
1947,6.079644165879472e-08
1948,5.87081931957556e-08
1949,6.970075883128146e-08
1950,7.338399132805762e-08
1951,4.904244743642039e-08
1952,5.061505825576518e-08
1953,4.632745842503283e-08
1954,4.202190417856855e-08
1955,5.5375088070519496e-08
1956,4.8838391997207964e-08
1957,4.417518734145531e-08
1958,3.722509600567747e-08
1959,4.1854038901334434e-08
1960,3.668041603788197e-08
1961,3.7520061002549454e-08
1962,3.9320131595133034e-08
1963,3.233026713012066e-08
1964,4.3804573079953e-08
1965,3.5021076982832966e-08
1966,2.6587559043278475e-08
1967,4.7824256055317704e-08
1968,3.27873352912178e-08
