year,présentant_VERB en_ADP
1800,1.28910740304633e-07
1801,1.2382149350287364e-07
1802,6.937304419807333e-08
1803,9.946730017418304e-08
1804,2.2246657849223084e-08
1805,9.950071699904584e-08
1806,1.1238509323163726e-07
1807,1.537355700520493e-07
1808,3.6257183921861724e-08
1809,9.03612189517844e-08
1810,7.020380365929668e-08
1811,6.769107407933461e-08
1812,9.601949813031752e-08
1813,1.35159851311073e-07
1814,1.1328037885505182e-07
1815,2.1308066777692147e-07
1816,2.9897091380348684e-07
1817,1.5101672734552096e-07
1818,9.536941547594324e-08
1819,1.4077427934466868e-07
1820,1.1866481131050932e-07
1821,8.776724769177235e-08
1822,1.45371430448904e-07
1823,1.8875932217277125e-07
1824,1.7010647646031885e-07
1825,1.681839592038159e-07
1826,1.8849086813599314e-07
1827,1.8711064520005039e-07
1828,1.9628724601261638e-07
1829,1.5517449014623708e-07
1830,1.534214817411339e-07
1831,1.091384405071949e-07
1832,2.53010436712664e-07
1833,2.247223953588673e-07
1834,1.9509170101628115e-07
1835,1.7470732416313695e-07
1836,1.9624590769096173e-07
1837,2.748366796367918e-07
1838,1.7926539896961913e-07
1839,2.3071868326951517e-07
1840,1.3949617994057917e-07
1841,2.260033027390307e-07
1842,1.6234001520842867e-07
1843,2.4100196971410526e-07
1844,2.2118902098799964e-07
1845,2.0702645608938752e-07
1846,1.7914774730343197e-07
1847,1.8606621665639977e-07
1848,1.8423557435198745e-07
1849,2.664654061845795e-07
1850,1.5954140053509036e-07
1851,2.27665182706005e-07
1852,2.141969446256553e-07
1853,3.648850395165937e-07
1854,2.795267448618688e-07
1855,2.669389438381131e-07
1856,2.091584434538163e-07
1857,2.518858650546463e-07
1858,1.7225740123194555e-07
1859,2.91272328922787e-07
1860,2.430484755677753e-07
1861,2.527756534087544e-07
1862,2.5391082658643427e-07
1863,3.1166434055762693e-07
1864,2.3350325761839485e-07
1865,2.3204743332394528e-07
1866,2.6566246447146113e-07
1867,2.892275663413102e-07
1868,2.815728237237636e-07
1869,2.3587396924540371e-07
1870,2.3681621863502755e-07
1871,2.8146121011651815e-07
1872,3.3018472667123433e-07
1873,3.3761065088011577e-07
1874,3.8954451042627625e-07
1875,3.089624556196213e-07
1876,3.8331732876706326e-07
1877,4.694275300698436e-07
1878,4.0643067222845275e-07
1879,4.814148313325717e-07
1880,3.600411664361758e-07
1881,4.3020371720547956e-07
1882,3.95995401580862e-07
1883,3.6273005427078786e-07
1884,3.8817978520455654e-07
1885,3.532208304735107e-07
1886,3.884985346758185e-07
1887,3.2644624070599093e-07
1888,3.081538657578875e-07
1889,3.546067262050201e-07
1890,3.4738247328691685e-07
1891,4.168739818899425e-07
1892,4.870634029430221e-07
1893,4.1569310843536655e-07
1894,4.278745149299823e-07
1895,3.707466476043919e-07
1896,4.3638013380586926e-07
1897,3.7116166140549467e-07
1898,3.7345142800404574e-07
1899,3.0291129959891805e-07
1900,3.690838803471763e-07
1901,3.688567744575266e-07
1902,6.756550754438706e-07
1903,3.3427364587446107e-07
1904,3.6816182280574594e-07
1905,4.892399667610903e-07
1906,3.832417405646993e-07
1907,3.4405621418542864e-07
1908,3.914377089131449e-07
1909,4.0542247425889855e-07
1910,4.841800338439839e-07
1911,3.1603022421222704e-07
1912,3.6518042634270387e-07
1913,3.754516626486293e-07
1914,3.194346867019249e-07
1915,4.040801363514035e-07
1916,3.966473798300285e-07
1917,4.1343420775774575e-07
1918,2.504029907868244e-07
1919,3.4805667925574824e-07
1920,2.9834592396582593e-07
1921,3.8090919929345546e-07
1922,4.079998291994791e-07
1923,3.206016288004321e-07
1924,2.887723764555261e-07
1925,3.277457039096987e-07
1926,2.8422652997850406e-07
1927,3.6011996940032986e-07
1928,3.656333154022917e-07
1929,3.097032907906083e-07
1930,3.15108110271467e-07
1931,3.4786336478020985e-07
1932,3.6056874819223594e-07
1933,3.659141272205346e-07
1934,4.2414793810507945e-07
1935,3.626390228106402e-07
1936,3.734411961886508e-07
1937,3.336646176022029e-07
1938,3.020894977501243e-07
1939,3.012927853873748e-07
1940,2.637214322476211e-07
1941,6.02106524638657e-07
1942,3.489343498586095e-07
1943,4.470982171156379e-07
1944,2.731208326167689e-07
