year,voudraient_VERB avoir_VERB,voudraient_VERB savoir_VERB
1800,4.4018303668735825e-08,6.288328968651058e-09
1801,3.333655484993869e-08,1.4287095950749062e-08
1802,6.265952379180817e-08,2.4616241489638924e-08
1803,2.145373123596528e-08,5.851017448321727e-09
1804,6.673997887673977e-08,0.0
1805,1.9900143755080535e-08,0.0
1806,3.1698359492793315e-08,0.0
1807,4.555128185756985e-08,1.4234775136401367e-08
1808,4.305540457494317e-08,0.0
1809,2.710836710662079e-08,0.0
1810,7.020380365929668e-08,2.3401266702194334e-08
1811,3.5099073869560016e-08,4.011322829455821e-08
1812,6.401299401659344e-08,2.6672082320544632e-09
1813,1.3803560250380542e-07,0.0
1814,6.922689976818219e-08,9.440030979135372e-09
1815,3.236668177919455e-08,1.6183340889597275e-08
1816,4.1716869958463576e-08,4.6352077731626196e-09
1817,6.694555310104988e-08,0.0
1818,1.0490636270787945e-07,9.536941902865692e-09
1819,1.4594981223581271e-07,6.210630232317271e-09
1820,1.1035827185423841e-07,1.4239777357261119e-08
1821,8.382264837791809e-08,3.155676253641104e-08
1822,1.1028177482330648e-07,1.1028177482330648e-08
1823,9.586206317635515e-08,6.917880934764753e-09
1824,7.494790565942822e-08,3.9579230559638745e-08
1825,8.541280038798504e-08,1.7610886082763955e-09
1826,1.0569581121444571e-07,1.8496766784892316e-08
1827,9.8624823863247e-08,1.935627302884768e-08
1828,6.053718948351161e-08,1.4675682002973645e-08
1829,6.77280880267972e-08,2.571952872898464e-09
1830,1.3359149875213916e-07,2.922314124020886e-08
1831,7.639690835503643e-08,2.6505050598757407e-08
1832,3.92369123858316e-08,6.764984572527055e-09
1833,1.042526562855528e-07,1.0425265983826648e-08
1834,8.214387037241977e-08,1.9602515166639023e-08
1835,9.453859917130103e-08,1.739510224751939e-08
1836,1.1761312634916976e-07,1.68018754465038e-08
1837,8.766942727334026e-08,2.1569462660409044e-08
1838,1.1866864468856875e-07,2.3354999711955315e-08
1839,9.997809513606626e-08,1.1885507689157748e-08
1840,8.599079848181646e-08,1.52872523528913e-08
1841,6.22793194793303e-08,1.6693427085101575e-08
1842,7.177843741601464e-08,2.4820581145945653e-08
1843,7.619915010081968e-08,2.2446261738195972e-08
1844,1.0647809034480815e-07,2.195424464446205e-08
1845,7.310098482093963e-08,2.511102614732863e-08
1846,1.200172761173235e-07,1.5221703009160592e-08
1847,1.294373674909366e-07,1.7258315665458213e-08
1848,1.2952807537658373e-07,1.930853166243196e-08
1849,9.049767868418712e-08,7.54147322368226e-09
1850,9.300924830313306e-08,1.2899092460827433e-08
1851,1.077056239751073e-07,1.2253933867611977e-08
1852,8.854341615460726e-08,2.3437962681782665e-08
1853,1.0450880694179432e-07,8.957897534855874e-09
1854,8.416976271519161e-08,2.6497888327980945e-08
1855,9.552486801567284e-08,2.4411910715116392e-08
1856,9.318940641378504e-08,1.8120163147727908e-08
1857,1.1666806898347204e-07,2.5383847912507917e-08
1858,9.493731312204545e-08,2.300027723833864e-08
1859,1.1406468303221118e-07,1.6804172275897145e-08
1860,1.1351416162597161e-07,1.2816115280145368e-08
1861,1.1837069280318246e-07,2.4051415081771665e-08
1862,1.18371239921089e-07,1.490935552794781e-08
1863,1.0288918872447539e-07,1.7980635647063536e-08
1864,9.829192038068868e-08,2.6371003158942585e-08
1865,1.0119715199152779e-07,1.97687466396701e-08
1866,1.0315099530089356e-07,1.0704348518686402e-08
1867,9.123285593659602e-08,9.7056229719783e-09
1868,9.188165961404593e-08,9.87974857480367e-09
1869,7.715960492760132e-08,1.660396442559886e-08
1870,9.919904186972417e-08,1.834895613228582e-08
1871,1.0621177182201791e-07,6.37270636261178e-09
1872,9.071008832961525e-08,1.9956219787786722e-08
1873,9.817047441629256e-08,1.0774807712721213e-08
1874,8.48394492436455e-08,9.559374625212058e-09
1875,8.467860368455149e-08,9.7265964171811e-09
1876,8.464420631071334e-08,1.5115036333668286e-08
1877,8.34950171224591e-08,2.8450154232473324e-08
1878,6.522216011717319e-08,3.0799352401800206e-08
1879,1.0813505468831863e-07,2.1382637882538802e-08
1880,1.01401973040538e-07,2.3746030919369332e-08
1881,9.133984946174678e-08,3.346803723047742e-08
1882,5.989846840748214e-08,4.326000180299161e-08
1883,8.783881355611811e-08,2.0853818227806187e-08
1884,1.023263038746336e-07,1.5183903911974994e-08
1885,6.832373600218489e-08,2.513797880965285e-08
1886,7.7441569601433e-08,1.871504551331782e-08
1887,7.704131377295198e-08,2.6768590899450828e-08
1888,7.101488108673948e-08,3.1703073943845084e-08
1889,6.390439466485986e-08,3.00726554769426e-08
1890,8.32407067719032e-08,3.0150179242127706e-08
1891,6.756673087693343e-08,1.2748440525456317e-08
1892,5.328235630486233e-08,2.820830502514582e-08
1893,7.390099909798664e-08,2.4017824173938607e-08
1894,8.759139547009909e-08,2.0164925729204697e-08
1895,6.921406736637437e-08,1.9861428057765806e-08
1896,8.432751741338507e-08,4.1868904787634165e-08
1897,9.264474698511549e-08,2.2141511735185304e-08
1898,7.808530000374958e-08,2.4896761985360172e-08
1899,5.969784666604028e-08,2.7085134135518274e-08
1900,7.994221817853031e-08,8.824790675987515e-09
1901,7.488910114261671e-08,1.5648469187112823e-08
1902,6.972602761834423e-08,1.0802624572647801e-08
1903,6.696273402440056e-08,3.6181475593366486e-08
1904,6.987012568515638e-08,1.666133897515465e-08
1905,6.915416861374979e-08,2.4255568220610257e-08
1906,6.327346824264168e-08,1.4403716441790948e-08
1907,8.485691438409049e-08,2.108565766434367e-08
1908,7.51442499336008e-08,3.58531409005991e-08
1909,6.051082124258755e-08,2.2554033307642385e-08
1910,6.62674679574593e-08,1.7635697346918278e-08
1911,7.554931613640292e-08,1.755723388896513e-08
1912,7.50156630147103e-08,2.135862686714063e-08
1913,6.363587345958877e-08,1.4318072061314524e-08
1914,6.227971738326232e-08,2.0090231700464756e-08
1915,7.657494904833584e-08,6.008188790929125e-08
1916,8.020847275247434e-08,3.186363883855847e-08
1917,1.0198774447189862e-07,2.9609346086090227e-08
1918,1.1486376649827434e-07,3.5607765624945387e-08
1919,5.064316610514652e-08,2.8544329566670967e-08
1920,7.950843183834877e-08,3.256059599721084e-08
1921,5.300923078266351e-08,2.574734203619755e-08
1922,7.451714623130101e-08,8.853522359686394e-09
1923,7.006525493125082e-08,3.3971033985835675e-08
1924,5.0277336072213075e-08,4.2542360745301266e-08
1925,5.27912540349007e-08,2.4195990988573612e-08
1926,4.2355324580967135e-08,1.89484357093761e-08
1927,7.135503921062991e-08,1.6723836537835268e-08
1928,6.741364444451392e-08,3.884854038460617e-08
1929,8.021092412491271e-08,3.342121956961819e-08
1930,5.566909777598994e-08,1.8906487042613662e-08
1931,6.729160162421977e-08,2.0529641986399838e-08
1932,6.24693612394367e-08,1.53433514782364e-08
1933,6.652984296806608e-08,2.064719240024715e-08
1934,4.073737258636356e-08,2.516131836216573e-08
1935,6.582556011380802e-08,2.6330225111337313e-08
1936,4.364897421282876e-08,1.9399543305098632e-08
1937,6.673292318737367e-08,2.5182236740306507e-08
1938,4.6674770715071645e-08,9.075650453382877e-09
1939,5.8117393564316444e-08,3.364691281149135e-08
1940,4.564409294971483e-08,1.2678914806940611e-08
1941,1.2986610897769424e-07,1.1806010391524069e-08
1942,7.888950648293758e-08,6.068423541449874e-09
1943,8.419382169222445e-08,1.7419411690866582e-08
1944,6.42637232317611e-08,9.639558484764166e-09
1945,8.931866801731303e-08,2.6142048525912287e-08
1946,5.568441707737293e-08,3.7586982415405146e-08
1947,6.07964452115084e-08,1.4305045148432782e-08
1948,4.4574740343250596e-08,3.152847583010043e-08
1949,6.577395339490977e-08,1.9634017078828947e-08
1950,3.296961992305114e-08,1.2762433776458693e-08
1951,7.036525317971609e-08,7.462981344019681e-09
1952,4.428817490520487e-08,1.2653764258629963e-08
1953,4.955960619668076e-08,1.4005975934594517e-08
1954,6.058972701339371e-08,2.7363100230104465e-08
1955,3.848099083825218e-08,2.1586897602787758e-08
1956,6.366433069615596e-08,1.744228228517386e-08
1957,3.268964121616591e-08,2.2087593976038988e-08
1958,5.21151335419745e-08,3.060729980575161e-08
1959,4.2629114460623896e-08,2.015194411342236e-08
1960,5.329041741219953e-08,3.668041514970355e-08
1961,4.029932298976746e-08,2.153929301584867e-08
1962,4.693047728210331e-08,2.219684702708946e-08
1963,6.72469511187046e-08,2.4571003010009917e-08
1964,6.449006662023749e-08,2.9203047091641565e-08
1965,6.238129657276659e-08,2.9001830270658502e-08
1966,4.265087483190655e-08,1.6617224929404983e-08
1967,5.521975765532261e-08,2.5637744371920235e-08
1968,5.5244413488253485e-08,2.4253646202510026e-08
1969,4.9050985495568966e-08,2.2254612375149918e-08
1970,5.472482911272891e-08,2.7592349738370103e-08
1971,5.138397440873632e-08,2.3122789016838396e-08
1972,3.231992451446786e-08,2.257264597460562e-08
1973,5.017015425323734e-08,2.205281468548037e-08
1974,5.006758740933037e-08,3.206575982517279e-08
1975,3.3126585918807905e-08,2.1703623787061588e-08
1976,4.913633233627479e-08,2.3425460682346966e-08
1977,5.406639402849578e-08,2.1744092748576804e-08
1978,4.871284886576177e-08,2.0198010375338527e-08
1979,5.734933949952392e-08,1.287434159280565e-08
1980,4.207011627954671e-08,2.5014662341504845e-08
1981,4.8706731092806876e-08,1.771153890217647e-08
1982,4.903926864585628e-08,1.5518756057986138e-08
1983,5.052253015946917e-08,1.6419821946556112e-08
1984,3.189454744756404e-08,1.739702604197646e-08
