year,fuyant_VERB en_ADP
1800,5.345079756580162e-08
1801,5.476719877606229e-08
1802,9.175144555229053e-08
1803,6.046051481689574e-08
1804,2.4718509905596875e-08
1805,4.264316544322355e-08
1806,1.152667650217154e-08
1807,2.562259648897225e-08
1808,9.970725756147658e-08
1809,9.487928309681593e-08
1810,4.212228166267096e-08
1811,6.518399686683551e-08
1812,1.5469807124190993e-07
1813,8.052076805320496e-08
1814,8.496028414128887e-08
1815,1.0249449644561537e-07
1816,9.270415546325239e-08
1817,1.214361304846534e-07
1818,1.263644833215949e-07
1819,7.038713845108902e-08
1820,9.018525481963025e-08
1821,9.664258804331638e-08
1822,8.321261191213125e-08
1823,1.3341627891350072e-07
1824,1.2042190622452154e-07
1825,9.862096272961196e-08
1826,1.0569581121444571e-07
1827,5.438191053031005e-08
1828,5.319934714975716e-08
1829,5.3153691226270894e-08
1830,6.783943584665053e-08
1831,4.053713453799901e-08
1832,7.441482807735156e-08
1833,5.3284690437749305e-08
1834,7.28093425550469e-08
1835,7.487457054367042e-08
1836,1.0753200285762432e-07
1837,1.0436836106464398e-07
1838,1.0730675370496101e-07
1839,9.22874718867206e-08
1840,7.006657226638069e-08
1841,7.640452537316378e-08
1842,8.519496930148307e-08
1843,6.615740599791309e-08
1844,8.232841963717874e-08
1845,5.524425716885162e-08
1846,9.133022160767723e-08
1847,6.202207458727571e-08
1848,8.447483018647617e-08
1849,1.2150151462719805e-07
1850,1.2763312717822828e-07
1851,6.578427536041431e-08
1852,7.617337871579366e-08
1853,1.0331442013011838e-07
1854,7.585670003251721e-08
1855,7.535851054285558e-08
1856,6.471486813097727e-08
1857,6.736482305313984e-08
1858,9.444794946134039e-08
1859,1.0744485479108334e-07
1860,8.422018379916629e-08
1861,8.535894124861443e-08
1862,9.71367062341244e-08
1863,8.640694204586907e-08
1864,8.774351822893323e-08
1865,6.91906112404439e-08
1866,8.563478398615487e-08
1867,5.483676801532056e-08
1868,8.150792041305976e-08
1869,6.885761649755295e-08
1870,7.11022067889644e-08
1871,5.735435681941681e-08
1872,5.261185076488317e-08
1873,6.943765046285577e-08
1874,5.37714810455725e-08
1875,5.549881265665135e-08
1876,6.408775865551775e-08
1877,4.886004489890183e-08
1878,1.4493813166316372e-07
1879,6.536978247595471e-08
1880,4.0432430070680425e-08
1881,5.787181223126936e-08
1882,5.723631146814512e-08
1883,7.772786708715174e-08
1884,5.149323811792783e-08
1885,5.5432465728699754e-08
