year,tournant_VERB en_ADP,tournant_VERB sans_ADP
1800,1.0375742798274246e-07,1.760732057931591e-07
1801,2.1192524446433936e-07,7.619784270218588e-08
1802,3.177732992298843e-07,5.370816325012129e-08
1803,1.794312112224361e-07,2.9255089017965474e-08
1804,1.359518080334965e-07,2.22466585153569e-08
1805,2.3311596919484145e-07,1.7910129201936797e-07
1806,1.5849180456939393e-07,1.181484350354367e-07
1807,1.4519470425966574e-07,1.4234775136401367e-08
1808,1.3369836437959748e-07,2.4926814390369145e-08
1809,1.6942729530455836e-07,5.1957702140725814e-08
1810,1.7082924674838296e-07,3.744202725641799e-08
1811,2.2312983105621242e-07,3.259199843341776e-08
1812,1.9470620316042186e-07,8.535066342574282e-08
1813,3.0770434489291176e-07,9.777521370324394e-08
1814,1.8880061958270744e-07,7.86669280827823e-08
1815,1.9689731800554e-07,7.282503844407984e-08
1816,1.1819779643928996e-07,3.7081662185300956e-08
1817,1.6658545654024692e-07,3.89218364205135e-08
1818,1.3828565670337412e-07,7.510341504257667e-08
1819,2.090912039065529e-07,5.382546020005208e-08
1820,1.3646453567162098e-07,4.865257352548724e-08
1821,1.203101569480225e-07,3.648750634965836e-08
1822,2.1254305693219067e-07,4.110502516141423e-08
1823,1.6108779599122158e-07,5.1389973609872186e-08
1824,2.4926493846777475e-07,5.4737231636181605e-08
1825,2.8881851776851875e-07,8.541279750140518e-08
1826,2.0170284376064274e-07,5.813269732257709e-08
1827,1.9724964417378033e-07,3.226045686144374e-08
1828,1.6693588611449428e-07,5.228211819030548e-08
1829,1.2259642351297728e-07,3.6007340942223465e-08
1830,1.5446516954398248e-07,6.679574804380195e-08
1831,2.0580392590119345e-07,1.2784788339104125e-07
1832,2.1242051240211168e-07,6.3590853471851e-08
1833,1.9228822623063024e-07,9.614411422553815e-08
1834,2.7443522188086433e-07,5.0406466556296436e-08
1835,1.331103547386192e-07,4.386591001548368e-08
1836,1.7809987795658344e-07,5.712637474175608e-08
1837,1.9412516127914614e-07,6.470838520566957e-08
1838,1.4454851182676975e-07,3.850418650586107e-08
1839,1.670962537225762e-07,4.1249704541002075e-08
1840,1.6370099720219855e-07,4.968357103507515e-08
1841,1.6179782846847957e-07,6.035315891494974e-08
1842,1.9923547212030712e-07,4.628702976461341e-08
1843,2.0910464604284584e-07,4.1939068662344425e-08
1844,1.5752170989813408e-07,3.567564921258537e-08
1845,1.8024135650662743e-07,3.1807299905040054e-08
1846,1.5338793701857867e-07,3.571245699163228e-08
1847,1.8768418552639332e-07,6.579733025091627e-08
1848,1.4642303369782894e-07,4.263967667839097e-08
1849,1.508294644736452e-07,4.273501730267526e-08
1850,1.8533959611488626e-07,4.0055077477063605e-08
1851,1.9025844100184486e-07,3.353708066811123e-08
1852,2.1419694307134307e-07,2.3437962681782665e-08
1853,2.7709764371941503e-07,5.315019158125267e-08
1854,1.834069603967592e-07,3.792835168159314e-08
1855,1.9211112345374204e-07,4.5108965451845506e-08
1856,1.791307543963505e-07,4.141751475117417e-08
1857,2.4212286153790785e-07,4.7350639909016223e-08
1858,2.3293897821741183e-07,4.4043083624600854e-08
