year,considérant_VERB en_ADP
1800,3.1127228794503026e-07
1801,1.0239085135310688e-07
1802,1.857407312400028e-07
1803,1.3652374875050555e-07
1804,1.6314216111368296e-07
1805,1.2224374401625937e-07
1806,2.1036184705280903e-07
1807,2.761546511464985e-07
1808,2.447359861434961e-07
1809,1.7620438086396462e-07
1810,1.5210823534062e-07
1811,2.080873748866452e-07
1812,2.160438654641439e-07
1813,1.2653262970729884e-07
1814,1.2272041161054403e-07
1815,2.0498899644394442e-07
1816,2.0163153280350343e-07
1817,1.385617380833537e-07
1818,1.5497530370112145e-07
1819,8.384350635992632e-08
1820,1.756239207395538e-07
1821,1.1932400667546972e-07
1822,2.4362246620057704e-07
1823,2.609029294831089e-07
1824,1.406325829123034e-07
1825,1.4352872135248163e-07
1826,3.091602422955475e-07
1827,1.852671864810418e-07
1828,1.6693587667759857e-07
1829,2.0232695163713288e-07
1830,2.0351829732589977e-07
1831,2.307498476739056e-07
1832,2.0700853298194488e-07
1833,1.34370090165703e-07
1834,2.2869600257990896e-07
1835,1.9512766158413797e-07
1836,2.217847487884228e-07
1837,2.943187809023584e-07
1838,1.7610931735134727e-07
1839,1.7129114127101275e-07
1840,2.4650694996353195e-07
1841,2.895667314817274e-07
1842,1.8447728677983832e-07
1843,1.5948660347930854e-07
1844,1.778293849952206e-07
1845,1.8582158389790493e-07
1846,1.797331847797068e-07
1847,2.0871775063824316e-07
1848,1.64927048018626e-07
1849,1.675882970175735e-07
1850,1.8058729267522722e-07
1851,1.5930114116713412e-07
1852,1.6666995961145403e-07
1853,1.6004776526301612e-07
1854,1.6989822526625176e-07
1855,1.390417523339238e-07
1856,1.8223706277353813e-07
1857,1.6353055443119047e-07
1858,1.3261862008562275e-07
1859,1.731338947763561e-07
1860,1.894954166914431e-07
1861,1.5704159395113493e-07
1862,1.7123168305488434e-07
1863,1.238665987557397e-07
1864,1.4144447391117865e-07
1865,1.468535479887123e-07
1866,1.576458572571937e-07
1867,1.4461378583519036e-07
1868,1.5264210873056072e-07
1869,9.815873625029781e-08
1870,1.5481931825434003e-07
1871,2.5172190021294227e-07
1872,2.1830894780805465e-07
1873,1.9095354986120583e-07
1874,2.2823007128636164e-07
1875,8.353429414853508e-08
1876,1.765436259404396e-07
1877,2.8140912888829916e-07
1878,1.624514851528147e-07
1879,1.570096586078762e-07
1880,2.624899195780017e-07
1881,2.0568896985651008e-07
1882,1.6239139455365148e-07
1883,1.522960673128182e-07
1884,1.9408989260227827e-07
1885,1.688756512407963e-07
1886,1.310053221459384e-07
1887,1.5081815973871926e-07
1888,1.7056253653890963e-07
1889,1.8983364213909226e-07
1890,1.612379065818459e-07
1891,2.0907442177531266e-07
1892,1.8116000433110457e-07
1893,1.6258219659448514e-07
1894,2.211840239851881e-07
1895,1.649100411782456e-07
1896,2.093445274908845e-07
1897,2.138403942808509e-07
1898,2.3595340081783434e-07
1899,2.3160552586887206e-07
1900,1.7338117430654165e-07
1901,1.8331063955656646e-07
1902,1.5909319728280025e-07
1903,1.6686680481825533e-07
1904,2.3325873144131037e-07
1905,1.9352847147047214e-07
1906,1.5123902130653732e-07
1907,2.2217082573661173e-07
1908,1.517619239166379e-07
1909,1.7823186126975088e-07
1910,1.6085893861372824e-07
1911,1.6280344539154612e-07
1912,2.4223809447221356e-07
1913,2.0999839023261302e-07
1914,1.9554492070028573e-07
1915,2.4268369003266343e-07
1916,2.0216929641492243e-07
1917,1.6120644019679276e-07
1918,3.0438897624662786e-07
1919,2.209883547266145e-07
1920,2.3322473197140425e-07
1921,2.2339605720844702e-07
1922,1.6969251248610817e-07
1923,2.1975012742814215e-07
1924,1.1731378535273507e-07
1925,9.78837810805544e-08
1926,1.0365908664766721e-07
1927,1.5943391673545193e-07
1928,1.3939769871740282e-07
1929,1.4705336326414908e-07
1930,1.1869072125136881e-07
1931,8.097803316786667e-08
1932,1.1726704585157677e-07
1933,1.2617728373243153e-07
1934,1.1023053758663082e-07
1935,1.3284795485901668e-07
1936,1.382217433842925e-07
1937,1.611663122957907e-07
1938,1.413208359224427e-07
1939,1.1776418773479236e-07
1940,8.368083825871508e-08
1941,7.67390702094417e-08
1942,1.3350531702371882e-07
1943,1.1322617154974068e-07
1944,1.0924832949399388e-07
1945,6.753362313816069e-08
1946,1.0162406383074085e-07
1947,9.298279834979439e-08
1948,1.0654450122160597e-07
1949,1.825963522605889e-07
1950,1.4251384428121128e-07
1951,1.2580454011867914e-07
1952,1.423548532386576e-07
1953,1.325180782885127e-07
1954,1.1042965653018655e-07
1955,1.33275626978957e-07
1956,1.212238665004861e-07
1957,1.3959359534965188e-07
1958,1.869527039843888e-07
1959,1.511395808506677e-07
1960,1.6886833265061796e-07
1961,1.8551585867498943e-07
1962,2.3655498182506562e-07
1963,2.114399393349231e-07
1964,1.9590378030898137e-07
1965,1.9644635784743514e-07
1966,1.5897144578502775e-07
1967,1.6171500760719937e-07
1968,1.549538453105015e-07
1969,2.26179544426941e-07
1970,2.028037755508194e-07
1971,1.9731446343485004e-07
1972,1.6929485013861267e-07
1973,1.6319083329108253e-07
1974,1.5639089667729422e-07
1975,1.256525656856411e-07
1976,1.2569758922609253e-07
1977,1.3399063192309768e-07
1978,1.770296194081311e-07
1979,1.3108419949503514e-07
1980,1.0688083307286433e-07
1981,1.3220398287216995e-07
1982,1.3408205035148058e-07
1983,1.1999100735238244e-07
1984,1.513541221243031e-07
1985,1.8166985427114923e-07
1986,1.5405827724634946e-07
1987,1.7904693194736865e-07
1988,1.535117775119943e-07
1989,1.66290099912203e-07
1990,1.5964547372959714e-07
1991,1.8170541693507403e-07
1992,1.5538042674734243e-07
1993,2.2932319154733705e-07
1994,2.3737170096183036e-07
1995,2.884743821596203e-07
1996,1.6761609344939643e-07
1997,1.850829249860908e-07
1998,1.4065981090993773e-07
1999,1.5035961808962384e-07
2000,1.4137700432570455e-07
2001,8.893859870795495e-08
2002,1.0471119082922087e-07
2003,1.0542314754502513e-07
2004,9.338157624938503e-08
2005,9.097574249494755e-08
2006,9.67704139043235e-08
2007,7.789235034749709e-08
2008,7.96141215175794e-08
2009,7.629108011997232e-08
2010,6.140930786102672e-08
2011,4.627005889545899e-08
2012,5.5148892563749996e-08
2013,3.988448860070548e-08
2014,4.5041259610911766e-08
2015,5.430609562040445e-08
2016,6.566147980890946e-08
2017,5.6098132361626085e-08
2018,4.7498987854055486e-08
2019,5.459113872063881e-08
