year,comptant_VERB en_ADP,comptant_VERB sans_ADP
1800,1.8864987794131594e-08,2.5153315874604232e-08
1801,8.096020565062645e-08,4.7623651688866175e-09
1802,1.3427040812530322e-08,0.0
1803,1.5602713787643552e-08,1.1702034896643454e-08
1804,9.887403784603066e-09,7.4155526164076946e-09
1805,3.1271653710973624e-08,2.2743021688143017e-08
1806,2.305335300434308e-08,2.881669125542885e-09
1807,3.4163463169534225e-08,1.4234775580490577e-08
1808,9.064295980465431e-09,2.039466551195801e-08
1809,4.51806094758922e-08,2.0331274441787173e-08
1810,3.2761775514700275e-08,1.6380887757350138e-08
1811,3.5099075201827645e-08,0.0
1812,2.9339290108509886e-08,8.00162425207418e-09
1813,5.463909147351842e-08,2.8757416448144113e-09
1814,2.8320094713762956e-08,2.2026739543434815e-08
1815,1.6183340889597275e-08,1.6183340889597275e-08
1816,1.622322720606917e-08,5.0987285504788815e-08
1817,1.0898113522728181e-08,0.0
1818,1.3113294672351117e-08,3.695565098382758e-08
1819,1.9666995698663925e-08,3.105315005136333e-09
1820,9.493184904840746e-09,5.933240565525466e-09
1821,2.070912508145284e-08,1.577838115718322e-08
1822,3.5089655625597516e-08,2.0051231786055723e-08
1823,1.680056804787e-08,1.581229902569703e-08
1824,5.894778887238772e-09,8.421112696055388e-09
1825,1.2327619813845558e-08,5.2832656471935024e-08
1826,1.145037931138404e-08,3.3470339388941284e-08
1827,6.452091128039683e-08,2.949527377893446e-08
1828,2.7516904310687096e-08,2.659967357487858e-08
1829,3.8579290873030914e-08,2.8291481157793896e-08
1830,3.5485243188304594e-08,1.982998831806526e-08
1831,6.392394169552063e-08,2.02685670469549e-08
1832,1.8941957335982806e-08,1.2176972430388844e-08
1833,1.7375443306377747e-08,1.042526565075974e-08
1834,1.9602515166639023e-08,4.667265685043276e-09
1835,2.3445572594482655e-08,1.5126175867408165e-08
1836,2.4194699910218276e-08,1.8146025126952736e-08
1837,2.99189295560609e-08,3.409366655660051e-08
1838,2.4617431870765927e-08,3.597932263232906e-08
1839,3.8453112694014635e-08,2.516931107976461e-08
1840,2.4204817705708592e-08,4.395085007047328e-08
1841,4.8796167106957e-08,3.338685417020315e-08
1842,3.152884486823382e-08,2.5491406319133603e-08
1843,3.071593740466838e-08,1.7130041496393744e-08
1844,1.4819115712327857e-08,2.9089374908863874e-08
1845,3.2923345827384765e-08,2.1204865863211353e-08
1846,3.6883359255668324e-08,2.5174355933188508e-08
1847,5.069630049092666e-08,2.0494249852731627e-08
1848,3.218088551193432e-08,1.769948765328877e-08
1849,6.871120206142223e-08,2.9327951622803994e-08
1850,4.3449574604892405e-08,2.4440385715251978e-08
1851,4.837079004005318e-08,2.7087642573420112e-08
1852,2.408901877970493e-08,1.3672145415810633e-08
1853,2.7470886010405593e-08,2.09017620989016e-08
1854,3.221311928314208e-08,3.013485427860729e-08
