year,maint_DET homme_NOUN
1800,6.288328968651058e-09
1801,2.143064325998978e-08
1802,1.5664880947952042e-08
1803,9.751695895232615e-09
1804,1.2359254730753833e-08
1805,2.2743021688143017e-08
1806,1.4408345627714425e-08
1807,5.693910232196231e-09
1808,5.4385775882792586e-08
1809,1.581321384946932e-08
1810,1.1700633351097167e-08
1811,1.504245972228091e-08
1812,1.3336041160272316e-08
1813,2.8757416448144113e-09
1814,1.0384034965227329e-07
1815,2.697223555614414e-09
1816,1.8540831092650478e-08
1817,7.784367039853635e-09
1818,3.5763532135746345e-09
1819,7.245734900962475e-09
1820,4.50926265216367e-08
1821,2.9584463767662328e-09
1822,1.0025615893027862e-08
1823,2.6683254383819133e-08
1824,1.6421169490854481e-07
1825,2.993850678478793e-08
1826,1.1274219757773096e-07
1827,2.5808365222701468e-08
1828,3.3387176756605186e-07
1829,3.857929264938775e-08
1830,6.262101504006523e-09
1831,1.870944732473845e-08
1832,5.682587200794842e-08
1833,1.853380604543986e-08
1834,1.3068343296396279e-08
1835,8.016873209726327e-08
1836,4.368487616090988e-08
1837,6.609996505702043e-08
1838,3.029837714052519e-08
1839,1.3004143895045672e-07
1840,3.69441957026595e-08
1841,6.420548714913821e-08
1842,1.0733224087289273e-07
1843,4.0757687003178944e-08
1844,2.3051957898090336e-08
1845,3.57134588568897e-08
1846,3.102885770545072e-08
1847,1.0786447290911383e-08
1848,8.045221600028185e-09
1849,3.603148357456121e-08
1850,7.467895635215882e-09
1851,1.4833709149897345e-08
1852,6.640756211595544e-08
1853,3.4637205992282816e-08
1854,1.558699302961486e-08
1855,1.963566731433275e-08
1856,9.62957233952011e-08
1857,3.5635016715218626e-08
1858,4.795802643897673e-08
1859,2.1896345847594034e-08
1860,3.66174699450994e-08
1861,4.6688040988840385e-08
1862,3.343309895598168e-08
1863,2.6471490777169038e-08
1864,2.3014693706358003e-08
1865,1.9298061815220535e-08
1866,6.714545719432863e-08
1867,5.629261501383098e-08
1868,4.248291585184916e-08
1869,5.762552657273545e-08
1870,2.8096839077562663e-08
1871,3.080141297573391e-08
1872,3.9912438687395024e-08
1873,3.412022619997401e-08
1874,1.6728905816165707e-08
1875,4.691652222277298e-08
1876,5.078652343115664e-08
1877,3.030559825312196e-08
1878,5.072834330377418e-08
1879,6.842444388865943e-08
1880,5.7760616734015e-08
1881,2.370652563143949e-08
1882,2.72870797068947e-08
1883,2.08538187829177e-08
1884,3.828984151965642e-08
1885,1.9336907297606842e-08
1886,1.2261581472383654e-08
1887,2.4157021938364664e-08
1888,1.9021843655764314e-08
1889,1.1903759755682586e-08
1890,2.1629475988049762e-08
1891,4.52569608455633e-08
1892,1.8805536683430546e-08
1893,2.155445777418663e-08
1894,1.8274463275957942e-08
1895,2.4074457094513946e-08
1896,2.299841250774648e-08
1897,1.864548271335309e-08
1898,7.921696965063063e-09
1899,3.427098604902312e-08
1900,1.8168685222974545e-08
1901,2.1796081495217834e-08
1902,1.3748794991386148e-08
1903,1.0260418736862675e-08
1904,6.987012746151322e-09
1905,7.741138619010712e-09
1906,7.716276839708769e-09
1907,8.742833790265081e-09
1908,2.701263923654551e-08
1909,1.3202360760189435e-08
1910,2.0842187531400214e-08
1911,1.4365010070349626e-08
1912,1.614920597248215e-08
1913,1.6969567528946072e-08
1914,1.5402510822326576e-08
1915,1.0602685840410686e-08
1916,1.0987462051303964e-08
1917,1.864292187292449e-08
1918,2.2972752589112133e-08
1919,1.4732557507279864e-08
1920,2.0445026116533427e-08
1921,1.0601846733848674e-08
1922,1.2542490601674672e-08
1923,3.6094224498128824e-08
1924,2.3204924093356283e-08
1925,3.079489907520383e-08
1926,1.6719207573956396e-08
1927,2.4528294284564822e-08
1928,1.2568645457733396e-08
1929,1.0026365737658693e-08
1930,1.575540542475551e-08
1931,2.737285598186645e-08
1932,2.520693431762311e-08
1933,1.1470662197865522e-08
1934,2.036868629318178e-08
1935,1.0771455727365264e-08
1936,4.849885826274658e-09
1937,5.0364471260166965e-08
1938,2.9819993030422154e-08
1939,2.2941075705773528e-08
1940,1.0143131845552489e-07
1941,3.8369533328364014e-08
1942,3.6410542136877666e-08
1943,2.0322646232528996e-08
1944,1.927911696952833e-08
1945,1.742803235060819e-08
1946,3.3410652022780596e-08
1947,1.3112957830685446e-08
1948,1.7395020091015567e-08
1949,1.570721330779179e-08
1950,2.1270722960764488e-08
1951,3.3050344683260846e-08
1952,1.5817205989421268e-08
1953,4.30953106533849e-09
1954,1.172704333640695e-08
1955,1.1262728971672686e-08
1956,6.104799332717903e-09
1957,1.4136059989233729e-08
1958,8.272243334772611e-09
1959,8.52582249244449e-09
1960,1.5917916540431065e-08
1961,1.9454845512356655e-08
1962,1.585489073363533e-08
1963,1.9398159301076134e-08
1964,1.2167936658258327e-08
1965,2.8454626210816514e-08
1966,3.6557893157151966e-08
1967,2.760987993788433e-08
1968,2.2906220364937724e-08
1969,1.816703165680167e-08
1970,2.5752860732808358e-08
1971,1.284599315809487e-08
1972,1.4364411160538992e-08
1973,1.8744893415245656e-08
1974,1.2376257574331362e-08
1975,1.1994107929069742e-08
1976,1.142705374768127e-08
1977,2.5857840313392444e-08
1978,7.128709400561206e-09
1979,9.363157360553487e-09
1980,1.1370301589153087e-08
1981,1.2651099501326257e-08
1982,8.690502983910164e-09
1983,1.515675895902291e-08
1984,9.278413815039244e-09
1985,6.617113967877231e-09
1986,1.258841941798039e-08
1987,1.711028696504968e-08
1988,1.1393452292729478e-08
1989,1.5915554207879268e-08
1990,9.262706823776057e-09
1991,1.2895223555631219e-08
1992,1.2672871751995274e-08
1993,1.550978057096586e-08
1994,1.16048384235512e-08
1995,1.1929391474652107e-08
1996,9.07475650180345e-09
1997,9.110299625803009e-09
1998,1.0966697328029795e-08
1999,2.6050147372558285e-08
2000,9.277865919976591e-09
2001,1.2267392879294903e-08
2002,6.1337101509018055e-09
2003,7.91715359937939e-09
2004,1.5416769194587232e-08
2005,1.3961623412939161e-08
2006,1.2353670086895363e-08
2007,5.991719342901547e-09
2008,7.663391476953052e-09
2009,6.675469732542183e-09
2010,1.8895172648747405e-09
2011,8.795135508776752e-09
2012,4.425528388196653e-09
2013,4.741512515948898e-09
2014,1.0827225449538957e-08
2015,6.428068660691011e-09
2016,1.8434926474242275e-08
2017,7.043711836018929e-09
2018,1.4714359952705536e-08
2019,4.0815804625005114e-09
