year,dont_PRON ont_VERB,dont_PRON sont_VERB
1800,3.678672442219977e-07,1.8424804011374363e-06
1801,3.143161109164794e-07,1.9335202523507178e-06
1802,3.960977039696445e-07,1.7746071989677148e-06
1803,3.276569771060167e-07,1.9717929262697e-06
1804,2.397695482159179e-07,1.9428748601058032e-06
1805,3.439882050315646e-07,2.024128889388521e-06
1806,2.305335300434308e-07,1.5993263104974176e-06
1807,4.014206638203177e-07,1.6512340152985416e-06
1808,3.1498427688347874e-07,1.853648541327857e-06
1809,3.185232912983338e-07,1.771079951140564e-06
1810,1.8721013361755467e-07,1.6217078382396721e-06
1811,2.85806748934192e-07,1.5117673228814965e-06
1812,3.040617286842462e-07,1.8110343944499618e-06
1813,3.824736438673426e-07,1.9411256744206185e-06
1814,3.492811515570793e-07,1.4569114910045755e-06
1815,1.4025562222741428e-07,2.130806706190924e-06
1816,2.503012126453541e-07,2.1437836039694957e-06
1817,2.319741412293297e-07,1.4042998373042792e-06
1818,3.3498508855700493e-07,1.401930489919323e-06
1819,2.2151246525936585e-07,1.501937390457897e-06
1820,2.444495237341471e-07,1.3100594742354588e-06
1821,1.6961759286004963e-07,1.08279141386447e-06
1822,1.6241497746705136e-07,1.4426860843741451e-06
1823,2.0852469617693714e-07,1.2481833664423903e-06
1824,1.8273814816893719e-07,1.3911678706790553e-06
1825,2.2453879466866056e-07,1.3956627071820549e-06
1826,2.9242508503557474e-07,1.6365235069315531e-06
1827,2.175276421212402e-07,1.720864929666277e-06
1828,2.614105767406727e-07,1.561125714033551e-06
1829,2.906306804106862e-07,1.4660131455457304e-06
1830,2.4422195110673783e-07,1.563437990625971e-06
1831,2.0736304406909767e-07,1.5949804037518334e-06
1832,2.2865648929837334e-07,1.4828846133241314e-06
1833,2.3051420328101813e-07,1.7966208361031022e-06
1834,2.3429672069141816e-07,1.6783486671556602e-06
1835,1.8227041209684103e-07,1.3749694289799663e-06
1836,1.9759005454034195e-07,1.3434779475574032e-06
1837,2.2265251686803822e-07,1.6121433645821526e-06
1838,2.3986214614524215e-07,1.4757835060663638e-06
1839,1.782826188900799e-07,1.575179339852184e-06
1840,2.1784335046959313e-07,1.445919338038948e-06
1841,1.861959049165307e-07,1.7483154124420253e-06
1842,2.3411844551901595e-07,1.6656622392474674e-06
1843,2.2328123350234819e-07,1.45073738622159e-06
1844,1.9539278639513213e-07,1.6141858623086591e-06
1845,1.925178594319732e-07,1.6394709518863237e-06
1846,2.2715465775036137e-07,1.7563503433848382e-06
1847,2.41616419316415e-07,1.4755860320292413e-06
1848,2.204390767701625e-07,1.4577941556126461e-06
1849,3.6366660083331226e-07,1.671693325988599e-06
1850,1.8126618783753656e-07,1.6273223764073919e-06
1851,2.4120902253343957e-07,1.6903978803384234e-06
1852,1.842484351755047e-07,1.673210135777481e-06
1853,2.376828831529565e-07,1.7575395077074063e-06
1854,2.6134190989068884e-07,1.5987059214239707e-06
1855,2.653468413882365e-07,1.6090633607745986e-06
1856,2.448810505484289e-07,1.6577359929215163e-06
1857,1.9965372644037416e-07,1.5806326700840145e-06
1858,1.7764044457635464e-07,1.5674444284741185e-06
1859,2.5817320192800253e-07,1.4639998653365183e-06
1860,2.9248204214127327e-07,1.426708195140236e-06
1861,2.2683785516619537e-07,1.8345099306316115e-06
1862,2.281582993646225e-07,1.5483138895433513e-06
1863,2.0328106131728418e-07,1.6202550341404276e-06
1864,2.8432737053663004e-07,1.725622610138089e-06
1865,2.4522660169168375e-07,1.8304917830391787e-06
1866,2.0338262629593373e-07,1.737996967676736e-06
1867,2.0672976575042412e-07,1.952286083906074e-06
1868,2.4896965555853967e-07,1.9813835478998953e-06
1869,2.510128922494914e-07,1.6569780427744263e-06
1870,2.3509599600401998e-07,1.6399379774156841e-06
1871,4.822014716410195e-07,1.5252010143740335e-06
1872,3.4046519203911885e-07,1.6037544128266745e-06
1873,3.2384284054387535e-07,1.799392975954106e-06
1874,3.35773023607544e-07,1.7577300468474277e-06
1875,2.8836495857831324e-07,1.8205898868473014e-06
1876,2.9625471142935567e-07,1.626982566449442e-06
1877,2.9872660434193676e-07,1.8282315750184353e-06
1878,2.928958053871611e-07,1.6812822423162288e-06
1879,3.4212220612062083e-07,1.8382959297014168e-06
1880,2.6698239707911853e-07,1.7848030893219402e-06
1881,3.1655184784540324e-07,1.597401478647953e-06
1882,2.828538754329202e-07,1.8495314861866063e-06
1883,2.7362736432223755e-07,1.7352904251310974e-06
1884,3.155611238980782e-07,1.7963217260330566e-06
1885,3.30661123371101e-07,1.7100271634262754e-06
1886,3.4009755722763657e-07,1.6624122736175195e-06
1887,2.9837184456482646e-07,1.888817905637552e-06
1888,3.2844383213159745e-07,1.8939416577268275e-06
1889,3.7465517266355164e-07,1.777419242898759e-06
1890,3.722891506185988e-07,1.9577953480620636e-06
1891,3.5058209846283717e-07,2.0709840100607835e-06
1892,3.7861815371798e-07,2.083653498630156e-06
1893,3.9044360278239765e-07,1.821659566303424e-06
1894,3.535163557444321e-07,2.0517811663012253e-06
1895,4.152844041982462e-07,2.1841551642864943e-06
1896,3.9392153894368676e-07,2.060421820715419e-06
1897,3.845630942578282e-07,2.0865461465291446e-06
1898,4.1475740886198764e-07,2.198270976805361e-06
1899,3.7421705201268196e-07,2.094952151310281e-06
1900,4.573317937683896e-07,2.07434482035751e-06
1901,4.677774541050894e-07,2.179049261030741e-06
1902,4.281767473912623e-07,2.6657930902729277e-06
1903,4.503783657128224e-07,2.1190464849496493e-06
1904,4.7511687739643094e-07,2.1681237285520183e-06
1905,4.417609602569428e-07,2.1143630419828696e-06
1906,4.321115056882263e-07,2.0952263639628654e-06
1907,4.5359877276496263e-07,2.090051566483453e-06
1908,4.3514907588360074e-07,2.230752897958155e-06
1909,4.3237730551481945e-07,2.11952897188894e-06
1910,4.921962499793153e-07,2.1141459001228213e-06
1911,4.798977215614286e-07,2.1983785245538456e-06
