year,sont_VERB à_ADP,sont_VERB a_ADP,sont_VERB çà_ADJ,sont_VERB cà_ADJ
1800,3.650689541245811e-05,1.7921737427428752e-07,0.0,0.0
1801,3.497481156955473e-05,2.952666449118624e-07,2.3811825844433088e-09,0.0
1802,3.557046875357628e-05,1.991677720525331e-07,4.475680270843441e-09,0.0
1803,3.8844907976454124e-05,2.6914681683365416e-07,5.851017448321727e-09,0.0
1804,3.48036628565751e-05,2.2493843143678305e-07,1.2359254952798437e-08,0.0
1805,3.604768789955415e-05,2.587018670396901e-07,8.528632911009026e-09,0.0
1806,3.3101732697105035e-05,2.161251897447869e-07,0.0,0.0
1807,3.061330789932981e-05,2.3345032218458073e-07,0.0,0.0
1808,3.500631282804534e-05,2.402038470350476e-07,9.064295980465431e-09,0.0
1809,3.301121250842698e-05,2.8915590122302604e-07,0.0,0.0
1810,2.8884183848276734e-05,1.9657064953548797e-07,0.0,0.0
1811,2.7224346922594123e-05,2.4820059252306237e-07,0.0,0.0
1812,2.8104373996029608e-05,1.920389944842782e-07,0.0,0.0
1813,2.8018350349157117e-05,1.7254449602432942e-07,0.0,0.0
1814,2.690409019123763e-05,2.2341407479586906e-07,4.405347908686963e-08,0.0
1815,2.690750261535868e-05,1.6453063977905913e-07,0.0,0.0
1816,2.9848421036149375e-05,2.3639560708943463e-07,2.3176038865813098e-09,0.0
1817,3.0710885766893625e-05,2.5065662401235755e-07,3.113746815941454e-09,0.0
1818,2.8492806450231e-05,2.145811848208723e-07,0.0,0.0
1819,2.7401300030760467e-05,3.5504102813277427e-07,0.0,0.0
1820,2.6777901439345442e-05,1.946102861083432e-07,2.254631326081835e-08,0.0
1821,2.9078570150886662e-05,2.54426405277286e-07,1.97229765852569e-09,9.86148829262845e-10
1822,2.880960892071016e-05,1.9750463309264887e-07,2.7069162911175226e-08,0.0
1823,2.4758106519584544e-05,2.8165656296152974e-07,3.9530747564242574e-09,0.0
1824,2.5100811399170198e-05,1.7347492065056258e-07,9.263223965660927e-09,5.052667617633233e-09
1825,2.7944954126724042e-05,2.1133062944045378e-07,7.924898959288385e-09,0.0
1826,2.748267252172809e-05,1.6206691766385006e-07,1.3211976401805714e-08,0.0
1827,2.876342296076473e-05,1.5300673500417972e-07,0.0,0.0
1828,2.8940445190528408e-05,1.8436325355253302e-07,2.109629271274116e-08,1.0089530988466322e-08
1829,2.8345491955406033e-05,1.7146351760644052e-07,1.628903412154159e-08,0.0
1830,2.824416515068151e-05,2.0351830176679186e-07,1.2524203008013046e-08,1.0436835840010872e-09
1831,3.052290412597358e-05,2.790825877063696e-07,1.5591206103948707e-09,0.0
1832,2.7469895940157585e-05,2.0159654767759605e-07,2.705993873419743e-09,0.0
1833,2.9421258659567684e-05,1.7722952172505302e-07,7.52935847003755e-08,0.0
1834,2.9274955522851087e-05,2.632337752217495e-07,3.9205030333278046e-08,0.0
1835,2.922150270023849e-05,2.5563236505377063e-07,4.0840674842002045e-08,7.563087933704082e-10
1836,2.804300129355397e-05,2.4261907416445183e-07,2.2178475944656384e-08,0.0
1837,2.8267822926864028e-05,2.4352618810397075e-07,2.5744196108234974e-08,6.957890930081589e-10
1838,2.70267828454962e-05,2.505928269336266e-07,5.049729523420865e-09,0.0
1839,2.786102777463384e-05,2.111425452255844e-07,1.1885507689157748e-08,6.9914751765765e-10
1840,2.746163954725489e-05,2.802662894541008e-07,1.592422194107712e-08,0.0
1841,2.7813173801405355e-05,2.696630416743062e-07,3.146068650039524e-08,0.0
1842,2.677335578482598e-05,2.5223076782765474e-07,2.0124794275488966e-08,0.0
1843,2.713812136789784e-05,2.563599474925127e-07,1.1813821920725331e-08,5.906911071384968e-10
1844,2.6120063921553083e-05,2.590600929330833e-07,2.6345094994439933e-08,5.488561272137815e-10
1845,2.545309325796552e-05,2.801274421315725e-07,5.580227835366713e-09,0.0
1846,2.751966894720681e-05,2.7164885807451356e-07,2.2832555401919308e-08,1.1709002656346001e-09
1847,2.66241877397988e-05,3.9801989704102425e-07,1.833696039454935e-08,5.393223645455691e-10
1848,2.768199919955805e-05,3.3709477875731864e-07,1.528592186161859e-08,0.0
1849,2.676804069778882e-05,3.93832497280755e-07,9.217356655710773e-09,0.0
