year,observant_VERB en_ADP,observant_VERB sans_ADP
1800,6.917161599062638e-08,4.7162465932615305e-08
1801,4.286128785224719e-08,1.6668277424969347e-08
1802,5.370816325012129e-08,4.4756802708434407e-08
1803,9.166594594489652e-08,9.751696339321825e-09
1804,3.460591457837836e-08,3.460591457837836e-08
1805,1.7057266266107263e-08,8.528632911009026e-09
1806,3.7461699520235925e-08,0.0
1807,3.131650672116848e-08,0.0
1808,3.172503681980743e-08,0.0
1809,7.228897835886983e-08,1.129515236897305e-08
1810,5.8503168531842675e-08,4.680253518074551e-09
1811,2.0056614147279106e-08,1.2535384286138651e-08
1812,3.200649878465356e-08,2.6672082320544632e-09
1813,1.1215391992891455e-07,1.4378708002027452e-08
1814,5.664018853934749e-08,2.2026739543434815e-08
1815,2.9669459555847766e-08,2.697223555614414e-09
1816,9.270415546325239e-08,0.0
1817,4.203558034987509e-08,0.0
1818,6.318224143875284e-08,0.0
1819,6.9352037890269e-08,1.8631890696951814e-08
1820,1.6613073583471305e-08,8.306536791735653e-09
1821,6.015507891810046e-08,5.9168927535324656e-09
1822,1.303330066093622e-08,1.4035862250239006e-08
1823,2.7671523739059012e-08,8.894418535021487e-09
1824,5.052667617633233e-08,1.2631669044083083e-08
1825,1.6730341556581152e-08,1.1447076175841175e-08
1826,4.315912149888135e-08,1.145037931138404e-08
1827,3.410390903013649e-08,1.3825909306319772e-08
1828,6.328887991458032e-08,1.7427371545863934e-08
1829,5.3153692114449314e-08,1.2002446148073886e-08
1830,2.5048406460115302e-08,7.305785310052215e-09
1831,2.8064171209152278e-08,3.1182412207897414e-09
1832,4.600189662529175e-08,0.0
1833,4.9809603552830595e-08,1.50587169400751e-08
1834,3.733812325990016e-08,1.120143711119681e-08
1835,3.479020449503878e-08,1.4369867074037757e-08
1836,4.301280043250699e-08,2.688300027031687e-09
1837,3.3397876242347024e-08,1.7394727436226276e-08
1838,3.724175656749651e-08,6.312161904276081e-09
1839,5.5232652673709026e-08,6.9914749545318955e-09
1840,3.3759348205819606e-08,7.0066574764382494e-09
1841,3.9165345633307425e-08,1.2841097074556274e-08
1842,2.1466448174578545e-08,9.391571076378114e-09
