year,commandant_VERB en_ADP,commandant_VERB sans_ADP
1800,1.9493820069271806e-07,1.2576657937302116e-08
1801,1.3096504503096185e-07,0.0
1802,1.656001700212073e-07,0.0
1803,1.1116933329446965e-07,1.950339223455444e-09
1804,1.952762218593307e-07,0.0
1805,1.8194416906425204e-07,1.990014353303593e-08
1806,3.1122027266405894e-07,2.881669125542885e-09
1807,1.5658252827677188e-07,0.0
1808,2.0847881421204306e-07,4.5321479902327155e-09
1809,1.5587310198128534e-07,0.0
1810,5.3822916346035754e-08,0.0
1811,1.8803076429207977e-07,0.0
1812,9.868670769463961e-08,0.0
1813,1.6391726820330632e-07,3.163315653864629e-08
1814,2.3600078158381166e-07,9.440030979135372e-09
1815,3.1287793333945046e-07,5.394447111228828e-09
1816,2.804300667236248e-07,2.3176038865813098e-09
1817,2.8802158702490033e-07,3.113746815941454e-09
1818,2.4676836929415913e-07,7.152706427149269e-09
1819,1.8735400697522664e-07,2.070210003424222e-09
1820,2.112233694617771e-07,2.3732962262101864e-09
1821,1.3214394201099822e-07,1.97229765852569e-09
1822,3.679400890632678e-07,1.1028177482330648e-08
1823,3.6862422803096706e-07,2.9648061783404955e-09
1824,4.016870747136636e-07,5.894778887238772e-09
1825,2.1837498209720252e-07,8.805443041381977e-10
1826,1.770404889356314e-07,8.807984341885344e-10
1827,2.47022923005602e-07,9.217273055917019e-10
1828,1.8252879385727283e-07,6.420610709767516e-09
1829,1.6803424429667757e-07,1.714635211591542e-09
1830,2.0769303743506384e-07,0.0
1831,2.556957809929372e-07,0.0
1832,1.7724260548135362e-07,1.3529969367098715e-09
1833,1.9692167896323554e-07,2.3167257001688313e-09
1834,2.1656111215406781e-07,0.0
1835,1.6865685381617368e-07,1.0588323107185715e-08
1836,1.5390517660307523e-07,2.016224964762614e-09
1837,1.941251550618972e-07,6.957891041103892e-09
1838,1.7674053154337344e-07,1.2624323808552163e-09
1839,1.8807068080661793e-07,6.292327769941153e-09
1840,1.9746034141121527e-07,6.369688554386244e-09
1841,1.6500809341124523e-07,6.420548537278137e-10
1842,2.401558845122054e-07,2.0124795163667386e-09
1843,1.2050098252558428e-07,0.0
1844,1.564239973106396e-07,5.488561272137815e-10
1845,1.6796486335124428e-07,6.696273757711424e-09
1846,1.1065007221588985e-07,0.0
1847,2.006279231636654e-07,1.0786447290911383e-09
1848,1.4964112793336426e-07,4.02261068899179e-09
1849,1.3909828666669455e-07,1.6758829879393033e-09
1850,1.7922949879789485e-07,2.7155984128057753e-09
1851,2.9667419454426636e-07,1.9348316282474798e-09
1852,1.6471680019947144e-07,3.2552727180501506e-09
1853,1.8035234461422078e-07,1.1943863675867306e-09
1854,2.1977660225047657e-07,3.117398783558656e-09
1855,1.9635666603790014e-07,1.0613874223963649e-09
