year,remontant_VERB en_ADP,remontant_VERB sans_ADP
1800,1.2576657937302116e-08,0.0
1801,1.6668277424969347e-08,2.3811825844433088e-09
1802,6.489736392722989e-08,4.475680270843441e-09
1803,6.046051614916337e-08,0.0
1804,1.2359254508709228e-08,2.4718509461507665e-09
1805,3.695740957709859e-08,2.842877711017877e-09
1806,2.305335300434308e-08,1.4408345627714425e-08
1807,5.693910232196231e-09,8.540865792383556e-09
1808,2.039466595604722e-08,0.0
1809,1.3554183553310395e-08,2.4849335034105025e-08
1810,2.3401266702194334e-08,9.360507036149102e-09
1811,5.0141534924108555e-08,5.0141535368197765e-09
1812,1.600324850414836e-08,0.0
1813,8.627225156487839e-09,2.8757416448144113e-09
1814,3.461344810773426e-08,0.0
1815,2.4275012222574333e-08,5.394447111228828e-09
1816,1.0197457100957763e-07,9.270415546325239e-09
1817,1.0898114055635233e-07,3.42512151974006e-08
1818,4.530047448270125e-08,1.7881765401739358e-08
1819,2.5877624487691264e-08,1.9666995143552413e-08
1820,4.2719332071783356e-08,5.933240565525466e-09
1821,2.1695274909916407e-08,1.1833785507064931e-08
1822,2.90742860897808e-08,2.105379337535851e-08
1823,6.621399961659336e-08,3.261286707356703e-08
1824,3.3684450784221553e-08,1.0947446504872005e-08
1825,4.8429936283511665e-08,1.3208164340028361e-08
1826,7.222547337981666e-08,2.0258364652470107e-08
1827,1.4747637222534138e-08,1.1982455028203276e-08
1828,2.384798314380987e-08,2.0179061976932644e-08
1829,5.4011008832066665e-08,1.457439946506156e-08
1830,1.982998831806526e-08,2.5048406016026092e-08
1831,4.053713453799901e-08,7.795603274018958e-09
1832,2.705993829010822e-08,2.1647950987357945e-08
1833,5.90765054653275e-08,9.266902800675325e-09
1834,4.667265374180829e-08,8.401078055442213e-09
1835,3.1764969321557146e-08,1.5126175867408165e-08
1836,5.511014933290426e-08,1.1425274948351216e-08
1837,8.766942549698342e-08,1.1132625488130543e-08
1838,4.481634974240478e-08,2.019891809368346e-08
1839,5.663094881924735e-08,9.788065469251706e-09
1840,2.93005673057678e-08,8.280594876453051e-09
1841,1.7977535904378783e-08,1.0272877659645019e-08
1842,7.043678484919269e-08,5.366612043644636e-09
1843,2.8353174030826267e-08,2.3036953678001737e-08
1844,5.653217982626302e-08,1.920996528514962e-08
1845,5.133809627411168e-08,6.696273757711424e-09
1846,5.5032313373004627e-08,7.025401593807601e-09
1847,5.2314270249098627e-08,1.0247124926365814e-08
1848,8.52793493044679e-08,3.137636639394259e-08
1849,5.362825561405771e-08,1.5920887719289567e-08
1850,6.85688590351674e-08,1.4935791270431764e-08
1851,4.901573547044791e-08,2.0638204034639784e-08
1852,6.315229228448516e-08,1.1718981340891332e-08
1853,6.808001984381917e-08,8.360704129017904e-09
1854,8.624803254919655e-08,2.0263090760863633e-08
1855,9.817833301895007e-08,8.491099379170919e-09
1856,7.558696396570141e-08,1.4496129630003907e-08
1857,6.199516677796169e-08,2.3431244500216053e-08
1858,5.9213480341213653e-08,9.787352261980686e-09
1859,6.263373086845547e-08,3.819129901216911e-08
1860,8.559333775082223e-08,1.4646988510946812e-08
1861,5.329038987866852e-08,1.3204698667834691e-08
1862,6.280000897085358e-08,1.626475132354699e-08
1863,8.740586121547267e-08,1.4484400345793347e-08
1864,6.616724590458034e-08,2.8768367243969806e-08
1865,7.154403569575862e-08,1.7415324293779122e-08
1866,8.417510533043071e-08,1.751620715140234e-08
1867,7.958610481750839e-08,2.329349513274792e-08
1868,8.842374654705054e-08,3.457911712523298e-08
1869,6.836926647046937e-08,5.371871081294444e-08
1870,9.575861215083137e-08,2.465641024684828e-08
1871,6.478918024299674e-08,1.6993883633631413e-08
1872,9.917636623058002e-08,5.442605477412599e-09
