year,pleurant_VERB en_ADP,pleurant_VERB sans_ADP
1800,6.288328968651058e-09,1.8864987794131594e-08
1801,9.524730337773235e-09,5.9529565277216534e-08
1802,2.0140561218795483e-08,0.0
1803,1.5602713787643552e-08,3.90067853572873e-08
1804,0.0,4.943701981119375e-08
1805,4.264316544322355e-08,5.685755422035754e-09
1806,5.76333825108577e-09,5.76333825108577e-08
1807,1.9928686256776018e-08,1.9928686256776018e-08
1808,1.1330369531492579e-08,4.5321479902327155e-09
1809,1.129515236897305e-08,2.259030518203531e-09
1810,1.8721014072298203e-08,2.8081521108447305e-08
1811,1.2535384286138651e-08,5.0141535368197765e-09
1812,1.3336041604361526e-08,5.3344164641089264e-09
1813,8.627225156487839e-09,1.4378708002027452e-08
1814,3.4613449884091096e-08,0.0
1815,0.0,3.506390555685357e-08
1816,0.0,2.3176038865813098e-09
1817,1.401186100480345e-08,1.8682481339737933e-08
1818,1.7881765401739358e-08,3.695565098382758e-08
1819,6.210630232317271e-09,8.280840013696888e-09
1820,9.493184904840746e-09,1.0679833017945839e-08
1821,1.7750679148775816e-08,8.875339574387908e-09
1822,2.3058916553964082e-08,4.010246357211145e-09
1823,2.9648061783404955e-09,1.9765373338032077e-08
1824,2.6947560627377243e-08,2.6105450245950124e-08
1825,1.2327619813845558e-08,2.3774695989686734e-08
1826,3.8755132436563144e-08,7.927186018719112e-09
1827,4.608636583469661e-09,1.6591091167583727e-08
1828,1.8344602503717056e-09,8.255071293206129e-09
1829,1.0287811491593857e-08,2.0575622983187714e-08
1830,6.262101504006523e-09,1.461157062010443e-08
1831,3.1182412207897414e-09,3.1182412207897414e-09
1832,6.764984572527055e-09,4.464889968858188e-08
1833,4.6334514003376626e-09,1.6217079235048004e-08
1834,1.3068342852307069e-08,1.9602515166639023e-08
1835,3.781543966852041e-09,1.2100940693926532e-08
1836,2.016225053580456e-08,1.344150035720304e-08
1837,2.0177884252348122e-08,2.7831563720326358e-09
1838,2.5879863585487328e-08,2.019891809368346e-08
1839,1.677954131196202e-08,1.1885507689157748e-08
1840,1.9109066662359453e-08,1.2739377552861697e-08
1841,1.7977535904378783e-08,2.5040138851295524e-08
1842,1.6770663080478698e-08,7.379091560011375e-09
1843,1.0041748765843295e-08,1.1223130869097986e-08
1844,1.3172547497219966e-08,4.9397050894128824e-09
1845,1.0044410636567136e-08,8.928364714222425e-09
1846,4.6836010625384006e-09,7.610851504580296e-09
1847,3.775256551818984e-09,9.707802561820245e-09
1848,9.65426583121598e-09,1.850401076808339e-08
1849,1.9272654583346593e-08,1.3407063903514427e-08
1850,8.146795238417326e-09,2.7155984128057753e-09
1851,1.3543821175687754e-08,1.7413483988093503e-08
1852,2.6042181744401205e-09,2.148479971708639e-08
1853,1.851298847554972e-08,1.4332636411040767e-08
1854,1.4028294081924741e-08,7.273930180407007e-09
1855,1.326734277995456e-08,1.0613874223963649e-08
1856,8.283502495043393e-09,3.4169449492083004e-08
1857,1.3180074864838076e-08,1.9037885934380938e-08
1858,2.0553439838977283e-08,2.6425850785383176e-08
1859,1.8841042281891873e-08,1.9350258284589472e-08
1860,1.373155189554609e-08,3.615975385784509e-08
1861,1.1789909493131745e-08,2.640939761322514e-08
1862,2.349352892783152e-08,3.117410596331638e-08
1863,1.0988166210257333e-08,2.4973104473247076e-08
1864,9.109983323263293e-09,1.6302074357099627e-08
1865,1.4591217623038943e-08,1.6003270486564247e-08
1866,2.1408697037372804e-08,1.946245237194333e-08
1867,9.7056229719783e-09,3.105799351033056e-08
1868,9.87974857480367e-09,1.2349685163393076e-08
1869,4.883519366671862e-09,1.953407746668745e-08
1870,4.587239033071455e-09,5.734048791339319e-09
1871,1.0621176826930423e-08,1.0621176826930423e-08
1872,1.5723081503438152e-08,9.071008832961525e-09
1873,7.183205141814142e-09,1.4366410283628284e-08
1874,2.270351479038979e-08,1.0156835372754358e-08
1875,4.005069165202713e-09,2.1169650921137873e-08
1876,7.255217759905008e-09,1.9951848173604958e-08
1877,2.3502300550148902e-08,2.1028373708986692e-08
1878,1.872117572077059e-08,1.9928991790152395e-08
1879,1.3440516033469407e-08,3.4823152361695975e-08
1880,1.4761046607247863e-08,1.2193908105473383e-08
1881,2.161477319351235e-08,1.324776466304911e-08
1882,1.0648616211028639e-08,1.3310770263785798e-08
1883,1.074287619973191e-08,3.159669503816076e-08
1884,1.0562715146988921e-08,1.1883054540362536e-08
1885,3.2228177904158883e-09,1.4180398189012067e-08
1886,1.0325542199041138e-08,7.744156427236248e-09
1887,1.828098916689669e-08,1.5016526688782506e-08
1888,1.521747527988282e-08,8.876860579931645e-09
1889,1.628935564212952e-08,1.9421923069806724e-08
1890,9.176140736144589e-09,4.588070645628051e-09
1891,1.7210393998823292e-08,3.187109998137316e-08
1892,1.002961980134387e-08,1.6924983636812385e-08
1893,7.390100087434348e-09,2.0938616618337846e-08
1894,1.1342770500633037e-08,1.827446460822557e-08
1895,1.3842813562092715e-08,2.347259631108045e-08
1896,2.948514543632541e-09,2.8895441595011562e-08
1897,8.157399200570126e-09,1.2818770045441852e-08
1898,7.921697076085366e-09,2.0935912670161372e-08
1899,2.04520400615138e-08,2.3215829259015663e-08
1900,7.26747462209687e-09,2.1283318663023465e-08
1901,1.117747761014698e-08,2.0119459875900247e-08
1902,2.209627647520307e-08,2.3078334354664776e-08
1903,1.0800440319869153e-08,1.6200661034915242e-08
1904,1.5586412160928376e-08,2.1498500757388683e-08
1905,6.1929109063108e-09,8.257214578755168e-09
1906,1.7490227932626112e-08,2.3663248249761182e-08
1907,9.257117739025489e-09,1.4399961556499363e-08
1908,9.82277836847345e-09,2.3083528866152392e-08
1909,1.265226234892225e-08,2.475442650862192e-08
1910,3.0461659639158256e-08,2.3514263869373053e-08
